INSEE REGI;INSEE DEPT;INSEE EPCI;INSEE COMM;INSEE IRIS;Maille géographique;Année;Nom IRIS;Code IRIS;Type IRIS;Nom commune;Code commune;Nom EPCI;Code EPCI;Type EPCI;Nom département;Code département;Nom région;Code région;Nb sites secteur résidentiel Enedis;Conso totale secteur résidentiel Enedis (MWh);Conso moyenne secteur résidentiel Enedis (MWh);Nb sites Agriculture Enedis;Conso totale Agriculture Enedis (MWh);Nb sites Industrie Enedis;Conso totale Industrie Enedis (MWh);Nb sites Tertiaire Enedis;Conso totale Tertiaire Enedis (MWh);Nb sites Secteur non affecté Enedis;Conso totale Secteur non affecté Enedis (MWh);Geo Point;Geo Shape
53;35;243500139;;;EPCI;2011;;;;;;CA Rennes Métropole;243500139;CA;Ille-et-Vilaine;;Bretagne;;228740;974119.854;4.258633619;38;5726.583151;413;185940.3775;2429.0;785356.3789;43;922.1133964;;
53;35;243500139;;;EPCI;2015;;;;;;Rennes Métropole;243500139;ME;Ille-et-Vilaine;;Bretagne;;248520;1044121.723;4.201358935;41;7702.154469;556;237575.8671;2747.0;816011.3101;22;580.9851303;48.1080837251, -1.71123496589;"{""type"": ""Polygon"", ""coordinates"": [[[-1.953177457519755, 48.05235646971985], [-1.953936623766365, 48.05703339581306], [-1.955518736644756, 48.05810100120444], [-1.956395402530529, 48.06149796573845], [-1.961660697905338, 48.06448869881112], [-1.956848333096781, 48.06627077275049], [-1.955613059749589, 48.0674347155758], [-1.954753641517271, 48.07019327921203], [-1.95355618724354, 48.071307672015735], [-1.949817578694092, 48.071806304708346], [-1.949046554685732, 48.07407581175278], [-1.942620007143141, 48.07517301438669], [-1.940743516346144, 48.07719671565936], [-1.935844823438783, 48.07735036413459], [-1.936369529396237, 48.08003961829988], [-1.934466717961415, 48.0809414064359], [-1.932743120425775, 48.08113987452287], [-1.929507658266961, 48.0794351965462], [-1.923164743877322, 48.079708090456386], [-1.919340076723655, 48.0813775911118], [-1.918049287491904, 48.07692686941418], [-1.91982911956433, 48.0713528714947], [-1.919787886892788, 48.069777709265175], [-1.918906639599067, 48.06907081845728], [-1.920231474980087, 48.06536206382803], [-1.920477254041822, 48.05827626145543], [-1.919023420586003, 48.058840764724124], [-1.907221893372411, 48.060234404447854], [-1.906909638979651, 48.05981629247632], [-1.901436024290454, 48.06139956444993], [-1.901396588249481, 48.06185008351262], [-1.899454879762857, 48.06332030679311], [-1.898291381806865, 48.065698786868744], [-1.892073512904775, 48.06872619366214], [-1.879463591767004, 48.069423964934465], [-1.875735313843323, 48.071295906939], [-1.885598905494484, 48.07569669831433], [-1.889528406041808, 48.08399546165569], [-1.898283476632365, 48.08637370632824], [-1.909571796324139, 48.098342592850024], [-1.908085623518092, 48.10416159578601], [-1.912759378278309, 48.10523950099519], [-1.912602981587344, 48.11198631767443], [-1.917262183639958, 48.11339579145264], [-1.915209443384217, 48.11710636118159], [-1.887000726495352, 48.12283407091766], [-1.883398751700618, 48.13039591713922], [-1.890765655682626, 48.13142776570168], [-1.893829449790644, 48.134517971155226], [-1.887694046231636, 48.13982711694579], [-1.884509788044017, 48.155844866737304], [-1.880095915895496, 48.15541956148554], [-1.879362082139899, 48.16298158252236], [-1.882794724503576, 48.168419592173066], [-1.870395278636874, 48.17630419423466], [-1.871394205232815, 48.18697498004101], [-1.854187425123148, 48.18964358706432], [-1.844732836420847, 48.18611140656173], [-1.844417348093064, 48.19377010500911], [-1.845681996350047, 48.20185060681405], [-1.850286850327972, 48.20313206261043], [-1.891000026140252, 48.199905700047886], [-1.894652486253954, 48.19482618915594], [-1.90432850967379, 48.19940771109158], [-1.90780912207364, 48.206967377266054], [-1.921777116257943, 48.21351550377305], [-1.914165511192541, 48.22329776081971], [-1.916750503254124, 48.23175280276754], [-1.91578283803007, 48.241625981947585], [-1.906002789700333, 48.251782873680135], [-1.931222182818232, 48.26819959736371], [-1.950031198068655, 48.271918466587216], [-1.952062648252163, 48.27503817354932], [-1.958868913665351, 48.27511237024792], [-1.956205408847937, 48.289932808578506], [-1.947921324960844, 48.29125156661441], [-1.948126140845623, 48.29767207607842], [-1.939376819472884, 48.30068706842083], [-1.934908060260503, 48.29885868434019], [-1.923485083107639, 48.30608590511675], [-1.90487495486112, 48.298434386608626], [-1.914862424189961, 48.28472558116418], [-1.906841456849587, 48.27961467058972], [-1.906433711542125, 48.27011201309923], [-1.901690517010445, 48.267599602016695], [-1.88274531716295, 48.271182308026766], [-1.882017142793642, 48.27794557516952], [-1.875731630750658, 48.276968269050684], [-1.871153097410558, 48.2812565710936], [-1.856914800157263, 48.28220468257523], [-1.851767184084673, 48.28536560454584], [-1.845437654592767, 48.28431527335973], [-1.831111322441629, 48.28849070672779], [-1.827190984710203, 48.28748168341105], [-1.824991908894678, 48.28200729032381], [-1.830578082488975, 48.276161814510196], [-1.837350840742066, 48.277877659963664], [-1.840328935571979, 48.27242017481184], [-1.84346270844063, 48.27215697442446], [-1.843205790269372, 48.26702046887227], [-1.835793701028573, 48.26244691030253], [-1.832770151445284, 48.25383897579643], [-1.83900239339192, 48.254551997749466], [-1.843556312893236, 48.25055999951522], [-1.832080784296251, 48.24395301836942], [-1.822699048963492, 48.24362990662495], [-1.814824057856786, 48.24691907804374], [-1.793911996694711, 48.24609886886886], [-1.789629188746143, 48.24561137926092], [-1.789760252946096, 48.23940007138632], [-1.778567693663609, 48.24175167824102], [-1.778204953951881, 48.23564491037635], [-1.774184633729333, 48.232977802054606], [-1.773918103584535, 48.2227502647725], [-1.763235517888842, 48.217778363965635], [-1.769645087272563, 48.21347426033223], [-1.747934783149019, 48.20587747807532], [-1.751380091758203, 48.203668093550405], [-1.768410532577598, 48.202753610491904], [-1.781668588192861, 48.196218059960785], [-1.777848861773256, 48.19121417871144], [-1.779611895349869, 48.18818679722629], [-1.776434105032296, 48.187163695770174], [-1.761289946646496, 48.18656256997059], [-1.74691142237735, 48.19460181201929], [-1.740471579768555, 48.19105380402378], [-1.729690359054666, 48.19267070283935], [-1.72393099027359, 48.182045965436984], [-1.71911880512809, 48.18415751711381], [-1.71446445397801, 48.182242306155956], [-1.713231426419028, 48.18581817516775], [-1.70774200138083, 48.18685897132818], [-1.702451643009593, 48.18193557586174], [-1.696982519896817, 48.18101579325144], [-1.690477190103808, 48.19046140743586], [-1.687096021205911, 48.189824387814696], [-1.676048629673338, 48.20056139508859], [-1.662187984165487, 48.19927059412887], [-1.644495215487111, 48.234140901922586], [-1.647103653577609, 48.237461616565135], [-1.641890819815392, 48.24836588275845], [-1.643902686725706, 48.253884313785626], [-1.63439240247579, 48.2539836026453], [-1.628845754753994, 48.2449453732473], [-1.620013339217474, 48.24201730861138], [-1.621999244816076, 48.234428172388974], [-1.626136885014731, 48.205903161767196], [-1.618399695472609, 48.20269337880997], [-1.612617599314846, 48.20477019337838], [-1.598354239065125, 48.19873511594231], [-1.590957960173326, 48.21421968999406], [-1.585983629119043, 48.215097873980184], [-1.586017226110669, 48.21756037214395], [-1.582222023698321, 48.216937516151475], [-1.576480082233757, 48.23140166919375], [-1.554717136834564, 48.22399798225393], [-1.555482142130521, 48.21396648576105], [-1.562596439854633, 48.21065208851148], [-1.559988361090249, 48.20924989406471], [-1.562339701346432, 48.20805671446773], [-1.56513876194022, 48.21252978243225], [-1.570461639324741, 48.21270541425901], [-1.567708841968086, 48.205268489421705], [-1.578989615811474, 48.19560446540672], [-1.599564808742004, 48.197072960312674], [-1.614336615442537, 48.17933641067719], [-1.609060899610431, 48.17971677285788], [-1.606731927404823, 48.177309901227865], [-1.594990317820682, 48.17939708911663], [-1.596026793995499, 48.169074192326455], [-1.592364632076729, 48.165299372388276], [-1.587922462996758, 48.16832756644043], [-1.574562628259804, 48.16841497890785], [-1.569899922777582, 48.171787883962786], [-1.553622539660864, 48.17124019663902], [-1.55997812029601, 48.166986584198575], [-1.549181987548405, 48.162728005173726], [-1.525876814469435, 48.17175727066027], [-1.505874207701003, 48.16820396651499], [-1.498503979952444, 48.173529996386705], [-1.484812127886479, 48.16502747205357], [-1.483816884383203, 48.16752239414973], [-1.479289195688184, 48.16692439321437], [-1.477834194422496, 48.16278516804088], [-1.472181186171061, 48.16174196564864], [-1.468020728764189, 48.15158158696479], [-1.487150712065628, 48.141552571525594], [-1.485156721629468, 48.132988869394715], [-1.481869157184176, 48.13287651564051], [-1.486280514049901, 48.12231626390402], [-1.480245721802715, 48.121456159027666], [-1.480581691718976, 48.11421056961713], [-1.474285220229525, 48.11711361784799], [-1.468874397778688, 48.114651390105955], [-1.467312047836547, 48.09920818409265], [-1.481247612839094, 48.09248027038599], [-1.486566178310252, 48.10339806841909], [-1.498042784885577, 48.10421708425141], [-1.519542793401109, 48.111245518743935], [-1.514363107472876, 48.11977476621737], [-1.517991223242377, 48.120579308569184], [-1.525470147140314, 48.13189308005123], [-1.538141692706576, 48.130324688245686], [-1.546782946750636, 48.12132537001365], [-1.551579950367834, 48.12045589345414], [-1.550572220282108, 48.11094178269741], [-1.554070529493055, 48.10935037800114], [-1.552052284544224, 48.1068940766024], [-1.556042241710169, 48.106634283624], [-1.556412796764868, 48.09856331160205], [-1.562905639975427, 48.0922543653944], [-1.568573829755165, 48.09264551340873], [-1.563447503754808, 48.0801417049192], [-1.569330211224393, 48.07584038784925], [-1.568702648166907, 48.069582859048836], [-1.57426869949884, 48.069464183740436], [-1.575677437527396, 48.06653281075903], [-1.564942300387583, 48.05968828853441], [-1.566237132038113, 48.05625956170122], [-1.548349698437668, 48.05075988882122], [-1.525121241483962, 48.036473787767804], [-1.510655490800729, 48.03318059587361], [-1.512569441345074, 48.03096431254323], [-1.507224375573034, 48.029535217596305], [-1.506960540374089, 48.022112886336664], [-1.514941353021263, 48.02591938054876], [-1.528625389744256, 48.0229369816873], [-1.525679274938458, 48.01850776492798], [-1.526879334326513, 48.00117556955455], [-1.521997619578022, 47.99519481173339], [-1.526559084927724, 47.992743760086604], [-1.534560558826433, 47.99448767857052], [-1.530095482706717, 47.99032487662215], [-1.532297702625736, 47.985310780641015], [-1.535559485422374, 47.984212865681705], [-1.53848089655786, 47.973358184667475], [-1.559451797371045, 47.975355517714846], [-1.565541656345148, 47.95877011524215], [-1.58138371587518, 47.954021159766306], [-1.589926155237987, 47.95773931393708], [-1.596563717040817, 47.9541594733473], [-1.605845290219397, 47.95488869685387], [-1.608598716396752, 47.95933540793202], [-1.603874296654511, 47.96157059056261], [-1.602713942802013, 47.97135427898249], [-1.612456082226761, 47.971915765319935], [-1.619332146737526, 47.97559276052999], [-1.627621890010909, 47.972971903616454], [-1.632488333399569, 47.9669573821047], [-1.623345010943216, 47.9582897589787], [-1.635238435810373, 47.95605858545348], [-1.641661749417942, 47.95149559336286], [-1.649177594074056, 47.964802011099465], [-1.657099836564706, 47.970985183791804], [-1.661781137173309, 47.96981599406184], [-1.666317988684227, 47.97272268074154], [-1.672042233337693, 47.969129503766524], [-1.676803933164225, 47.95519251187709], [-1.667333893439038, 47.94814330262905], [-1.672826013423087, 47.93565200556915], [-1.684278814643384, 47.93673476388944], [-1.720308533890378, 47.934606659769315], [-1.72002331878767, 47.938021995668535], [-1.735437420916349, 47.941113291293334], [-1.744205157752412, 47.94821406181966], [-1.749787109264874, 47.94941749474971], [-1.743917696861494, 47.96476706392343], [-1.758366110059744, 47.987641217144684], [-1.751783974309943, 47.996285580049125], [-1.764417161813572, 47.99823550013975], [-1.763057292136473, 48.00199398889776], [-1.783613620446036, 48.00316148826084], [-1.785502507993955, 48.00663798426064], [-1.782222758891634, 48.01593187144317], [-1.773465981502037, 48.024865467129096], [-1.776412545465478, 48.03140500573512], [-1.795430688514043, 48.035414263603876], [-1.798314909396766, 48.04383141052821], [-1.802181527874202, 48.04599597323312], [-1.811909384085932, 48.04387579332496], [-1.814908319830437, 48.04654187405141], [-1.820800279947448, 48.04708038242395], [-1.824041850650193, 48.05046576377233], [-1.817998883733921, 48.05956280593721], [-1.825990027006864, 48.06786897374637], [-1.841237491650338, 48.06367001070991], [-1.847528932574197, 48.065598292471044], [-1.847725483958363, 48.06846806871928], [-1.853910833847167, 48.068758008972445], [-1.856007591551831, 48.07271315914952], [-1.862729235665255, 48.0727525950702], [-1.864926425018683, 48.07043578850725], [-1.87421832882303, 48.07157616714291], [-1.876840690800432, 48.07025066517817], [-1.876320206924813, 48.069573614750375], [-1.87921942967278, 48.06887968734572], [-1.892133340702697, 48.0685162121208], [-1.897768652143036, 48.06563137039781], [-1.898690503287599, 48.06343599451492], [-1.901081099921698, 48.06129930180872], [-1.905637534705809, 48.05954017100554], [-1.908011961664794, 48.059957084437], [-1.919353102295275, 48.05865920212725], [-1.92311569586281, 48.05680721505607], [-1.924364982928434, 48.055369710147716], [-1.929391595932254, 48.05401118579067], [-1.932662811039375, 48.055097888054156], [-1.935223279093701, 48.053801864773675], [-1.939312589930069, 48.05309169214839], [-1.943738319840341, 48.05326588860633], [-1.946200152876471, 48.0521774663292], [-1.948493641628356, 48.05309121177127], [-1.951484043377662, 48.051840294549244], [-1.953177457519755, 48.05235646971985]]]}"
53;35;243500139;35047;350470101;IRIS;2011;Bruz Centre Nord;350470101;H;Bruz;;CA Rennes Métropole;;CA;Ille-et-Vilaine;;Bretagne;;1663;8555.92080490926;5.14487119958464;0;0.0;14;4318.12769823596;27.0;6573.98891754695;0;0.0;;
53;35;243500139;35047;350470102;IRIS;2015;Bruz Centre Sud Est;350470102;H;Bruz;;Rennes Métropole;;ME;Ille-et-Vilaine;;Bretagne;;1042;4841.84067949556;4.64668011467904;0;0.0;;;13.0;2383.01190868312;0;0.0;48.0145065078, -1.73707476121;"{""type"": ""Polygon"", ""coordinates"": [[[-1.747468990249909, 48.024668575187285], [-1.736069994365854, 48.025583586697884], [-1.736235408064464, 48.02382842941838], [-1.733136433167234, 48.021950513468354], [-1.726685018271035, 48.0205693204589], [-1.721997488993667, 48.021046180593515], [-1.722253330186655, 48.01925127314459], [-1.728088421426634, 48.015807873584045], [-1.724668372421801, 48.011243077795136], [-1.730428193639063, 48.01196521801146], [-1.73617837468505, 48.006497590149394], [-1.734937764811921, 47.998419297238414], [-1.738869859490782, 47.99816351308432], [-1.74026728535047, 47.999071791802336], [-1.742284264072872, 48.006617392240784], [-1.745306610599906, 48.01079490109347], [-1.746137559697497, 48.020642927767014], [-1.747468990249909, 48.024668575187285]]]}"
53;35;243500139;35047;350470103;IRIS;2011;Bruz Centre Sud Ouest;350470103;H;Bruz;;CA Rennes Métropole;;CA;Ille-et-Vilaine;;Bretagne;;890;4800.73074145157;5.39407948477704;;;;;;;0;0.0;;
53;35;243500139;35047;350470103;IRIS;2014;Bruz Centre Sud Ouest;350470103;H;Bruz;;CA Rennes Métropole;;CA;Ille-et-Vilaine;;Bretagne;;893;4659.61551090698;5.21793450269539;;;;;;;0;0.0;;
53;35;243500139;35047;350470103;IRIS;2015;Bruz Centre Sud Ouest;350470103;H;Bruz;;Rennes Métropole;;ME;Ille-et-Vilaine;;Bretagne;;926;4761.49862404142;5.14200715339246;;;;;;;0;0.0;48.0007225226, -1.74923226029;"{""type"": ""Polygon"", ""coordinates"": [[[-1.739789419977353, 47.98291474449089], [-1.753203162247488, 47.979475157362934], [-1.758189491556005, 47.98668497458265], [-1.758096269743523, 47.98808345448551], [-1.756351391749127, 47.990665832920094], [-1.753184647265076, 47.99392867285363], [-1.756932940890445, 47.99699902506773], [-1.756045089406727, 47.999335802017065], [-1.75971497664471, 48.00293674542887], [-1.76118638270033, 48.00585350664525], [-1.757793871986359, 48.0133921901199], [-1.757178723724314, 48.01925814668216], [-1.753791270474848, 48.025228087981155], [-1.747468990249909, 48.024668575187285], [-1.746137559697497, 48.020642927767014], [-1.745306610599906, 48.01079490109347], [-1.742284264072872, 48.006617392240784], [-1.74026728535047, 47.999071791802336], [-1.738869859490782, 47.99816351308432], [-1.734937764811921, 47.998419297238414], [-1.735597617858399, 47.99377604267348], [-1.738793578010387, 47.990618020930384], [-1.739789419977353, 47.98291474449089]]]}"
53;35;243500139;35047;350470104;IRIS;2012;Bruz Ouest;350470104;H;Bruz;;CA Rennes Métropole;;CA;Ille-et-Vilaine;;Bretagne;;3024;14199.1594432329;4.69548923387331;0;0.0;;;17.0;3656.93267855835;0;0.0;;
53;35;243500139;35047;350470105;IRIS;2011;Bruz Nord;350470105;H;Bruz;;CA Rennes Métropole;;CA;Ille-et-Vilaine;;Bretagne;;1334;6722.78108600537;5.03956603148828;0;0.0;4;527.637376118739;51.0;13219.0181730697;0;0.0;;
53;35;243500139;35047;350470106;IRIS;2014;Bruz Est;350470106;H;Bruz;;CA Rennes Métropole;;CA;Ille-et-Vilaine;;Bretagne;;658;3277.68295177665;4.98128108172744;0;0.0;;;;;0;0.0;;
