"imgPays","Pays","Ville","NumEntry","Nombre étudiants erasmus accueillis par an"
"https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg","Finland","Jyväskylä","151","445"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Bordeaux","143","900"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Almeria","7","326"
"https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg","Belgium","Brussels","156","1,635"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Paris","186","6,211"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Clermont-Ferrand","107","244"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Trento","22","236"
"https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg","Finland","Joensuu","148","288"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Vigo","55","343"
"N/A","United-Kingdom","Bristol","127","409"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Santander","11","261"
"https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg","Sweden","Uppsala","171","925"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Verona","93","241"
"https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg","Slovenia","Ljubljana","47","764"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Lyon","133","1,622"
"N/A","Czech Republic","Prague","52","2,223"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Eindhoven","170","420"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Santiago","17","600"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Mainz","96","382"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Nijmege","19","344"
"https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg","Portugal","Porto","13","1,016"
"https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg","Austria","Innsbrück","128","310"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Grenoble","126","877"
"N/A","United-Kingdom","Newcastle","64","438"
"https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg","Slovenia","Maribor","21","267"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Leiden","177","235"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Trieste","46","284"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Huelva","6","384"
"https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg","Denmark","Odense","150","603"
"https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg","Poland","Poznan","25","528"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Tilburg","149","241"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Breda","45","245"
"https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg","Italy","Rome","146","2,346"
"https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg","Poland","Cracow","61","1,005"
"https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg","Poland","Lodz","14","379"
"https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg","Belgium","Ghent","122","861"
"https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg","Denmark","Copenhaguen","181","3,128"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Delft","58","278"
"https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg","Netherlands","Rotterdam","161","505"
"https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg","France","Dijon","104","402"
"N/A","United-Kingdom","Cardiff","119","421"
"https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg","Finland","Espoo","184","254"
"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg","Spain","Granada","100","1,872"
"https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg","Germany","Trier","83","231"
