PaysID,Pays,Ville,Nombre étudiants erasmus accueillis par an,Prix moyen au m² (€),Prix moyen au m² marge d'erreur minimum (€),Prix moyen au m² marge d'erreur maximum (€),Prix moyen pour un 25m² (€),Prix moyen pour un 25m² marge d'erreur minimum (€),Prix moyen pour un 25m² marge d'erreur maximum (€),Rayon autour du centre ville (km),Commentaires
2,Portugal,Braga,234,3.42,2.21,4.62,90,60,120,5,Recherche effectuée sur l'ensemble du marché à la location
3,Spain,Ciudad Real,373,4.88,4.49,5.28,120,110,130,5,Recherche effectuée sur l'ensemble du marché à la location
4,Portugal,Coimbra,791,5.12,3.69,6.55,130,90,160,5,Recherche effectuée sur l'ensemble du marché à la location
5,Spain,Jaen,255,5.16,4.9,5.43,130,120,140,5,Recherche effectuée sur l'ensemble du marché à la location
6,Spain,Valladolid,696,5.59,5.2,5.98,140,130,150,5,Recherche effectuée sur l'ensemble du marché à la location
7,Spain,Huelva,384,5.46,5.23,5.69,140,130,140,5,Recherche effectuée sur l'ensemble du marché à la location
8,Spain,Almeria,326,5.53,5.29,5.76,140,130,140,5,Recherche effectuée sur l'ensemble du marché à la location
9,Spain,Murcia,615,5.84,5.62,6.05,150,140,150,5,Recherche effectuée sur l'ensemble du marché à la location
10,Spain,Oviedo,471,6.55,6.38,6.71,160,160,170,5,Recherche effectuée sur l'ensemble du marché à la location
11,Spain,Las Palmas,535,6.97,5.07,8.86,170,130,220,10,Recherche effectuée sur l'ensemble du marché à la location
12,Spain,Santander,261,6.95,6.84,7.07,170,170,180,5,Recherche effectuée sur l'ensemble du marché à la location
13,Spain,Pamplona,248,7.34,7.16,7.51,180,180,190,5,Recherche effectuée sur l'ensemble du marché à la location
14,Portugal,Porto,"1,016",7.85,6.89,8.81,200,170,220,5,Recherche effectuée sur l'ensemble du marché à la location
15,Poland,Lodz,379,8.15,7.86,8.44,200,200,210,5,
16,Czech Republic,Ostrava,274,8.09,7.55,8.64,200,190,220,5,
17,Spain,Cadiz,640,8.47,8.15,8.8,210,200,220,5,Recherche effectuée sur l'ensemble du marché à la location
18,Spain,Santiago,600,8.22,7.95,8.5,210,200,210,5,Recherche effectuée sur l'ensemble du marché à la location
19,Germany,Dresden,425,8.6,8.45,8.76,220,210,220,5,
20,Netherlands,Nijmege,344,8.64,7.91,9.36,220,200,230,5,Recherche effectuée sur l'ensemble du marché à la location
21,Lithuania,Kaunas,311,8.68,8.19,9.16,220,200,230,5,
22,Slovenia,Maribor,267,9.27,8.86,9.69,230,220,240,5,
23,Italy,Trento,236,9.06,8.71,9.41,230,220,240,5,Recherche effectuée sur l'ensemble du marché à la location
24,Sweden,Sandviken,228,9.34,7.49,11.2,230,190,280,10,Recherche effectuée sur l'ensemble du marché à la location
25,Netherlands,Wageningen,225,9.2,8.4,10.01,230,210,250,5,Recherche effectuée sur l'ensemble du marché à la location
26,Poland,Poznan,528,9.52,9.33,9.71,240,230,240,5,
27,Germany,Leipzig,474,9.55,9.27,9.82,240,230,250,5,
28,United-Kingdom,Paisley,303,9.71,7.98,11.44,240,200,290,5,Recherche effectuée sur l'ensemble du marché à la location
29,Germany,Dortmund,228,9.64,9.2,10.07,240,230,250,5,
30,Czech Republic,Brno,801,9.86,9.65,10.06,250,240,250,5,
31,Netherlands,Maastricht,517,10.02,9.35,10.7,250,230,270,5,Recherche effectuée sur l'ensemble du marché à la location
32,Italy,Sienna,455,10.09,9.65,10.52,250,240,260,5,Recherche effectuée sur l'ensemble du marché à la location
33,Latvia,Riga,373,9.83,9.68,9.97,250,240,250,5,
34,Netherlands,Gröningen,835,10.52,10,11.04,260,250,280,10,Recherche effectuée sur l'ensemble du marché à la location
35,Italy,Perugia,437,10.57,9.6,11.54,260,240,290,5,
36,Turkey,Ankara,332,,,,260,,,Centre ville,"Source des données : http://www.numbeo.com/cost-of-living/, pour un 
appartment d'une chambre dans le centre ville"
37,Italy,Castellanza,285,10.25,8.55,11.95,260,210,300,5,
38,Romania,Bucharest,271,10.28,9.81,10.74,260,250,270,5,
39,Germany,Saarbrücken,248,10.37,9.86,10.89,260,250,270,5,
40,Romania,Cluj-Napoca,230,10.42,9.39,11.46,260,230,290,5,
41,Greece,Athens,821,,,,270,,,Centre ville,"Source des données : http://www.numbeo.com/cost-of-living/, pour un 
appartment d'une chambre dans le centre ville"
42,Spain,Bilbao,724,10.79,10.61,10.97,270,270,270,5,Recherche effectuée sur l'ensemble du marché à la location
43,Greece,Thessaloniki,576,,,,270,,,Centre ville,"Source des données : http://www.numbeo.com/cost-of-living/, pour un 
appartment d'une chambre dans le centre ville"
44,Germany,Hannover,268,11,10.5,11.5,270,260,290,5,
45,Lithuania,Vilnius,751,11.23,11.05,11.4,280,280,280,5,
46,Netherlands,Breda,245,11.11,10.62,11.61,280,270,290,5,Recherche effectuée sur l'ensemble du marché à la location
47,Italy,Trieste,284,11.59,10.43,12.76,290,260,320,5,
48,Turkey,Izmir,229,,,,290,,,Centre ville,"Source des données : http://www.numbeo.com/cost-of-living/, pour un 
appartment d'une chambre dans le centre ville"
49,Slovenia,Ljubljana,764,12.15,12.03,12.27,300,300,310,5,
50,Germany,Aachen,390,11.99,11.65,12.32,300,290,310,5,
51,Germany,Göttingen,300,11.83,11.38,12.28,300,280,310,5,
52,Poland,Gdansk,235,12.11,11.53,12.69,300,290,320,5,
53,Czech Republic,Prague,"2,223",12.41,12.27,12.56,310,310,310,5,
54,Italy,Turin,863,12.49,12.4,12.57,310,310,310,5,
55,Spain,Zaragoza,814,12.57,11.46,13.69,310,290,340,5,
56,Spain,Vigo,343,12.5,10.97,14.03,310,270,350,5,
57,United-Kingdom,Liverpool,289,12.25,11.22,13.29,310,280,330,5,Recherche effectuée sur l'ensemble du marché à la location
58,Germany,Munster,286,12.5,11.96,13.04,310,300,330,5,
59,Netherlands,Delft,278,12.21,11.8,12.61,310,300,320,5,Recherche effectuée sur l'ensemble du marché à la location
60,Germany,Regensburg,253,12.45,12.04,12.86,310,300,320,5,
61,Italy,Palermo,234,12.4,11.42,13.39,310,290,330,5,
62,Poland,Cracow,"1,005",12.61,12.44,12.77,320,310,320,5,
63,United-Kingdom,Sheffield,623,12.88,11.32,14.44,320,280,360,10,Recherche effectuée sur l'ensemble du marché à la location
64,Estonia,Tallinn,454,12.81,12.69,12.94,320,320,320,5,
65,United-Kingdom,Newcastle,438,12.76,10.55,14.97,320,260,370,10,Recherche effectuée sur l'ensemble du marché à la location
66,Germany,Bonn,247,13,12.66,13.34,320,320,330,5,
67,Poland,Wroclaw,650,13.36,13.1,13.63,330,330,340,5,
68,Italy,Bari,357,13.25,12.38,14.12,330,310,350,5,
69,Spain,Leon,252,,,,330,,,Centre ville,"Source des données : http://www.numbeo.com/cost-of-living/, pour un 
appartment d'une chambre dans le centre ville"
70,Spain,Salamanca,"1,275",13.49,12.8,14.18,340,320,350,5,
71,United-Kingdom,Leeds,502,13.72,12.6,14.84,340,310,370,10,Recherche effectuée sur l'ensemble du marché à la location
72,Italy,Genoa,490,13.53,12.77,14.3,340,320,360,5,
