Civilité;Nom;Prénom;Mandat;Circonscription;Département;Candidat-e parrainé-e;Date de publication
M;BARIOD;Maurice;Maire;Saint-Maurice-Crillat;Jura;ALLIOT-MARIE Michèle;01/03/2017
Mme;LARSONNEUR-MOREL;Dominique;Conseiller/ère départemental-e;;Manche;ALLIOT-MARIE Michèle;01/03/2017
M;MEIRE;Étienne;Maire;Raon-lès-Leau;Meurthe-et-Moselle;ALLIOT-MARIE Michèle;01/03/2017
M;PELON;David;Maire;Trignac;Loire-Atlantique;ALLIOT-MARIE Michèle;01/03/2017
M;AGNUS;Joël;Maire délégué-e;Chatonrupt-Sommermont;Haute-Marne;ARTHAUD Nathalie;01/03/2017
Mme;ALBERT;Catherine;Maire;Cahus;Lot;ARTHAUD Nathalie;01/03/2017
M;ANDRE;Yves;Maire;Bannalec;Finistère;ARTHAUD Nathalie;01/03/2017
M;AUBERT;Alain;Maire;Vix;Côte-d'Or;ARTHAUD Nathalie;01/03/2017
M;AVOUAC;Thierry;Maire;Charmes-sur-Rhône;Ardèche;ARTHAUD Nathalie;01/03/2017
M;AVY;Christian;Maire;Hombleux;Somme;ARTHAUD Nathalie;01/03/2017
M;BAILLEUL;Guy;Maire;Crouay;Calvados;ARTHAUD Nathalie;01/03/2017
M;BAILLEUL;Guy;Maire;Oussoy-en-Gâtinais;Loiret;ARTHAUD Nathalie;01/03/2017
M;BARDOT;Georges;Maire;Corbenay;Haute-Saône;ARTHAUD Nathalie;01/03/2017
M;BAUVY;Claude;Maire;Bellechassagne;Corrèze;ARTHAUD Nathalie;01/03/2017
M;BAYLAC;Michel;Maire;Hémilly;Moselle;ARTHAUD Nathalie;01/03/2017
M;BAZIN;Gérard;Maire;Bionville-sur-Nied;Moselle;ARTHAUD Nathalie;01/03/2017
Mme;BECHARD;Isabelle;Maire;Germont;Ardennes;ARTHAUD Nathalie;01/03/2017
M;BENOIST;Jean-Louis;Maire;Barbonne-Fayel;Marne;ARTHAUD Nathalie;01/03/2017
M;BESSAC;Alain;Maire;La Capelle-Bleys;Aveyron;ARTHAUD Nathalie;01/03/2017
Mme;BESSONNEAU;Françoise;Maire;Moumour;Pyrénées-Atlantiques;ARTHAUD Nathalie;01/03/2017
M;BIANCHIN;René;Maire;Pagny-sur-Moselle;Meurthe-et-Moselle;ARTHAUD Nathalie;01/03/2017
M;BIC;Jean-Jacques;Maire;Autreville-sur-Moselle;Meurthe-et-Moselle;ARTHAUD Nathalie;01/03/2017
M;BIGEL;Jean-Pierre;Maire;Villers-sous-Prény;Meurthe-et-Moselle;ARTHAUD Nathalie;01/03/2017
M;BISSINGER;Michel;Maire;Goussaincourt;Meuse;ARTHAUD Nathalie;01/03/2017
M;BLAISE;Gabriel;Maire;Chanceaux;Côte-d'Or;ARTHAUD Nathalie;01/03/2017
M;BLANC;Daniel;Maire;Entrevennes;Alpes-de-Haute-Provence;ARTHAUD Nathalie;01/03/2017
Mme;BON;Linda;Maire;Camps-en-Amiénois;Somme;ARTHAUD Nathalie;01/03/2017
M;BONTE;Alain;Maire;Evricourt;Oise;ARTHAUD Nathalie;01/03/2017
M;BORNIER;Bernard;Maire;Dercy;Aisne;ARTHAUD Nathalie;01/03/2017
M;BOTELLA;Bruno;Maire;Heiltz-le-Hutier;Marne;ARTHAUD Nathalie;01/03/2017
M;BOULENGER;Raynald;Maire;Saint-Quentin-la-Motte-Croix-au-Bailly;Somme;ARTHAUD Nathalie;01/03/2017
M;BOURCHOT;Alain;Maire;Maisoncelles-en-Brie;Seine-et-Marne;ARTHAUD Nathalie;01/03/2017
M;BOUTELEUX;Pascal;Maire;Monceaux-l'Abbaye;Oise;ARTHAUD Nathalie;01/03/2017
M;BOUTET;Jean;Maire;Chalais;Indre;ARTHAUD Nathalie;01/03/2017
M;BOUZIN;Fabien;Maire délégué-e;Le Teilleul;Manche;ARTHAUD Nathalie;01/03/2017
M;BROUTE;Alain;Maire;Ranville-Breuillaud;Charente;ARTHAUD Nathalie;01/03/2017
M;BRUNEL;Vincent;Maire délégué-e;Bayons;Alpes-de-Haute-Provence;ARTHAUD Nathalie;01/03/2017
M;BUTIN;Yves;Maire;Villeselve;Oise;ARTHAUD Nathalie;01/03/2017
M;CAMPION;Dominique;Maire;Humberville;Haute-Marne;ARTHAUD Nathalie;01/03/2017
Mme;CANAL;Martine;Maire;Castagnède;Haute-Garonne;ARTHAUD Nathalie;01/03/2017
M;CANESSE;Pierre;Maire;Salomé;Nord;ARTHAUD Nathalie;01/03/2017
M;CANNAZZARO;Michel;Maire;Foulenay;Jura;ARTHAUD Nathalie;01/03/2017
M;CARON;Christophe;Maire;Meyssac;Corrèze;ARTHAUD Nathalie;01/03/2017
M;CAUMES;François;Maire;Le Chalon;Drôme;ARTHAUD Nathalie;01/03/2017
Mme;CAVIGNEAUX;Nadine;Maire;Saint-Nicolas-aux-Bois;Aisne;ARTHAUD Nathalie;01/03/2017
Mme;CHARROIS;Monique;Maire;Sorcy-Bauthémont;Ardennes;ARTHAUD Nathalie;01/03/2017
M;CHAVEY;Noël;Maire;Onans;Doubs;ARTHAUD Nathalie;01/03/2017
Mme;CHEVALLOT;Pascale;Maire;Gigny-Bussy;Marne;ARTHAUD Nathalie;01/03/2017
M;CLAUDON;Alain;Maire délégué-e;Vals-des-Tilles;Haute-Marne;ARTHAUD Nathalie;01/03/2017
Mme;COELHO;Véronique;Maire;Bazian;Gers;ARTHAUD Nathalie;01/03/2017
M;CONTAL;Fabien;Maire;Vraincourt;Haute-Marne;ARTHAUD Nathalie;01/03/2017
M;COTTARD;Bruno;Maire;Livet-sur-Authou;Eure;ARTHAUD Nathalie;01/03/2017
M;COUROUBLE;Xavier;Maire;Linghem;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
Mme;CREIGNOU;Solange;Maire;Saint-Thegonnec Loc-Eguiner;Finistère;ARTHAUD Nathalie;01/03/2017
M;CROCFER;Fernand;Maire;Boiry-Notre-Dame;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
Mme;CROIBIER;Catherine;Maire;Bérou-la-Mulotière;Eure-et-Loir;ARTHAUD Nathalie;01/03/2017
Mme;CUIF;Anne;Maire;Annelles;Ardennes;ARTHAUD Nathalie;01/03/2017
M;D'INCAU;Michel;Maire;Sainte-Colombe-de-Duras;Lot-et-Garonne;ARTHAUD Nathalie;01/03/2017
Mme;DARLES;Marcelle;Maire;Saint-Priest-la-Vêtre;Loire;ARTHAUD Nathalie;01/03/2017
M;DEFER;Gilbert;Maire;La Neuveville-sous-Châtenois;Vosges;ARTHAUD Nathalie;01/03/2017
M;DEGREMONT;Stéphane;Maire;Sasseville;Seine-Maritime;ARTHAUD Nathalie;01/03/2017
M;DELAHAYE;Patrick;Maire;Litteau;Calvados;ARTHAUD Nathalie;01/03/2017
M;DELAUNAY;Pascal;Maire;Maisoncelles-sur-Ajon;Calvados;ARTHAUD Nathalie;01/03/2017
M;DELELIS;Bernard;Maire;Gonnehem;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
M;DELOCHE;Joël;Maire;Rosnay;Indre;ARTHAUD Nathalie;01/03/2017
M;DESCAMPS;Guillaume;Maire;Marquigny;Ardennes;ARTHAUD Nathalie;01/03/2017
M;DESCHARLES;Jean-Claude;Maire;Saint-Josse;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
M;DESTREZ;Régis;Maire;Pouilly-sur-Serre;Aisne;ARTHAUD Nathalie;01/03/2017
M;DOUADY;Daniel;Maire;Le Petit-Pressigny;Indre-et-Loire;ARTHAUD Nathalie;01/03/2017
M;DOYEN;Claude;Maire;Blesme;Marne;ARTHAUD Nathalie;01/03/2017
M;DROUHOT;Roland;Maire;Chauvirey-le-Châtel;Haute-Saône;ARTHAUD Nathalie;01/03/2017
M;DROUVOT;Christian;Maire;Saint-Georges-Armont;Doubs;ARTHAUD Nathalie;01/03/2017
M;DUBOIS;Charles;Maire;Charmes-en-l'Angle;Haute-Marne;ARTHAUD Nathalie;01/03/2017
M;DUBOIS;Sylvain;Maire;Romain;Doubs;ARTHAUD Nathalie;01/03/2017
M;DUCHEZEAU;Pascal;Maire;Montferrand-le-Château;Doubs;ARTHAUD Nathalie;01/03/2017
Mme;DUFRESNE;Chantal;Maire;Thièvres;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
M;DUPONT;Jean-Marc;Maire;Béon;Ain;ARTHAUD Nathalie;01/03/2017
Mme;DURIEZ;Colette;Maire;Carnoy;Somme;ARTHAUD Nathalie;01/03/2017
Mme;ERCOLI;Sylvie;Maire;Lunan;Lot;ARTHAUD Nathalie;01/03/2017
M;ESPOSITO;Fabrice;Maire;Lauzun;Lot-et-Garonne;ARTHAUD Nathalie;01/03/2017
M;FETET;Michel;Maire;Arrentès-de-Corcieux;Vosges;ARTHAUD Nathalie;01/03/2017
M;FORTIN;Jacques;Maire;Blaise-sous-Arzillières;Marne;ARTHAUD Nathalie;01/03/2017
Mme;FOURQUET;Sylvie;Maire;Girac;Lot;ARTHAUD Nathalie;01/03/2017
M;FRANCOIS;Bernard;Maire;Magnoncourt;Haute-Saône;ARTHAUD Nathalie;01/03/2017
M;FRECHIN;Jean-Pierre;Maire;Ousté;Hautes-Pyrénées;ARTHAUD Nathalie;01/03/2017
M;FRENETTE;Bernard;Maire;Velles;Haute-Marne;ARTHAUD Nathalie;01/03/2017
M;GAGNEUR;Raphaël;Maire;Molain;Jura;ARTHAUD Nathalie;01/03/2017
M;GAILLON;Bernard;Maire;Claville-Motteville;Seine-Maritime;ARTHAUD Nathalie;01/03/2017
M;GAINCHE;Jean-Paul;Maire;Langrolay-sur-Rance;Côtes-d'Armor;ARTHAUD Nathalie;01/03/2017
M;GALINON;Eric;Maire;Le Pescher;Corrèze;ARTHAUD Nathalie;01/03/2017
M;GAMBOTTI;Alexandre;Maire;Ficaja;Haute-Corse;ARTHAUD Nathalie;01/03/2017
M;GARNIER;Christophe;Maire délégué-e;Eternoz;Doubs;ARTHAUD Nathalie;01/03/2017
M;GARRET;Yves;Maire;Menoux;Haute-Saône;ARTHAUD Nathalie;01/03/2017
M;GARY;Claude;Maire;Baives;Nord;ARTHAUD Nathalie;01/03/2017
M;GATTAUX;Michel;Maire;Sainte-Geneviève;Meurthe-et-Moselle;ARTHAUD Nathalie;01/03/2017
M;GELEBART;André;Maire;Thiétreville;Seine-Maritime;ARTHAUD Nathalie;01/03/2017
M;GILBERT;Ghislain;Maire;Ormoy-Villers;Oise;ARTHAUD Nathalie;01/03/2017
M;GOMEZ;François;Maire;Thiescourt;Oise;ARTHAUD Nathalie;01/03/2017
M;GOMEZ;Ruben;Maire;Laguinge-Restoue;Pyrénées-Atlantiques;ARTHAUD Nathalie;01/03/2017
M;GORET;Gérard;Maire;Fontaine-Lavaganne;Oise;ARTHAUD Nathalie;01/03/2017
M;GOSSET;Jean-Yves;Maire;Le Mesnil-Saint-Firmin;Oise;ARTHAUD Nathalie;01/03/2017
M;GRAS;Guillaume;Maire;Puechredon;Gard;ARTHAUD Nathalie;01/03/2017
M;GRASSET;Serge;Maire délégué-e;Florac Trois Rivières;Lozère;ARTHAUD Nathalie;01/03/2017
Mme;GUERET;Françoise;Maire;Les Eduts;Charente-Maritime;ARTHAUD Nathalie;01/03/2017
M;GUYOT;Gauthier;Maire;Servon-Melzicourt;Marne;ARTHAUD Nathalie;01/03/2017
M;HALOT;Philippe;Maire;Bourg-Beaudouin;Eure;ARTHAUD Nathalie;01/03/2017
M;HENNEVEUX;Marc;Maire;Allemant;Aisne;ARTHAUD Nathalie;01/03/2017
Mme;JOUANNEAU;Dominique;Maire;Parçay-sur-Vienne;Indre-et-Loire;ARTHAUD Nathalie;01/03/2017
M;LADAM;Philippe;Maire;Nointel;Oise;ARTHAUD Nathalie;01/03/2017
M;LALISSE;Michel;Maire;Metz-en-Couture;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
M;LAMBERT;Dominique;Maire délégué-e;Val-de-Meuse;Haute-Marne;ARTHAUD Nathalie;01/03/2017
Mme;LANDREA;Marie-Annick;Maire;Hallignicourt;Haute-Marne;ARTHAUD Nathalie;01/03/2017
M;LANFRIT;Roland;Maire;Neunkirchen-lès-Bouzonville;Moselle;ARTHAUD Nathalie;01/03/2017
M;LANGLET;Jean-François;Maire;Vaux-Marquenneville;Somme;ARTHAUD Nathalie;01/03/2017
M;LAVIGNE DELVILLE;François;Maire;Viuz-la-Chiésaz;Haute-Savoie;ARTHAUD Nathalie;01/03/2017
M;LEBORGNE;Jacky;Maire;Talmontiers;Oise;ARTHAUD Nathalie;01/03/2017
Mme;LECONTE;Danièle;Maire;La Luzerne;Manche;ARTHAUD Nathalie;01/03/2017
M;LECOQ;Jackie;Maire;Hattencourt;Somme;ARTHAUD Nathalie;01/03/2017
M;LETETREL;Charlie;Maire;Saires-la-Verrerie;Orne;ARTHAUD Nathalie;01/03/2017
M;LETOURNEUR;Raymond;Maire;Rapilly;Calvados;ARTHAUD Nathalie;01/03/2017
M;LEY;Gérard;Maire;Florent-en-Argonne;Marne;ARTHAUD Nathalie;01/03/2017
M;LOGEAY;Philippe;Maire;Villotran;Oise;ARTHAUD Nathalie;01/03/2017
Mme;LUTIGNEAUX;Annick;Maire;Mâchecourt;Aisne;ARTHAUD Nathalie;01/03/2017
M;MAHU;Bernard;Maire;Deuillet;Aisne;ARTHAUD Nathalie;01/03/2017
M;MARQUET;Régis;Maire;Neuville-au-Cornet;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
M;MARTEAU;Pascal;Maire;Premières;Côte-d'Or;ARTHAUD Nathalie;01/03/2017
M;MARTINI;Jean-Luc;Maire;Willer-sur-Thur;Haut-Rhin;ARTHAUD Nathalie;01/03/2017
Mme;MASSOLA;Joëlle;Maire délégué-e;Perche en Nocé;Orne;ARTHAUD Nathalie;01/03/2017
Mme;MASUYER;Claude;Maire;Grange-de-Vaivre;Jura;ARTHAUD Nathalie;01/03/2017
M;MAYEUX;Bernard;Maire;Tortequesne;Pas-de-Calais;ARTHAUD Nathalie;01/03/2017
M;MAYOUD;Pierre;Maire;L'Ecouvotte;Doubs;ARTHAUD Nathalie;01/03/2017
Mme;MELO;Isabelle;Maire;Channay-sur-Lathan;Indre-et-Loire;ARTHAUD Nathalie;01/03/2017
M;MENISSEZ;Claude;Maire;Colleret;Nord;ARTHAUD Nathalie;01/03/2017
M;MENONI;Michel;Maire;Liac;Hautes-Pyrénées;ARTHAUD Nathalie;01/03/2017
M;MERCIER;Jean-Claude;Maire;Sommereux;Oise;ARTHAUD Nathalie;01/03/2017
Mme;MERLIN;Bernadette;Maire;Châtres;Dordogne;ARTHAUD Nathalie;01/03/2017
M;MIELCAREK;Christian;Maire;Ballay;Ardennes;ARTHAUD Nathalie;01/03/2017
M;MOUSSLER;Emmanuel;Maire;Waville;Meurthe-et-Moselle;ARTHAUD Nathalie;01/03/2017
Mme;NANSOT;Christiane;Maire;Villers-aux-Erables;Somme;ARTHAUD Nathalie;01/03/2017
M;NIZET;Jacky;Maire;Verpel;Ardennes;ARTHAUD Nathalie;01/03/2017
M;NOGRETTE;Jean-Claude;Maire;Dunet;Indre;ARTHAUD Nathalie;01/03/2017
M;O'BATON;Joël;Maire;Saint-Just-de-Claix;Isère;ARTHAUD Nathalie;01/03/2017
M;PAGE;Christian;Maire;Saclay;Essonne;ARTHAUD Nathalie;01/03/2017
