"Framework Name","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Bar Chart Types","Supported Bar Chart Types","Supported Bar Chart Types","Supported Bar Chart Types","License","Other Features","Interactivity","Interactivity","Rendering Technologies","Rendering Technologies","Rendering Technologies"
"Framework Name","Line","Timeline","Scatter","Area","Pie","Donut","Bullet","Radar","Funnel","Gantt","Network","Grouped","Stacked","Negative","Discrete","Horizontal","License","Legends","Mouse Over","onClick","HTML5 Canvas","SVG","VML"
"amCharts","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Free with a link  or commercial","Yes","Yes","Yes","No","Yes","Yes"
"AnyChart","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Proprietary","Yes","Yes","Yes","No","Yes","Yes"
"CanvasJS","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","CC BY-NC 3.0 or commercial","Yes","Yes","Yes","Yes","No","No"
"canvasXpress","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","GPLv3, name/email required for source link","Yes","Yes","Yes","Yes","No","Yes"
"ChartJS","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Non-commercial or commercial","Yes","Yes","Yes","No","Yes","No"
"Chart.js","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","MIT","Yes","No","No","Yes","No","No"
"Chart Builder By Livegap","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","Free","Yes","Yes","Yes","Yes","No","No"
"Cytoscape.js","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","LGPL","No","Yes","Yes","Yes","No","No"
"D3.js, formerly Protovis","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","BSD-3","No","Yes","No","No","Yes","No"
"dc","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","Apache 2.0","No","Yes","Yes","No","Yes","No"
"DHTMLX Charts","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","GPL or Commercial","Yes","Yes","Yes","Yes","No","Yes"
"Dojo Charting","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","BSD or AFL","Yes","Yes","Yes","Yes","Yes","Yes"
"Dygraphs","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","MIT","Yes","Yes","Yes","Yes","No","No"
"Flot Charts","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","MIT","Yes","Yes","Yes","Yes","No","No"
"FusionCharts","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Yes","Yes","Yes","No","Yes","Yes"
"Flotr2","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","MIT","Yes","Yes","Yes","Yes","No","No"
"Google Chart Tools","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","Google controls API, code samples Apache 2.0","Yes","Yes","Yes","No","Yes","Yes"
"gRaphael","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No","Yes","MIT","Yes","Yes","No","No","Yes","No"
"Highcharts, Highstock","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Non-commercial or commercial","Yes","Yes","Yes","No","Yes","Yes"
"jqPlot","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","Yes","MIT or GPLv2","Yes","Yes","Yes","Yes","No","No"
"KoolChart","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Free (with a watermark)  or commercial","Yes","Yes","Yes","Yes","No","Yes"
"MetricsGraphics","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Mozilla Public License Version 2.0","Yes","Yes","Yes","No","Yes","Yes"
"NVD3","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Apache 2.0","Yes","Yes","Yes","No","Yes","No"
"OLAPCharts","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Free basic edition","Yes","Yes","Yes","Yes","No","No"
"Plotly","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Proprietary","Yes","Yes","Yes","No","Yes","No"
"RGraph","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","CC BY-NC 3.0 or commercial","Yes","Yes","Yes","Yes","No","No"
"rickshaw","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","MIT","Yes","Yes","No","No","Yes","No"
"Shield UI","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Non-commercial or commercial","Yes","Yes","Yes","No","Yes","Yes"
"TeeChart for Javascript","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Non-commercial or commercial","Yes","Yes","Yes","Yes","No","No"
"xcharts","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","MIT","No","Yes","Yes","No","Yes","No"
"YUI Charts","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","BSD-3","Yes","Yes","No","Yes","Yes","Yes"
"ZingChart","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes"
"ZoomCharts","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Non-commercial or commercial","Yes","Yes","Yes","Yes","No","Yes"
"Framework Name","Line","Timeline","Scatter","Area","Pie","Donut","Bullet","Radar","Funnel","Gantt","Network","Grouped","Stacked","Negative","Discrete","Horizontal","License","Legends","Mouse Over","onClick","HTML5 Canvas","SVG","VML"
"Framework Name","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Chart Types","Supported Bar Chart Types","Supported Bar Chart Types","Supported Bar Chart Types","Supported Bar Chart Types","License","Other Features","Interactivity","Interactivity","Rendering Technologies","Rendering Technologies","Rendering Technologies"
