"Site","Specialization","Is a tracker","Directory","Public","RSS","One-click download","Sortable","Comments","Multi-tracker index","DHT search","Ignores DCMA","Alexa Traffic Rank"
"KickassTorrents","None","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","151"
"Torrentz","Search Engine","No","No","Yes","Yes","No","Yes","Yes","Yes","No","","206"
"ExtraTorrent","None","?","Yes","Yes","Yes","No","VIP only","Yes","?","?","","356"
"YTS","Movies","?","Yes","Yes","Yes","Yes","Yes","Yes","No","?","","740"
"Nyaa Torrents","Anime","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","","758"
"EZTV","Television","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","1,262"
"isoHunt","None","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","No","1,890"
"IPTorrents","None","Yes","Yes","No","Yes","Yes","Yes","Yes","No","?","","2,380"
"BitSnoop","None","No","Yes","Yes","No","No","Yes","Yes","Yes","?","","2,712"
"The Old Pirate Bay","None","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","","2,851"
"torrentreactor.net","None","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","","5,677"
"TorrentLeech.org","Scene Releases","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","","7,180"
"h33t","None","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?","","8,505"
"Torlock","Verified Torrents","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","10,186"
"TorrentProject","None","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","83,109"
"YourBittorrent","None","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","12,862"
"AsiaTorrents","Asian Media","Yes","Yes","No","Yes","No","Yes","Yes","No","No","","15,060"
"BTDigg","None","No","No","Yes","No","Yes","Yes","No","No","Yes","","11,684"
"what.cd","Albums","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","","7,908"
"broadcasthe.net","Television","Yes","?","No","?","Yes","?","Yes","?","?","","16,285"
"revolutiontt.me","?","?","?","No","?","?","?","?","?","?","","23,088"
"Mininova","Legally redistributable media","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","","30,056"
"BT-Chat.com","Verified Groups","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","43,594"
"sceneAccess.eu","?","?","?","No","?","?","?","?","?","?","","27,636"
"HDBits.org","?","?","?","No","?","?","?","?","?","?","","34,499"
"TorrentUs","All categories","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","","33,587"
"myanonamouse.net","Books","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","42,080"
"AnimeSuki","Anime & otaku subculture","No","Yes","Yes","Yes","Yes","Only new torrents","No","No","No","","45,061"
"FullDLs","?","?","?","Yes","?","?","?","?","?","?","","50,390"
"Bitme.org","?","?","?","No","?","?","?","?","?","?","","64,719"
"Tormovies","Films","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","","111,786"
"Mamega.com","All categories","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","126,211"
"YourExotic","Asian Porn","Yes","Yes","No","Yes","No","Yes","Yes","No","No","","79,304"
"thegft.org","?","?","?","No","?","?","?","?","?","?","","144,195"
"TranceTraffic","?","?","?","No","?","?","?","?","?","?","","165,845"
"bitmetv.org","?","?","?","No","?","?","?","?","?","?","","76,952"
"blackcats-games.net","Video Games","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","","82,147"
"etree","Live Concerts","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","","113,531"
"1337x.to","None","No","Yes","Yes","No","No","No","Yes","Yes","No","","259,377"
"AniRena","Japanese/Asian media","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","","500,549"
"OpenBitTorrent","None","Yes","No","Yes","No","No","No","No","No","No","","459,117"
"zoozle.org","?","?","?","Yes","?","?","?","?","?","?","","549,691"
"MovieMagnet","Films","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","","473,413"
"Buhaypirata Networks","Philippine Media","Yes","Yes","Semi-public (Some torrents are private)","Yes","No","Yes","Yes","Yes (for ""external"" torrent source)","Yes (for ""external"" torrent source)","","467,931"
"torrentportal.com","?","?","?","Yes","?","?","?","?","?","?","","659,889"
"Legit Torrents","Legally free media","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","714,566"
"coda.fm","Albums","?","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","","819,064"
"TorrentTree.com","None","No","No","Yes","Yes","No","Yes","No","Yes","No","","844,664"
"Site","Specialization","Is a tracker","Directory","Public","RSS","One click download","Sortable","Comments","Multi-tracker index","DHT search","Ignores DCMA","Alexa Traffic Rank"
