"Brand","Model name","Sensor size","Effective megapixel","Lens mount","Viewfinder type","Viewfinder coverage (% of the frame)","Metering zones","Focus points","Lowest ISO","Highest ISO","DxOMark sensor score","DxO ISO perfor- mance","Cont. shtg (fps)","LCD size (in)","Live view","Movie mode","Memory card type","Dimensions (mm)","Weight (g)","Announced (date)","In produc- tion","Reference"
"Pentax","K-7","APS-C","14.6","K mount","Pentaprism","100","77","11","100","6400","61","536","5.2","3","yes","yes","SD","131x97x73","750","May 2009","no",""
"Pentax","K-50","APS-C","16.3","K mount","Pentaprism","100","77","11","100","51200","79","1120","6","3","yes","yes","SDXC","130x97x71","650","June 2013","yes",""
"Pentax","K-500","APS-C","16.3","K mount","Pentaprism","100","77","11","100","51200","79","1087","6","3","yes","yes","SDXC","130x97x71","646","June 2013","yes",""
"Pentax","K-30","APS-C","16.3","K mount","Pentaprism","100","77","11","100","25600","79","1129","6","3","yes","yes","SDXC","131x97x73","649","May 2012","no",""
"Pentax","K-r","APS-C","12.4","K mount","Pentamirror","96","16","11","100","25600","72","755","6.0","3.0","yes","yes","SD","122x91x67","515 (without battery)","Sep 2010","no",""
"Pentax","K-x","APS-C","12.4","K mount","Pentamirror","96","16","11","100","12800","72","811","4.7","2.7","yes","yes","SD","122x91x67","580","Sep 2009","no",""
"Pentax","K20D","APS-C","14.6","K mount","Pentaprism","96","16","11","100","6400","65","639","3","2.7","yes","","SD","141.5×101×70","800","Jan 2008","no",""
"Sigma","SD1 Merrill","APS-C","15.4 x 3","SA mount","Pentaprism","96","77","11","100","6400","N/A","N/A","6","3","no","no","CF","146x113x80","790","February 2012","yes",""
"Sony","Alpha 900","Full frame","24.6","Sony α/Minolta A","Pentaprism","100","40","9","100","6400","79","1431","5","3","no","no","CF, MS","156x117x82","895","Sep 2008","yes",""
"Sony","Alpha 850","Full frame","24.6","Sony α/Minolta A","Pentaprism","98","40","9","100","6400","79","1415","3","3","no","no","CF, MS","156x117x82","895","Aug 2009","yes",""
