"Name","Operating system","User interface","Sector by sector","File by file","Hot transfer","Mount or extract","Operation model","Operation model","Operation model","License"
"Name","Operating system","User interface","Sector by sector","File by file","Hot transfer","Mount or extract","Standalone","Client–server","Offline
(From a Live OS)","License"
"Acronis True Image","Windows","Graphical","Yes","FAT32, NTFS","Yes","Yes","Yes","Yes","Yes (64 MB)","Shareware"
"Apple Software Restore","OS X","Command-line","Yes","HFS+","?","?","Yes","Yes","?","Part of Mac OS X"
"Clonezilla","Linux","Text-based","Yes","FAT32, NTFS, ext2, ext3, HFS+","No","Through a hack","Yes","Yes (Clonezilla server edition)","Yes (109.1 MB)","GPL"
"dcfldd","Linux","Command-line","Yes","No","No","No","Yes","No","?","GPL"
"dd (Unix)","Unix","Command-line","Yes","No","No","No","Yes","No","?","BSD/CDDL/GNU/others"
"Disk Utility","OS X","Graphical","Yes","HFS+","Yes","Yes","Yes","No","Yes","Part of Mac OS X"
"EASIS Drive Cloning","Windows","Graphical","Yes","No","No","No","Yes","No","Yes","Shareware"
"FSArchiver","Linux","Text-based","No","FAT32, btrfs, ext2, ext3, ext4, ReiserFS-4, HPFS, JFS, XFS","?","?","Yes","No","?","GPL"
"Ghost v15","Windows","Graphical
Command-line","Yes","FAT32, NTFS","Yes","Yes","Yes","Yes","Yes","Shareware"
"GParted Live CD","Linux","Graphical","No","ext2, ext3","No","No","Yes","No","Yes","GPL"
"Image for Windows","Windows","Graphical","Yes","FAT32, NTFS, ext2, ext3","Yes","Yes","Yes","No","Yes","Shareware"
"Kleo Bare Metal Backup","Independent (Live OS)","Graphical","Yes","FAT32, NTFS, ext2, ext3, HFS+","No","?","No","Yes","Yes (570 MB)","Freeware"
"Macrium Reflect","Windows","Graphical","Yes","FAT32, NTFS, ext2, ext3","Yes","Yes","?","?","Yes (6 MB)","Freemium"
"Mondo Rescue","Linux","Text-based","Yes","FAT32, NTFS, ext2, ext3","Yes","?","Yes","?","Yes *","GPL"
"ntfsclone","Linux","Command-line","No","NTFS","?","?","Yes","No","No","GPL"
"partimage","Linux","Text-based","No","FAT32, ext2, ext3, ReiserFS-3, HPFS, JFS, XFS;
UFS (beta), HFS (beta), NTFS (experimental)","?","?","Yes","Yes","No","GPL"
"Partition-Saving","Windows, Linux, DOS","Text-based
Command-line","Yes","FAT32, NTFS, ext2, ext3","No","Yes","Yes","No","Yes","Freeware"
"PING","Linux","Text-based","Yes","FAT32, ext2, ext3, ReiserFS-3, HPFS, JFS, XFS;
UFS (beta), HFS (beta), NTFS (experimental)","No","?","Yes","Yes","Yes (31 MB)","GPL"
"Redo Backup and Recovery","Independent (Live OS)","Graphical","Yes","FAT32, NTFS, ext2, ext3","No","No","No","Can access networked drives","Yes (225 MB)","GPL"
