"Name","Description","Language","OS","License","most recent release"
"GDB","GNU Debugger","any compiled to Machine code","any","GPL","7.8.1, Oct 2014"
"IDB","Intel Debugger","any compiled to Machine code","Windows, Linux","Proprietary","13.0.1, 2013"
"LLDB","LLVM Debugger","any compiled to Machine code","Mac OS X i386 and x86-64, Linux, FreeBSD","BSD-Style","3.5.0, Sep 2014"
"pdb","Python debugger","Python","any","Python Software Foundation License","3.4.2, Oct 2014"
