"OS","Version","Claimed IPv6-ready","Installed by Default","DHCPv6","ND RDNSS","Notes"
"AIX","4.3","Yes","Yes","Yes","No",""
"AlliedWare Plus","5.4.4","Yes","Yes","Yes","No",""
"Android","5.0 (Lollipop)","Yes","Yes","No","Yes","Supports ND-RDNSS in Android 5.0 and above. Does not support DHCPv6. Suffers from intermittent loss of its unicast address on some phones."
"Cisco IOS","15.3","Yes","Yes","Yes","Yes","Support for RDNSS option as of 15.4(1)T, 15.3(2)S."
"Fedora","13","Yes","Yes","Yes","Yes",""
"FreeBSD","9.0","Yes","Yes","Addon","Yes",""
"HP-UX","11i","Yes","Yes","Yes","Yes",""
"IBM i","7.1","Yes","Yes","Yes","No",""
"iOS","4.1","Yes","Yes","Yes","Yes","iOS supports stateless DHCPv6 since version 4 and stateful DHCPv6 since 4.3.1."
"Juniper JUNOS","14.1","Yes","Yes","Yes","Yes","RDNSS support introduced in JUNOS 14.1"
"Mac OS X","10.7 (Lion)","Yes","Yes","Yes","Yes","Versions 10.7 and later often prefer IPv4 even when working IPv6 connectivity is available."
"MeeGo","1.2","No","Yes","No","Yes",""
"OpenBSD","5.2","Yes","Yes","Addon","Yes","RDNSS is only supported for rtadvd so far."
"OpenVMS","8.3","Yes","Yes","No","No",""
"Red Hat Enterprise Linux","6","Yes","Yes","Yes","Yes",""
"Solaris","10","Yes","Yes","Yes","No",""
"SUSE Linux Enterprise Server","11","Yes","Yes","Yes","Yes",""
"Symbian","7.0","Yes","Yes","No","No",""
"Ubuntu","11.04 to 13.10","Yes","Yes","Yes","Yes","RDNSS support available so long as NetworkManager uses IPv6 ""Automatic"" setting, otherwise ""rdnssd"" package required."
"webOS","2.1.0","No","No","No","No",""
"Windows NT","5.1 (XP)","Yes","No","Addon","No","Windows XP users can use Dibbler, an open source DHCPv6 implementation"
"Windows NT","6.X (Vista),(7),(8)","Yes","Yes","Yes","Addon","rdnssd-win32 provides an open source implementation of ND RDNSS"
"Windows Mobile","6.5","Yes","Yes","Lite","No","If the OEM explicitly unsets the SYSGEN_TCPIP6 pre-processor symbol, the built image will not have any IPv6 capabilities."
"Windows Phone","7.5","No","No","No","No","8 might have some support."
"Windows Phone","8(.1)","Yes","Yes","Yes","No","Private lab research. No privacy extensions (RFC4941)."
"z/OS","V1R4.0","Yes","Yes","No","",""
"z/VM","V5R1.0","Yes","Yes","No","No",""
"z/VSE","V4R2","Addon","No","","","Via a third party TCP/IP stack, IP6/VSE from Barnard Software, Inc."
