"Software","Type","Version","Operating systems","Developer","License","FDA cleared","Supported Devices"
"BioEra","Biofeedback: visual designer","2.0","Windows, Android","PROATECH LLC","Proprietary","No (but basis of Cygnet and others)","Pocket Neurobics, BrainQuiry, NeuroAmp,"
"BioExplorer","Neurofeedback","1.5","Windows","Cyberevolution, Larry Janow","Proprietary","No ""Intended for personal use...""","Brainmaster, BrainQuiry, NeuroAmp,"
"BioGraph Infiniti","Neurofeedback/Biofeedback","6.0","Windows","Thought Technology Ltd, Dr. Hal Myers","Proprietary","Yes","Thought Technology"
"BioTrace+","Neurofeedback & Biofeedback","V2013","Windows","Mind Media Netherlands","Proprietary","Medical class II","Nexus"
"Brainathalon","Game","?","Java","Amy Palke","Open source","No",""
"BrainBay","Neurofeedback: MIDI, particle display","?","Windows","Chris Veigl and Jeremy Wilkerson","GPL","No",""
"BrainFeedback Pro","Neurofeedback","v12","Windows","Deymed Diagnostic","Proprietary","Yes","Deymed"
"BrainMaster","Neurofeedback, Biofeedback, and QEEG; optional live z-scores (ANI or BrainDX), Live sLORETA Projector.","various including BrainAvatar.  Third-party SW includes: NeuroGuide, BioExplorer, BioERA, BrainPaint, SKIL, LENS, EEGer, BrainTrain, OpenVibe, EEGStudio","Windows","BrainMaster Technologies, Inc.      Thomas F. Collura","Proprietary; includes optional no-cost Application Programming Interfaces (API)","Yes","Brainmaster 2E, 2EW, 2EB, Atlantis, Discovery, MINI-Q"
"BWView","Brainwave viewer","1.0.5","Linux, Windows","Jim Peters","GPL","No",""
"Cygnet","Neurofeedback: one- and two channel frequency band training and ILF (SCP) training according to Othmer, Alpha-Theta training. With additional Mitsar device or x23 accessory also tomographic (sLoreta) neurofeedback. Add-ons for sLoreta feedback and flexible system configuration fully approved but not available to clinicians. For research institutions only. Biofeedback: pIR far-infrared triple-sensor feedback","2.0","Windows","BEE Systems LLC / Corscience","Proprietary","FDA class II, CE class IIa; Software approved including feedback animations by SomaticVision; accessory to EEG NeuroAmp","NeuroAmp plus add-ons: NeuroAmp x23, pIRx3, tactile feedback"
"Dual Drive Pro","Biofeedback GSR & Temp","3.0","Windows","Somatic Vision Inc.","Proprietary","Unknown (not EEG)",""
"eBioo","Neurofeedback & Analysis
one-, two- and four channel training ,
Amplitude-, relative Amplitude-, Coherence-,
Band-Ratio-, Asymmetry-inhibit-Training 
and more ..","1.5","Windows","Soft-dynamics, Geoffrey Arens","Proprietary","No - not stated or in FDA database","Pocket Neurobics, Neurobit Systems, Brainmaster"
"EEGer4","Neurofeedback & Analysis","4.3.0","Windows","EEG Software LLC","Proprietary","FDA Class II","J&J, Telediagnostic Systems, Phoenix Neuro Systems,"
"ElectricGuru","Neurofeedback","0.4","Windows","Rob Sacks","Open source","No",""
"EventIDE","Visual environment for designing behavioral experiments and mental games with real-time neurofeedback control and signal processing.","1.0","Windows","Okazolab Ltd","Proprietary","No","The majority of popular bio-amplifiers"
"Mind WorkStation","Neurofeedback, Biofeedback, and EEG-Driven Entrainment","1.3","Windows","Transparent Corporation","Proprietary","No but can use Bioexplorer, Biograph, BioEra links","See Bioexplorer, Biograph, BioEra"
"MindReflector","Neurofeedback","1.1","Windows","MindReflector Technologies, LLC","Proprietary","No","NeuroSky"
"NeurOptimal","Neurofeedback","2.0","Windows","Valdeane W. Brown, Ph.D.","Proprietary","Unknown - not stated or in FDA database","zAmp from Zengar"
"NeuroRT Suite","Real-time Processing, Self Neuromodulation, Bio/Neurofeedback","2.2","Windows, Linux, Mac OS, Android","Mensia Technologies","Proprietary","Pending","ANT: All devices
 Biosemi: ActiveTwo Mk I and ActiveTwo Mk II
 Brainmaster: Atlantis and Discovery 24
 Brain Products: ActiCHamp, BrainAmp series, QuickAmp and vAMP
 Cognionics: Cognionics64
 EGI: NetAmps 300
 Emotiv: EPOC
 g.Tec: gMobilab+ and gUSBamp
 MindMedia: NeXus32, NeXus10
 Mitsar: EEG 202; 
 NeuroElectrics: Enobio 
 OpenEEG: ModularEEG
 Shimmer
 TMSi: Porti, Refa, MOBITA, MOBI, MOBI mini
 Wearable Sensing: DSI24 and DSI6"
"NeuroServer","Raw EEG to TCP/IP + EDF converter","0.7.4","Linux, Windows","[Rudi Cilibrasi]","GPL","No",""
"OpenViBE","BCI, Visual Designer, Analysis, Neurofeedback","0.18","Linux, Windows","INRIA","AGPL-3","No","List of compatible systems"
"SmartMind","Neurofeedback","v2010","Windows","BrainTrain, Inc.","Proprietary","Unknown - not stated or in FDA database","Smartmind, Brainmaster, Thought Technology, J&J,"
