"Name/Website","Cost of credit report","Cost of credit score","Credit card required?","Social Security Number required?","Report type","Score type"
"AnnualCreditReport.com","Free; one from each agency every 12 months","Not available","No","Yes","Equifax, Experian & Transunion",""
"Credit.com","Free proprietary credit report summary","Free; once monthly","No","Yes","Experian (bare)","VantageScore 3.0"
"Credit Karma","Free proprietary credit report summary","Free; once weekly","No","Yes","Transunion , Equifax","VantageScore 1.0,
Transunion's TransRisk New Account score."
"Credit Sesame","Free Experian credit report summary","Free; once monthly","No","Yes","Experian (bare)","Experian's National Equivalency Score"
"LendingTree","Free proprietary credit report summary","Free; once monthly","No","Yes","Transunion","VantageScore 3.0"
"Mint.com","Free proprietary credit report summary","Free; once every 3 months","No","Yes","Equifax",""
"Quizzle","Free; once every 6 months","Free; once every 6 months","No","Yes","Equifax","VantageScore 3.0"
"WisePiggy","Free proprietary credit report summary","Free; once monthly","No","Last 4 digits only","TransUnion",""
