"Ad Servering Platform","Company-owner","First release date","Pricing","Mobile solution","Ad exchange","Demo","Service and Support","Real-time","Trial period"
"Revive Adserver","Revive Adserver Project","2013, 2003 as OpenX Source","Free, Open Source","Yes","Yes, via plugin","Yes, Installatron","Project support, forum, etc. Hosting, training and consulting services available","-","No"
"AdSparx","AdSparx USA Inc.","2012","Available upon request","Yes","Yes","Yes, upon request","Phone, email, ticket system","Yes","Yes"
"24/7 Open AdStream","AppNexus","1997","Available upon request","Yes","Yes, 24/7 Connect in exclusive partnership with Microsoft Ad Exchange","Yes, upon request","Phone, email, ticket system and dedicated local account manager in local languages. Local Professional Services","Yes","No"
"Viewzd","Hardsk","2013","Viewzd Plans","Yes","NO","Yes","24/7 email","Yes","Yes"
"AdButler","Sparklit","1999","AdButler Plans","Yes","NO","YES","Dedicated manager, Email, Phone","Yes","Yes"
"AdGear Advertiser Ad Server","AdGear","2009","Available upon request","Yes","Yes","Yes, Upon Request","24/7 email and telephone","Yes","No"
"DoubleClick Small Business","Google Inc., since 2008","n/a","Free up to 150 million impps per month","Yes","Yes, Doubleclick Ad Exchange","No","E-mail, phone, ticket system","Yes","-"
"DoubleClick Premium Solution","Google Inc., since 2008","n/a","Available upon request","Yes","Yes, Doubleclick Ad Exchange","No","Dedicated manager, 24/7/365 support","Yes","No"
"Zedo","Zedo Inc.","2000","One time set-up fee + monthly fee based on volume (available upon request)","Yes","Yes","No","24/7 support through phone, email or chat","Yes","No"
"Right Media (Yield Manager)","Yahoo","2005","Available upon request","Yes","Yes, Right Media Exchange","No","Email and phone support","Yes","No"
"ADTECH","ADTECH AG, subsidiary of AOL Networks.","1998. 2007 - AOL acquires ADTECH","Available upon request, special pricing, also there are ADTECH lite (version for small publishers) free.","Yes","Yes, Marketplace by ADTECH","Yes, Upon Request","24/7 email and phone support","Yes","No"
"Ad Server Solutions Adserver","Ad Server Solutions","1997","Licensed, Source codes and SaaS. White Label and Private Branding. Available upon request","Yes","Yes, Partnerships / Investments","Yes","24/7 email and phone support","Yes","No"
"Adzerk","Adzerk Inc.","2009","Online pricing tool - Varies upon impression volume.","Yes","Yes, non-exclusive","Yes, upon request","Phone, email, dedicated account manager, professional services","Yes","Yes"
"Cxense","Cxense.","2001. 2013 - Cxense acquires Emediate","Available upon request","Yes","Yes, Emediate Exchange","Yes","Email and phone support","Yes","Yes"
"epom","Epom Ltd.","2010","Pricing table. Details available upon request.","Yes","Yes","Yes, upon request","24/7 email and phone support","Yes","Yes"
"Mirago M3","Mirago Ltd.","2001","Available upon request","Yes","Yes, Mirago Ad Exchange","Yes, upon request","Dedicated Account Manager, phone, email, ticket system, Skype","Yes","No"
"Djax Adserver","dJAX Adserver Technology Solutions.","2009","Available upon request","Yes","Yes Open RTB 2.0","Yes, upon request","Email and phone support","Yes","Demo Only"
"Ad Servering Platform","Mobile ad serving","Video ad serving","Targeting databases","Creative types supported","Campaigns optimization","Reporting"
"Revive Adserver","Yes","Yes","Yes","Image, Text, Flash, HTML, XML, Video, Rich Media, HTML 5, Display ads, Email, Javascript, HTML 5, MP3 (plugin)","Requests, Impressions, Clicks, CTR, Rev, CPM, CPA, CPC, eCPM, conversion tracking","Various built in and 3rd party via plugins include Realtime statistics"
"AdSparx","Yes","Yes","Yes","Image, Flash, HTML, XML, 3rd-party, Linear video, Rich Media, HTML 5, display ads, Native Advertising","CPM, CPC, CPA, eCPM, conversion tracking, Fixed cost","Real Time, Dashboard, custom reports, report export, report subscription, notification alert, API"
"24/7 Open AdStream","Yes","Yes","Yes","Image, Flash, HTML, XML, 3rd-party, Video (linear & non-linear), Rich Media, HTML 5, display ads, Native Advertising","CPM, CPC, CPA, eCPM, conversion tracking, Fixed cost","Real Time, Dashboard, custom reports, report export, report subscription, notification alert, API"
"Viewzd Ad Server","Yes","No","Yes","Image","CPM, CPC, Fixed Cost","Real time"
"AdButler","Yes","Yes","Yes","Image, Flash, HTML, XML, 3rd-party, Video (linear & non-linear), Rich Media, HTML 5, display ads, Native Advertising","CPM, CPC, CPA, eCPM, conversion tracking, Fixed cost","Real time"
"OpenX Ad Server","Yes","Yes","Yes","Image, Flash, HTML, HTML5, XML, 3rd-party, Rich Media, Video (linear & non-linear), etc., third party tags","CPM, CPC, CPA, CPD, Fixed Cost, conversion tracking","Real-time + dashboard, API available"
"DoubleClick","Yes","Yes","Yes","Image, Flash, rich media, and third-party tags. Automatic rich media macro detection. Small Business version could have some limitations.","CPM, CPC, CPA","Real-time"
"Zedo","Yes","Yes","Yes","Standard Banner, HTML, Text, and javascript ads, Rich Media Ads, Flash","Automatic Optimization based on eCPM, CTR, Clicks or Impressions","Canned and custom reports"
"Right Media","Yes","Yes","n/a","Image, Flash, Rich Media, Video, HTML, Display Ads","Optimization based on eCPM, CPC, CPA.","Real-time"
"ADTECH","Yes","Yes","Yes","Image, Flash, HTML, XML, 3rd-party, Video (linear & non-linear), Rich Media, HTML 5, display ads","Automatic Optimization based on CPM, CPC, CPA, eCPM, also Fixed Cost, conversion tracking","Real time reporting + dashboard, Custom reports, report subscription, report export (xls, csv, pdf, html)"
"AdServer Solutions","Yes","Yes","Yes","Image, Flash, HTML, Javascript, XML, 3rd-party, Video (linear & non-linear), Rich Media, HTML 5, display ads, Native Advertising, Real Time Bidding","Automatic Optimization based on CPM, CPC, CPA, eCPM, also Fixed Cost, conversion tracking","Real time reporting + dashboard, API, Custom reports, report subscription, report export (xls, csv, pdf, html)"
"Adzerk","Yes","Yes, rich-media video only","Yes","Image, Flash, HTML, Javascript, XML, 3rd-party, Rich Media, HTML 5, display ads, Native Advertising","CPM, CPC, CPA, eCPM, conversion tracking, Fixed cost","Real Time, custom reports, report export, API"
"Cxense","Yes","Yes","Yes","Image, Flash, Rich Media, Video, 3rd-party, HTML, HTML 5, Display Ads","CPM, CPC, CPA","Updated every hour"
"Atlas Solutions","Yes","Yes","Yes","Image, Flash, Rich Media, Video, HTML, Display Ads","CPM, CPC, CPA","Real time"
"AppNexus","Yes","Yes","Yes","Image, Flash, Rich Media, Video, HTML, Display Ads","CPM, CPC, CPA","Updated every hour"
"Epom","Yes","Yes","Yes","Image, Flash, Video (linear & non-linear), HTML, Text ads, 3rd-party, Rich Media (free templates), HTML5, display ads","CTR, CPA optimization; eCPM Optimization; Auto-Weighing, based on eCPM, Manual Weighing","Real-time, dashboard, report auto-sending options, report export (xls, csv, pdf, html)"
"Mirago M3","Yes","Yes","Yes","Image, Flash, Rich Media, Video (linear and non-linear), Third Party, HTML, HTML5, XML, Display, Cost per Call","CPM, CPC, CPA, eCPM, Event Tracking","Real time, dashboard, API, custom report, export report, automated email report"
"24/7 Open AdStream","Viewzd Ad server","Ad Server Solutions","OpenX Ad Server","DoubleClick","Zedo","Right Media","Emediate/Cxense","Adzerk","ADTECH","Atlas Solutions","AppNexus","Epom","Mirago M3"
"Content, Geography, Cookie, Search Targeting, Behavioral, Technographic (E.G. ISP Provider, Bandwidth, Connection Type, IP-Addresses, Browser, Browser Language, Operating System, Language, Domain). Time Based (E.G. Time Of Day), Keyword Targeting, Frequency, Re-Targeting. Mobile (Mobile Carrier, Device Vendor, Device Type)","Geography","Content, Geography ""geo targeting"", Cookie, Behavioral, browser, ip targeting, mobile device, carriers, operating system, keyword targeting, connection types, device languages, frequency, date and time, audience targeting, re-targeting, custom targeting","Content, geographic, technographic (e.g. browser), time based (e.g. time of day), and custom targetingAdvanced targeting by mobile device, carrier, and O/SCustom and 3rd party audience classification and retargeting","Geography, bandwidth, browser, browser language, operating system, and domain. Date and time targeting. Small Business version could have some limitations.","Keyword targeting, geography targeting to city, state, country, DMA and custom groups, bandwidth targeting, day/time targeting","Right media allows you to manage inventory by age, channel, gender, geography,","Content, frequency, time based, semantic, IP-addresses keywords, custom, retargeting, browser, browser language, platform, mobile, bandwidth.","Content, Geography, IP-Addresses, Browser, Operating System, Device, Time of Day, Keyword, Referrer, Frequency, Keyword, Custom Integration.","Content, Geography, Technographic (E.G.  ISP Provider, Bandwidth, Connection Type, IP-Addresses, Browser, Browser Language, Operating System, Operating System Language And Domain).Time Based (E.G. Time Of Day), Keyword Targeting, Frequency, Re-Targeting. Mobile (Mobile Carrier, Device Vendor, Device Type And Format Targeting) Also there are Custom Targeting.  ADTECH Lite version could have some limitations.","Geography Targeting, Bandwidth targeting, Browser targeting, OS targeting","Geography Targeting, Bandwidth targeting, Browser targeting, OS targeting","Geotargeting (up to city level); ISP provider, IP address, bandwidth, browser (incl. browser language), OS (incl. OS language and domain) targeting; time-based, custom targeting; keyword, frequency targeting; re-targeting (cookie targeting); Wi-Fi, mobile carrier, device vendour, device type and format targeting.","Geographic locations, browsers, mobile devices, carriers, operating systems, connection types, device languages, frequency, date and time, audience targeting (known as Beacons), retargeting"
