"Model","Image processor","Sensor format","Sensor type","Sensor manufacturer","Megapixel","Focus points","Metering pixels","Viewfinder coverage","Viewfinder magnification","ISO min","ISO max","LCD monitor","Storage media","Live view","Movie mode","Top continuous shooting speed (frames/sec)","Weight (g)","Dimensions (mm)","Announcement"
"FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed","FX format (Full-frame)
Without an AF motor (needs lenses with integrated motor)
HD video /  / Uncompressed

See also: Nikon 1 / F-mount  Teleconverter  CX / DX format  Speedlight  Expeed"
"","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015"
"","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"Professional","D1","D1","D1","D1","D1","D1","D1","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D1X","D2X","D2X","D2X","D2X","D2X","D2X","D2X","D2Xs","D2Xs","D2Xs","D2Xs","D2Xs","","","","","","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","D3X","","","","","","","","","","","","","",""
"Professional","","","","","","","","D1H","D1H","D1H","D1H","D1H","D1H","D1H","D1H","D1H","D1H","D2H","D2H","D2H","D2H","D2H","D2H","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D2Hs","D3","D3","D3","D3","D3","D3","D3","D3","D3","D3S","D3S","D3S","D3S","D3S","D3S","D3S","D3S","D3S","D4","D4","D4","D4","D4","D4","D4","D4","D4S","D4S","D4S","D4S","","","",""
"High-end","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D800 / D800E","D800 / D800E","D800 / D800E","D800 / D800E","D800 / D800E","D800 / D800E","D800 / D800E","D800 / D800E","D800 / D800E","D810","D810","D810","","","",""
"High-end","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Df","Df","Df","Df","Df","","","",""
"Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","D700","","","","","","","","D750","D750","","","",""
"Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D600","D600","D600","D600","D600","D610","D610","D610","D610","D610","","","",""
"Mid-range","","","","","","","","","","","","D100","D100","D100","D100","D100","D100","D100","D100","D100","D100","D100","D100","D100","D100","D100","D200","D200","D200","D200","D200","D200","D200","D300","D300","D300","D300","D300","D300","D300","D300","","","","","","","","","","","","","","","","","","","","","","","","","",""
