"Encryption","Developer","First released","Licensing","Maintained?"
"Check Point Full Disk Encryption","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","NTFS, FAT32","Yes"
"CipherShed","Yes
(limited to one per
""outer"" container)","only on Windows","?","No","yes with multiple keyfiles","Yes","Yes","No","Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged","Yes"
"CrossCrypt","No","No","N/A","No","No","No","No","No","?","No"
"CryptArchiver","No","No","N/A","No","No","?","No","No","?","?"
"cryptoloop","No","Yes","?","Yes","No","No","Yes","No","Any supported by OS","?"
"cryptsetup/ dmsetup","No","Yes","?","Yes","No","No","Yes","No","Any supported by OS","No"
"DiskCryptor","No","Yes","?","No","No","No","Yes","No","Any supported by OS","Yes"
"DISK Protect","?","Yes","?","?","Yes","?","?","No","?","?"
"dm-crypt/LUKS","No","Yes","?","Yes","Yes","Yes","Yes","Partial","Any supported by OS","Yes"
"DriveCrypt","Yes","Yes","?","No","Yes","Yes","No","No","?","Yes"
"DriveSentry GoAnywhere 2","No","No","N/A","Yes","No","Yes","No","?","Any supported by OS","Yes"
"E4M","No","No","N/A","No","No","?","No","No","?","No"
"e-Capsule Private Safe","Yes","No","N/A","No","Yes","No","Yes","No","?","?"
"eCryptfs","No","No","N/A","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FileVault","No","No","N/A","No","Two passwords","Yes","?","No","HFS+, possibly others","No"
"FileVault 2","No","Yes","Yes","No","Yes","Yes","Yes","No","HFS+, possibly others","No"
"FinallySecure Enterprise (SECUDE)","No","Yes","?","Yes","No","Yes","No","Yes","?","Yes"
"FREE CompuSec","No","Yes","?","No","No","No","No","No","Any supported by OS","No"
"FreeOTFE","Yes","No","N/A","Yes","Yes","Yes","Yes","No","Any supported by OS","Yes"
"GBDE","No","No","N/A","Yes","Yes","No","No","No","Any supported by OS","Yes"
"GELI","No","Yes","?","Yes","Yes","Yes","Yes","No","Any supported by OS","Yes"
"loop-AES","No","Yes","?","Yes","Yes","Yes","Yes","No","Any supported by OS","Yes"
"McAfee Endpoint Encryption (SafeBoot)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Any supported by OS","Yes"
"n-Crypt Pro","No","No","N/A","No","No","N/A","No","No","?","?"
"PGPDisk","No","Yes","?","?","Yes","Yes","?","Yes","?","Yes"
"Private Disk","No","No","N/A","No","Yes","Yes","No","No","Any supported by OS","Yes"
"ProxyCrypt","Yes","No","N/A","No","No","Yes","Yes","No","Any supported by OS","No"
"R-Crypto","?","No","N/A","?","?","?","?","?","Any supported by OS","?"
"SafeGuard Easy","No","Yes","?","No","Yes","Yes","No","Yes","Any supported by OS","Yes"
"SafeGuard Enterprise","No","Yes","?","No","Yes","Yes","No","Yes","Any supported by OS","Yes"
"SafeGuard PrivateDisk","No","No","N/A","No","Yes","Yes","No","Yes","Any supported by OS","Yes"
"SafeHouse Professional","No","No","N/A","Yes","Yes","Yes","No","No","Any supported by OS","Yes"
"Scramdisk","Yes","No","N/A","No","No","No","No","No","?","Last update to web site 2009-07-02"
"Scramdisk 4 Linux","Yes","No","N/A","No","No","Yes","No","No","ext2, ext3, reiserfs, minix, ntfs, vfat/msdos","No"
"SecuBox","No","No","N/A","No","No","Yes","No","No","?","No"
"SecureDoc","No","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Sentry 2020","No","No","?","No","No","No","No","No","?","No"
"softraid / RAID C","No","No","?","?","?","?","Yes","?","Any supported by OS","?"
"svnd / vnconfig","No","No","N/A","No","No","Yes","Yes","?","Any supported by OS","?"
"Symantec Endpoint Encryption","No","Yes","Yes","Yes","Yes","Yes","No","No","NTFS, FAT32","Yes"
"Trend Micro Endpoint Encryption","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Any supported by OS","Yes"
"TrueCrypt","Yes
(limited to one per
""outer"" container)","only on Windows","?","No","yes with multiple keyfiles","Yes","Yes","No","Only Windows MBR volumes; no UEFI GPT drives, and dynamic drives discouraged","Yes"
"Name","Hidden containers","Pre-boot authentication","Single sign-on","Custom authentication","Multiple keys","Passphrase strengthening","Hardware acceleration","TPM","Filesystems","Two-factor authentication"
"Name","Whole disk","Partition","File","Swap space","Hibernation file"
"Aloaha Secure Stick","No","No","Yes","No","No"
"ArchiCrypt Live","Yes
(except for the boot volume)","Yes","Yes","No","No"
"BestCrypt","Yes","Yes","Yes","Yes","Yes"
"BitArmor DataControl","No","Yes","No","Yes","Yes"
"BitLocker Drive Encryption","Yes
(except for the boot volume)","Yes","Yes","Yes
(parent volume is encrypted)","Yes
(parent volume is encrypted)"
"Bloombase Keyparc","Yes","Yes","Yes","Yes","No"
"CenterTools DriveLock","Yes","Yes","Yes","Yes","Yes"
"CGD","Yes","Yes","Yes","Yes","No"
"Check Point Full Disk Encryption","Yes","Yes","Yes","Yes","Yes"
"CipherShed","Yes","Yes","Yes","Yes","only on Windows"
"CrossCrypt","No","No","Yes","No","No"
"CryptArchiver","No","No","Yes","No","No"
"cryptoloop","Yes","Yes","Yes","Yes","No"
"Cryptomill","Yes","N/A","Yes","N/A","N/A"
"DiskCryptor","Yes","Yes","No","Yes","Yes"
"dm-crypt","Yes","Yes","Yes","Yes","Yes"
"DriveCrypt","Yes","Yes","Yes","No","No"
"DriveSentry GoAnywhere 2","No","Yes","Yes","No","No"
"E4M","No","Yes","Yes","No","No"
"e-Capsule Private Safe","No","No","Yes","No","No"
"eCryptfs","No","No","Yes","No","No"
"FileVault","No","No","Yes","Yes","Yes"
"FileVault 2","Yes","Yes","No","Yes","Yes"
"FREE CompuSec","Yes","No","Yes","Yes","Yes"
"FreeOTFE","Yes
(except for the boot volume)","Yes","Yes","No","No"
"GBDE","Yes","Yes","Yes","Yes","No"
"GELI","Yes","Yes","Yes","Yes","No"
"loop-AES","Yes","Yes","Yes","Yes","Yes"
"McAfee Endpoint Encryption (SafeBoot)","Yes","Yes","Yes","Yes","Yes"
"n-Crypt Pro","Yes","Yes","Yes","No","No"
"PGPDisk","Yes","Yes","Yes","Yes","only on Windows"
"Private Disk","No","No","Yes","No","No"
"ProxyCrypt","Yes","Yes","Yes","No","No"
"R-Crypto","No","No","Yes","No","No"
"SafeGuard Easy","Yes","Yes","extra module","Yes","Each sector on disk is encrypted"
"SafeGuard Enterprise","Yes","Yes","Yes","Yes","Each sector on disk is encrypted"
"SafeGuard PrivateDisk","No","No","Yes","No","No"
"SafeHouse Professional","No","No","Yes","No","No"
"Scramdisk","No","Yes","Yes","No","No"
"Scramdisk 4 Linux","Yes","Yes","Yes","Yes","No"
"SecuBox","No","No","Yes","N/A","No"
"FinallySecure Enterprise (SECUDE)","Yes","Yes","Yes","Yes","Yes"
"SecureDoc","Yes","Yes","Yes","Yes","Yes"
"Sentry 2020","No","No","Yes","No","No"
"softraid / RAID C","Yes","Yes","No","Yes (encrypted by default in OpenBSD)","No"
"svnd / vnconfig","?","Yes","Yes","Yes (encrypted by default in OpenBSD)","?"
"SpyProof!","No","Yes","Yes","No","No"
"Symantec Endpoint Encryption","Yes","Yes","Yes","Yes","Yes"
"Trend Micro Endpoint Encryption","Yes","Yes","Yes","Yes","Yes"
"TrueCrypt","Yes","Yes","Yes","Yes","only on Windows"
"VeraCrypt","Yes","Yes","Yes","Yes","only on Windows"
"Name","Whole disk","Partition","File","Swap space","Hibernation file"
"Name","CBC w/ predictable IVs","CBC w/ secret IVs","CBC w/ random per-sector keys","LRW","XTS"
"Aloaha Secure Stick","No","No","No","Yes","Yes"
"ArchiCrypt Live","No","No","No","Legacy support","Yes"
"BestCrypt","No","Yes","No","Yes","Yes"
"BitArmor DataControl","No","Yes","Plumb-IV","No","No"
"BitLocker Drive Encryption","No","Yes","No","No","No"
"Bloombase Keyparc","?","Yes","?","?","?"
"CGD","No","Yes","No","No","No"
"CenterTools DriveLock","?","?","?","?","?"
"Check Point Full Disk Encryption","No","No","Yes","Yes","Yes"
"CipherShed","Legacy support","No","No","Legacy support","Yes"
"CrossCrypt","Yes","No","No","No","No"
"CryptArchiver","?","?","?","?","?"
"cryptoloop","Yes","No","No","No","No"
"DiskCryptor","No","No","No","No","Yes"
"dm-crypt","Yes","Yes","No","Yes, using *-lrw-benbi","Yes, using *-xts-plain"
"DriveCrypt","?","?","?","?","?"
"DriveSentry GoAnywhere 2","?","?","?","?","?"
"E4M","?","?","?","No","No"
"e-Capsule Private Safe","?","?","?","?","?"
"eCryptfs","No","Yes","?","No","No"
"FileVault","Yes","No","No","No","No"
"FileVault 2","No","No","No","No","Yes"
"FREE CompuSec","Yes","No","No","No","No"
"FreeOTFE","Yes","Yes","No","Yes","Yes"
"GBDE","No","No","Yes","No","No"
"GELI","No","Yes","No","No","Yes"
"loop-AES","single-key, multi-key-v2 modes","multi-key-v3 mode","No","No","No"
"McAfee Endpoint Encryption (SafeBoot)","No","Yes","No","No","No"
"n-Crypt Pro","?","?","No","No","No"
"PGPDisk","?","?","?","?","?"
"Private Disk","No","Yes","No","No","No"
"ProxyCrypt","No","No","No","No","Yes"
