"","GUI","Console","Software license","Cost","Latest version","Latest release date","Windows","Macintosh","Linux"
"Hex Workshop","","Yes","Yes","Yes","Partial (external: notepad)","Yes","ANSI, OEM, EBCDIC, Macintosh","Yes","Yes","No","Yes","Yes","Yes"
"HHD Software Free Hex Editor Neo","unlimited","Yes","No","No","No","Yes","ANSI","Yes","No","No","No","No","No"
"HHD Software Hex Editor Neo","unlimited","Yes","Partial (only Windows NT and up)","Yes","Yes","Yes","ANSI, Unicode, ASCII, OEM, ISO, EBCDIC, MAC, UTF7(Export)/UTF8, KOI8, ISCII, EUC, Arabic","Yes","Yes","Yes (x86, x86-64, MMX, SSE, SSE2, 3DNow!, MSIL)","Yes","Yes (Replace)","Yes"
"Hiew","unlimited","Yes","Yes","Yes","Yes","Yes","ASCII,OEM, Unicode,Custom","Yes","Yes","Yes (x86, x86-64, MMX, SSE 4.2, 3DNow! - all assembler, ARM)","","Yes","Yes"
"HT Editor","> 200GB","","No","No","Yes","No","","No","No","Yes (x86, ARM, PowerPC)","","",""
"i.Hex","unlimited","Yes","No","Yes","No","","ASCII","No","Yes","No","","",""
"iBored","unlimited","Yes","Yes","No","No","Yes (block level only)","ANSI","Yes","Yes","No","No","Yes","No"
"javahexeditor","unlimited","Yes","No","No","Yes","Yes","ASCII, ANSI","Yes","No","No","No","Yes","No"
"KHexEdit","limited by free RAM","","","","","","ANSI, ASCII, EBCDIC.","","No","","","",""
"MadEdit","32 GB","Yes","No","Yes","Yes","Yes","ANSI, OEM, ASCII, Macintosh, Shift JIS, GBK, EUC, Big5, Unicode","Yes","No","No","No","Yes (Replace)",""
"Notepad++","Not unlimited","","","","Yes","","","","","","Yes","Yes",""
"shed","2 GB","Yes","No","Yes","No","No","ASCII","No","No","No","","",""
"Okteta","limited by free RAM","No","No","Yes","Yes","Yes","ANSI, ASCII, EBCDIC, many others","No","Yes","No","No","No","Yes"
"Synalyze It!","unlimited","Yes","No","Yes","Yes","Yes","ASCII, EBCDIC, Unicode, all ICU encodings","Yes","Yes","No","No","Yes","No"
"tiny hexer","2 GB","No","Partial (only Windows NT and up)","Yes","No","Yes","ANSI, OEM, EBCDIC, ASCII, Macintosh, custom","Yes","Yes","No","Partial (same size)","No",""
"TurboHex","unlimited","No","Yes","Yes","Yes","No","ANSI, ASCII","No","No","No","No","No","No"
"VEDIT","2 GB (standard), unlimited (Pro 64)","Yes","Partial (DOS version only)","Yes","Yes","Yes","ANSI, OEM, EBCDIC, ASCII, custom","","No","No","Yes","Yes","Yes"
"UltraEdit",">4 GB","Yes","","","Yes","Yes","ANSI, OEM, EBCDIC, ASCII, Mac, Unix, UTF-8","Yes","Yes","No","Yes","Yes","Yes"
"webhex.net","2 MB","No","No","No","No","No","ASCII","Yes","No","No","No","Yes","No"
"WinHex","unlimited","Yes","Yes","Yes","Partial (external: notepad)","Yes","Partial support of these formats: ANSI, UNICODE, OEM, UTF-8/UTF-16 EBCDIC, ASCII","Yes","Yes","Partial (Only x86 Intel opcodes)","Yes","Yes (Replace)",""
"wxHexEditor","unlimited","Yes","Yes","Yes","Yes","Yes","ASCII, ANSI, Unicode, OEM, ISO, MAC, UTF-8/UTF-16/UTF-32, EBCDIC, KOI8, Arabic, Hebrew, Shift JIS, GBK, EUC, Big5 and many others.","Yes","No","Yes (x86, x86-64, 3DNow!, MMX, SSE, SSE2, SSE3, AMD-V, Intel VT-x)","Yes","Yes (Replace)","Yes"
"XVI32","2 GB","No","No","Yes","No","Yes","ANSI","Yes","No","No","","Yes","Yes"
"","Maximum file size","Partial file loading","Disk sector editing","Bit editing","Text editor","Insert / Delete bytes","Character encodings","Search Unicode","File structure view","Disassembler","File Compare","Find in Files","Bookmarks"
