"Program","Developer","License","Supported file systems","Supported platforms","GUI","CLI","Script","Scheduler","Boot time","Auto defrag when idle","Stable release"
"Ashampoo Magical Defrag","Ashampoo","Proprietary (Commercial)","NTFS","Microsoft Windows XP, Vista, and 7 (including 64-bit versions)","Yes","","","","","","3.0.2 (February 2, 2010)"
"Auslogics Disk Defrag","Auslogics","Proprietary (Freeware)","FAT16, FAT32, NTFS","Microsoft Windows XP, Server 2003, Vista, Server 2008, 7, and 8 (including 64-bit versions)","Yes","Yes","","Yes","Yes","Yes","5.1.0.0 (Free), 4.4.3.0 (Pro) (December 1, 2014; 34 days ago (Free), November 21, 2014; 44 days ago (Pro))"
"Auslogics Defrag Screensaver","Auslogics","Proprietary","FAT16, FAT32, NTFS","Microsoft Windows XP, Server 2003, Vista, Server 2008, and 7 (including 64-bit versions)","No","No","No","No","No","","1.1.1.50"
"Contig","Windows Sysinternals","Proprietary (Freeware)","NTFS","Microsoft Windows XP, Server 2003, and higher","No","Yes","No","Win TS","No","Win TS","1.6 (February 1, 2011)"
"Defraggler","Piriform","Proprietary (Freeware)","FAT32, NTFS, exFAT","Microsoft Windows XP, Server 2003, Vista, Server 2008, and 7 (including 64-bit versions)","Yes","Yes","No","Win TS","Yes","Win TS","2.18.945 (April 16, 2014)"
"Diskeeper","Condusiv Technologies","Proprietary (Commercial)","FAT16, FAT32, NTFS","Microsoft Windows XP and higher","Yes","Yes","Yes","Yes","Yes","Yes","2012 (16.0.1017.0) (October 26, 2012)"
"DiskTune","DIY DataRecovery","Proprietary (Freeware)","FAT16, FAT32, NTFS","Microsoft Windows XP, Server 2003, Vista, Server 2008, and 7 (including 64-bit versions)","Yes","","","","","","1.1.31 (April 6, 2009)"
"mst Defrag","mst Software","Proprietary (Commercial)","NTFS","Microsoft Windows 2000, XP, Server 2003, Vista, Server 2008, and 7 (including 64-bit versions)","Yes","Yes","","Yes","Yes","","3.6"
"MyDefrag","Jeroen Kessels","Proprietary (Freeware)","FAT16, FAT32, NTFS","Microsoft Windows 2000, XP, Server 2003, Vista, Server 2008, and 7 (including 64-bit versions)","Yes","Yes","Yes","Win TS","No","Win TS","4.3.1 (May 21, 2010)"
"O&O Defrag","O&O Software","Proprietary (Commercial)","FAT16, FAT32, NTFS","Microsoft Windows 2000, XP, Server 2003, Vista, Server 2008, 7, and 8 (including 64-bit versions)","Yes","Yes","","Yes","Yes","","18.0.39 (2014)"
"PerfectDisk","Raxco Software","Proprietary (Commercial)","FAT16, FAT32, NTFS, exFAT, ReFS, CSVFS","Microsoft Windows XP, Server 2003, Vista, Server 2008, Home Server, 7, and 8 (including 64-bit versions)","Yes","Yes","Yes","Yes","Yes","Yes","13.0 Build 842 (November 13, 2014)"
"SmartDefrag","IObit","Proprietary (Freeware)","","Microsoft Windows 2000, XP, Server 2003, Vista, Server 2008, 7, and 8 (including 64-bit versions)","Yes","","","Yes","Yes","Yes","2.7"
"UltimateDefrag","DiskTrix","Proprietary (Commercial)","FAT32, NTFS","Microsoft Windows XP, Vista, and 7 (including 64-bit versions)","Yes","","","Yes","Yes","","4.0.98.0 (July 3, 2012; 2 years ago)"
"UltraDefrag","Dmitri Arkhangelski, Justin Dearing, Sayem Chaklader, Stefan Pendl","GNU GPL","FAT12, FAT16, FAT32, NTFS, exFAT","Windows NT 4.0, 2000, XP, Server 2003, Vista, Server 2008, 7, and 8 (including 64-bit versions)","Yes","Yes","Yes","Win TS","Yes","Win TS","6.0.4 (October 25, 2014)"
"Vopt","GoldenBow","Proprietary (Commercial)","FAT32, NTFS","Microsoft Windows 2000, XP, Server 2003, Vista, Server 2008, and 7 (including 64-bit versions)","Yes","","","Yes","","","9.21.0001 (November 14, 2010)"
"WinContig","Marco D'Amato","Proprietary (Freeware)","FAT16, FAT32, NTFS","Microsoft Windows XP, Server 2003, Vista, Server 2008, 7, and 8 (including 64-bit versions)","Yes","Yes","Yes","Win TS","","Win TS","1.35.02"
"Program","Developer","License","Supported file systems","Supported platforms","GUI","CLI","Script","Scheduler","Boot time","Auto defrag when idle","Stable release"
