"Name","Protocol","Programming language","Windows","Mac OS X","Linux","Other OS","License","Version","Portable","Detect conflict","Renames/moves (talk)","Prior file versions, revision control","Scheduling or Service","Sync to Cloud","Other information"
"SecuriSync","Yes","Yes","No","Yes, Android, iPhone, BlackBerry","No","Yes","No","","","Yes","Yes","","Yes","No","No","Yes","Yes","Yes","","","Yes","","/!\ This cell is not defined /!\"
"SpiderOak","Yes","Yes","Yes","Yes, Android, iPhone","Partial","Yes","Yes","","","No","","","Yes","No","","No, one-way sharing only","","","Yes","Yes","Yes","","/!\ This cell is not defined /!\"
"SugarSync","Yes","Yes","No","Yes, Android, BlackBerry, iPhone, Windows Mobile","No","Yes","No","No","","Yes","","","Yes","Yes","Yes","","Yes","","","","Yes","","/!\ This cell is not defined /!\"
"Syncovery(SuperFlexible)","Yes","Yes","Yes","No","No","Yes","Yes, Linux only","Yes, manual install","","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","","","/!\ This cell is not defined /!\"
"SyncBack","Yes","No","No","No","No","No","Yes","","","Yes","","","Yes","","","","","","","","","","/!\ This cell is not defined /!\"
"Syncdocs","Yes","No","No","No, Google Docs web interface only","No","Yes","Yes, beta only","Yes","","Yes","No","Yes","Yes","Yes","Yes","for MS Word only","Yes","","","","","","/!\ This cell is not defined /!\"
"Synchronize It!","Yes","No","No","No","No","No","No","","","No","","","","","","","","","","","","","/!\ This cell is not defined /!\"
"Syncplicity","Yes","Yes","No","Yes, Android, iPhone, Windows Mobile","No","Yes","Yes","","","Yes","","","Yes","","","Yes","Yes","","No","No","","","/!\ This cell is not defined /!\"
"TeamDrive","Yes","Yes","Yes","Yes, Android, iOS","No","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","No","No","Yes","","/!\ This cell is not defined /!\"
"Tonido","Yes","Yes","Yes","Yes, Android, BlackBerry, iPhone, Windows Phone","No","No","Yes","Yes","","Yes","No","Yes","No","Yes","Yes","Yes","Yes","","","","","","/!\ This cell is not defined /!\"
"Ubuntu One (discontinued 2 April 2014)","Yes","Yes","Yes","Yes, Android, iPhone, iPad","Partial","Yes","Yes","","","","","","","","","","","","","","","","/!\ This cell is not defined /!\"
"vBoxxCloud","Yes","Yes","Yes","Yes, Android, iOS, Windows Phone","No","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","/!\ This cell is not defined /!\"
"Wuala","Yes","Yes","Yes","Yes, Android","Partial","Yes","Yes","","Yes","","","","","","","","","","","","","","/!\ This cell is not defined /!\"
"ZumoDrive","Yes","Yes","Yes","Yes, Android, iPhone, Palm webOS","No","Yes","Yes","","","Yes","","","Yes","","","","","","","","","","/!\ This cell is not defined /!\"
"Zetta.net","Yes","Yes","Yes","No","No","Yes","No","","","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes, Preserve file name case & file metadata","Yes","Yes","Yes","","/!\ This cell is not defined /!\"
"Name","Windows","Mac","Linux","Other OS","Open source","Online backup service","Freeware version","Portable","Encrypts files","Detect conflict","File lock","Open file support","Revision control","Detect rename","Detect move","Full duplex transfer, collaborative","Propagate deletes","Case sensitive","Delta copying (block level transfer)","LAN Sync","Sync any directory","On-premise orchestration","/!\ This cell is not defined /!\"
