"Name","Online sync","Blind support","Wild cards","Suggestions","W/O diacritic","Full text search","Inflection search","Word context","History","Microsoft Windows","Linux","Android","iOS (iPad, iPhone)","Windows CE","Mac OS","Software needs","Storage needs MB","Author","License"
"Maestro DEX","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Perl, wxWidgets, only on Windows","490","Octavian Râşniţă","GPL"
"JaDEX","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Java Virtual Machine","250","Federico Mestrone","Freeware"
"Dixit","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","No","QT, g++, only on Linux","88","Octavian Procopiuc","GPL"
"DEX.ro","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","No","","75","Ion Silvestru","Freeware"
"DEX for Android","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","","1 or 490","Adrian Vintu","Freeware"
"iDEX","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","","55","Mobile Touch","Freeware"
"iDEX for iPhone","No","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","","70","Federico Mestrone","Freeware"
"PocketDEX","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","","21","Alexandru Mirea","Freeware"
