"Name";"Feature ";"Products ";"Cells";"Empty Cells";"Ratio EmCell";"Nombre de Features Homogenes";"Ratio de Features Homogenes";"Nombre de Features Homogenes Numeriques";"Product Chartable";"Testing Score"
"euro2016.pcm";"5";"24";"120";"0";"0.0";"4";"100.0";"4";"true";"0"
"Comparison_of_VoIP_software_1.pcm";"9";"15";"135";"3";"2.2222222222222223";"2";"25.0";"0";"false";"0"
"Comparison_of_VoIP_software_2.pcm";"8";"4";"32";"2";"6.25";"7";"100.0";"0";"false";"0"
"en_seeds.pcm";"17";"100";"1700";"124";"7.294117647058823";"13";"81.25";"10";"true";"0"
"en_candies.pcm";"12";"1001";"12012";"2661";"22.15284715284715";"4";"36.36363636363637";"1";"false";"0"
"Comparison_of_VoIP_software_3.pcm";"8";"24";"192";"0";"0.0";"3";"42.857142857142854";"0";"false";"0"
"example.pcm";"24";"43";"1032";"0";"0.0";"22";"95.65217391304348";"9";"true";"0"
"Comparison_of_VoIP_software_0.pcm";"10";"41";"410";"4";"0.975609756097561";"1";"11.11111111111111";"0";"false";"0"
"en_beers.pcm";"12";"1001";"12012";"4869";"40.53446553446553";"7";"63.63636363636363";"1";"false";"0"
"en_seafood.pcm";"18";"2234";"40212";"11860";"29.493683477568887";"4";"23.529411764705884";"1";"false";"0"
"erasmus.pcm";"11";"176";"1936";"0";"0.0";"9";"90.0";"7";"true";"0"
