<table class="metadata plainlinks ambox ambox-content ambox-Refimprove" role="presentation"><tr><td class="mbox-image"><div style="width:52px">[[File:Question book-new.svg|50x40px|alt=]]</div></td><td class="mbox-text"><span class="mbox-text-span">This article '''needs additional citations for [[Wikipedia:Verifiability|verification]]'''.<span class="hide-when-compact"> Please help [//en.wikipedia.org/w/index.php?title=Special:ExpandTemplates&action=edit improve this article] by [[Help:Introduction to referencing/1|adding citations to reliable sources]]. Unsourced material may be challenged and removed.</span>  <small>''(September 2014)''</small><span class="hide-when-compact"></span></span></td></tr></table>
This is a list of devices that run on the [[Symbian platform]] [[mobile operating system]] (Symbian^1, Symbian^2, and Symbian^3), including their proprietary predecessors running on [[Symbian OS]] and [[Symbian OS#Version history|EPOC]].

{| class="wikitable sortable"
|- 
! Model
! style="width:10%;"| Type of device
! Brand
! Release year
! Operating System
! OS version
! Kernel
! style="width:22%;"| UI and version
! style="width:15%;"| Comment
|- 
| [[Arima U300]]
 | Smartphone
 | [[Arima]]
 | 
 | Symbian OS 
 | 7.0
 | 
 | [[UIQ]] 2.0
 | 
|-
| [[Arima U308]]
 | Smartphone
 | Arima
 | 
 | Symbian OS 
 | 7.0
 | 
 | UIQ 2.1
 | 
|-
| [[Benq P30]]
 | Smartphone
 | [[Benq]]
 | 
 | Symbian OS 
 | 7.0
 | 
 | UIQ 2.0
 | 
|-
| [[Benq P31]]
 | Smartphone
 | Benq
 | 
 | Symbian OS 
 | 7.0
 | 
 | UIQ 2.1
 | 
|-
| [[DoCoMo F-06B]]
 | Feature phone
 | [[Fujitsu]]
 |  
 | Symbian^2
 | 9.5
 |  
 | MOAP(S)
 | 
|-
| [[DoCoMo F-07B]]
 | Feature phone
 | Fujitsu
 |  
 | Symbian^2
 | 9.5
 | [[EKA2]]
 | MOAP(S)
 | 
|-
| [[DoCoMo F-08B]]
 | Feature phone
 | Fujitsu
 |  
 | Symbian^2
 | 9.5
 | EKA2
 | MOAP(S)
 | 
|-
| [[Lenovo P930]]
 | Smartphone
 | Lenovo
 |  
 | Symbian OS 
 | 8.0a
 |  
