{| class="wikitable"
|+ Comparison of AMD processors
|-
|
! 
! 
! 
! 
! 
! Cache (KiB)
! Code Name
! Cores
! FSB/HT(MHz)
! Family
! Memory Controller
! Model Group
! Process (nm)
! Socket
! Speed (MHz)
! Supported Features
|-
! 
| 
| 
| 
| 
| 
| Llano
| 2/3/4
| ?
| Llano
| 
|  
| 1024/3072/4096
| DDR3
| E2-3200, A4-3300, A4-3420, A6-3500, A6-3600, A6-3620, A6-3650, A6-3670K, A8-3800, A8-3820, A8-3850, A8-3870K
| 32
| Socket FM1
| 2100-3000
| MMX, SSE, SSE2, SSE3, SSE4a, Enhanced 3DNow!, NX bit, AMD64, AMD-V, PowerNow!
|-
! Am386
| 
| 
| 
| 
| 
| Sx/SxL/SxLV
| 1
| 
| Am386
| 
| 
| 
| 
| 
| 
| 100 PQFP
| 25-40
| 
|-
! Am486
| 
| 
| 
| 
| 
| 
| 1
| 
| Enhanced Am486
| 8, 8/16
| 
| 
| 
| 
| 500, 350
| 168 pin PGA
208 SQFP
| 66-120
| 
|-
! Am486
| 
| 
| 
| 
| 
| 25-120
| 1
| 
| Am486
| 8
| 
| 
| 
| 168 pin PGA
208 SQFP
| 500, 350
| 
| 
| 
|-
! Am5x86
| 
| 
| 
| 
| 
| X5-133
| 1
| 33
| Am5x86
| 16
| 
| 
| 
| 
| 350
| Socket 3
Socket 2
Socket 1
168 pin
| 133
| 
|-
! Architecture
| 
| 
| 
| 
| 
| Code Name
| Cores
| FSB/HT(MHz)
| Family
| L1
| L2
| L3
| Memory Controller
| Model Group
| Process (nm)
| Socket
| Speed (MHz)
| Supported Features
|-
! Architecture
| 
| 
| 
| 
| 
| Code Name
| Cores
| FSB/HT(MHz)
| Family
| L1
| L2
| L3
| Memory Controller
| Model Group
| Process (nm)
| Socket
| Speed (MHz)
| Supported Features
|-
! Architecture
| 
| 
| 
| 
| 
| Code Name
| Cores
| FSB/HT(MHz)
| Family
| Cache (MB)
| Cache (MB)
| Cache (MB)
| Memory Controller
| Model Group
| Process (nm)
| Socket
| Speed (MHz)
| Supported Features
|-
! Architecture
| 
| 
| 
| 
| 
| Code Name
| Cores
| FSB/HT(MHz)
| Family
| Cache (KiB)
| Cache (KiB)
| Cache (KiB)
| Memory Controller
| Model Group
| Process (nm)
| Socket
| Speed (MHz)
| Supported Features
|-
! Architecture
| 
| 
| 
| 
| 
| Code Name
| Modules
| FSB/HT(MHz)
| Family
| L1
| L2
| L3
| Memory Controller
| Model Group
| Process (nm)
| Socket
| Speed (MHz)
| Supported Features
|-
! Architecture
| 
| 
| 
| 
| 
| Code Name
| Modules
| FSB/HT(MHz)
| Family
| Cache (MB)
| Cache (MB)
| Cache (MB)
| Memory Controller
| Model Group
| Process (nm)
| Socket
| Speed (MHz)
| Supported Features
|-
! Architecture
| 
| 
| 
| 
| 
| Code Name
| Cores
| FSB/HT(MHz)
| Family
| L1
| L2
| L3
| Memory Controller
| Model Group
| Process (nm)
| Socket
| Speed (MHz)
| Supported Features
|-
! Architecture
| 
| 
| 
| 
| 
| Code Name
| Cores
| FSB/HT(MHz)
