{| class="wikitable"
|+ 
|-
|
! First flight
! Last flight
! Launches
! Manufacturer
! Mass to
LEO
(kg)
! Mass to
other orbits
(kg)
! Origin
! Status
|-
! ASLV
| 1987
| 1994
| 4
| ISRO
| 150
| 
| India
| Retired
|-
! Angara 1.2
| July 2014, suborbital test flight
| 
| 0
| Khrunichev
| 3,800
| 
| Russia
| Development
|-
! Angara A5
| 
| 
| 0
| Khrunichev
| 24,500
| 5,400-7,300 to GTO
| Russia
| Development
|-
! Antares 110
| 2013
| 2013
| 2
| Orbital
| 
| 
| United States
| Retired
|-
! Antares 120
| 2014
| 
| 2
| Orbital
| 4,600
| 1,500 to SSO
| United States
| Operational
|-
! Antares 121
| 
| 
| 0
| Orbital
| 4,750
| 2,900 to SSO
| United States
| Operational
|-
! Antares 130
| 
| 
| 0
| Orbital
| 5,100
| 
| United States
| Development
|-
! Antares 131
| 
| 
| 0
| Orbital
| 5,600
| 3,600 to SSO
| United States
| Development
|-
! Antares 132
| 
| 
| 0
| Orbital
| 
| 1,800 to GTO
| United States
| Development
|-
! Ariane 1
| 1979
| 1986
| 11
| Aérospatiale
| 1,400
| 1,830 to GTO
| Europe
| Retired
|-
! Ariane 2
| 1986
| 1989
| 6
| Aérospatiale
| 
| 2,270 to GTO
| Europe
| Retired
|-
! Ariane 3
| 1984
| 1989
| 11
| Aérospatiale
| 
| 2,650 to GTO
| Europe
| Retired
|-
! Ariane 4 40
| 1990
| 1993
| 3
| Aérospatiale
| 4,600
| 2,740 to SSO
1,900 to GTO
| Europe
| Retired
|-
! Ariane 4 40 H10+
| 1995
| 1995
| 1
| Aérospatiale
| 
| 2,020 to GTO
| Europe
| Retired
|-
! Ariane 4 40 H10-3
| 1995
| 1999
| 3
| Aérospatiale
| 
| 2,105 to GTO
| Europe
| Retired
|-
! Ariane 4 42L
| 1993
| 1993
| 1
| Aérospatiale
| 7,000
| 4,500 to SSO
3,200 to GTO
| Europe
| Retired
|-
! Ariane 4 42L H10+
| 1994
| 1994
| 1
| Aérospatiale
| 7,000
| 3,350 to GTO
| Europe
| Retired
|-
! Ariane 4 42L H10-3
| 1995
| 2002
| 11
| Aérospatiale
| 7,000
| 3,480 to GTO
| Europe
| Retired
|-
! Ariane 4 42P
| 1990
| 1992
| 2
| Aérospatiale
| 6,000
| 3,400 to SSO
2,600 to GTO
| Europe
| Retired
|-
! Ariane 4 42P H10+
| 1992
| 1994
| 4
| Aérospatiale
| 
| 2,740 to GTO
| Europe
| Retired
|-
! Ariane 4 42P H10-3
| 1994
| 2002
| 9
| Aérospatiale
| 
| 2,930 to GTO
| Europe
| Retired
|-
! Ariane 4 44L
| 1989
| 1992
| 11
| Aérospatiale
| 7,000
| 6,000 to SSO
4,200 to GTO
| Europe
| Retired
|-
! Ariane 4 44L H10+
| 1992
| 1994
| 5
| Aérospatiale
| 7,000
| 4,460 to GTO
| Europe
| Retired
|-
! Ariane 4 44L H10-3
| 1995
| 2003
| 24
| Aérospatiale
| 7,000
| 4,720 to GTO
| Europe
| Retired
|-
! Ariane 4 44LP
| 1988
| 1993
| 7
| Aérospatiale
| 7,000
| 5,000 to SSO
3,700 to GTO
| Europe
| Retired
|-
