{| class="wikitable"
|+ 
|-
|
! Armament 
number of rounds
! Armour thickness 
 (front/side/top)
! Country
! Crew
! Engine
! Production total
! Range
! Speed (km/h)
! Weight
(tonne)
! Year introduced
! power/weight ratio
|-
! A7V
| 57 mm/L26 [180], 
6Ã—MG [10,000â€“15,000]
| 30/20/10 mm
| Germany
| 18
| 2Ã—100 hp (75 kW)
| 20
| 35 km
| 12 km/h
| 32 t
| 1918
| 6.25 hp/t
|-
! Female
| 5Ã—MG [10,000]
| 14/12/8 mm
| UK
| 8
| 125 hp (93 kW)
| 595
| 56 km
| 5.6 km/h
| 27 t
| 1917
| 
|-
! Female
| 6Ã—.303 MG [14,100]
| 14/14/8 mm
| UK
| 8
| 150 hp (112 kW)
| 200
| 72 km
| 7.5 km/h
| 28.5 t
| 1918
| 5.1 hp/t
|-
! Female
| 5Ã—MG [30,080]
| 12/10/6 mm
| UK
| 8
| Petrol 
105 hp (78 kW)
| 75
| 37 km
| 4.5 km/h
| 27.4 t
| 1916
| 3.7 hp/t
|-
! Female
| 10Ã—MG [16,800]
| 14/12/6 mm
| UK
| 8+24 infantry
| 150 hp (112 kW)
| 432
| 63 km
| 4 km/h
| 32 t
| 1918
| 5.1 hp/t
|-
! Mark I Male
| 2Ã—6 pounder (57 mm/L40) [324], 
3Ã—MG [6,272]
| 12/10/6 mm
| UK
| 8
| Petrol 
105 hp (78 kW)
| 75
| 37 km
| 4.5 km/h
| 28.4 t
| 1916
| 3.7 hp/t
|-
! Mark IV Male
| 2Ã—57 mm/L23 [332], 
3Ã—MG [6,272]
| 14/12/8 mm
| UK
| 8
| 125 hp (93 kW)
| 420
| 56 km
| 5.6 km/h
| 28.5 t
| 1917
| 
|-
! Mark V Male
| 2Ã—57 mm/L23 [207], 
4Ã—MG [5,800]
| 14/14/8 mm
| UK
| 8
| 150 hp (112 kW)
| 200
| 72 km
| 7.5 km/h
| 29.5 t
| 1918
| 5.1 hp/t
|-
! Mark V* Male
| 2Ã—57 mm/L23 [221], 
8Ã—MG [8,400]
| 14/12/6 mm
| UK
| 8+24 infantry
| 150 hp (112 kW)
| 200
| 63 km
| 4 km/h
| 33 t
| 1918
| 5.1 hp/t
|-
! Medium Mark A Whippet
| 4Ã—.303 MG [5,400]
| 14/14/5 mm
| UK
| 3-4
| Petrol 2Ã—45 hp (34 kW)
| 200
| 64 km
| 13 km/h
| 14 t
| 1918
| 6.4 hp/t
|-
! Renault FT  canon
| 37 mm/L20 [240]
| 16/8/6 mm
| France
| 2
| 35 hp (26 kW)
| 3,694
| 35 km
| 8 km/h
| 6.7 t
| 1918
| 10.7 hp/t
|-
! Renault FT  mitrailleuse
| 7.92 mm MG [4,800]
| 16/8/6 mm
| France
| 2
| 35 hp (26 kW)
| 3,694
| 35 km
| 8 km/h
| 6.5 t
| 1918
| 10.7 hp/t
|-
! Saint-Chamond
| 75 mm/? [106â€“108], 
4Ã— 7.92 mm MG [7,488]
| 11.5/8.5/5.5 mm
| France
| 8
| 90 hp (67 kW)
| 165
| 60 km
| 12 km/h
| 22 t
| 1917
| 4.1 hp/t
|-
! Saint-Chamond
| 75 mm/L36 [106â€“108], 
4Ã— 7.92 mm MG [7,488]
| 19.5/17/5.5 mm
| France
| 8
| 90 hp (67 kW)
| 235
| 60 km
| 12 km/h
| 24 t
| 1917
| 4.1 hp/t
|-
! Schneider CA1
| 75 mm/L13 [94â€“96], 
2Ã— 7.92 mm MG [3,840]
| 11.5/11.5/5.5 mm
| France
| 6
| 60 hp (45 kW)
| 400
| 48 km
| 8 km/h
| 13.5 t
| 1917
| 
|-
! Schneider CA1
| 75 mm/L13 [94â€“96], 
2Ã— 7.92 mm MG [3,840]
| 24/17/5.5 mm
| France
| 6
| 60 hp (45 kW)
| 400
| 75 km
| 8 km/h
| 14.6 t
| 1917
| 
|}
