{| class="wikitable"
|+ Technical
|-
|
! Additional protocols
! IPv6
! Kerberos
! Proxy client
! SFTP/SCP
! SSH1
! SSH2
! Session
multiplexing
! Terminal
! Tunneling
! User interface
|-
! AbsoluteTelnet
| Yes
| Yes
| Yes
| SOCKS 4, 5; HTTP
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| GUI (multi-session,
single-window)
| No
| No
|-
! Dropbear
| Yes
| No
| Yes
| ?
| Yes
| No
| No
| Yes
| No
| No
| Yes
| command line
| No
| No
|-
! MindTerm
| Yes
| Yes
| Yes
| SOCKS 4, 5; HTTP;;FTP;Generic
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| GUI or command Line or browser
| Yes
| Yes
|-
! MobaXterm
| Yes
| Yes
| Yes
| SOCKS 4, 5
| Yes
| Yes
| Yes
| Yes
| No
| Yes
| Yes
| GUI or command line
| No
| Yes
|-
! OpenSSH
| Yes
| Yes
| Yes
| ProxyCommand
| Yes
| Yes
| Yes
| Yes
| Yes
| No
| Yes
| command line
| Yes
| No
|-
! PACManager
| Yes
| No
| Yes
| SOCKS 4, 5; HTTP; Generic
| Yes
| Yes
| Yes
| Yes
| No
| Yes
| Yes
| GUI
| Yes
| Yes
|-
! Penguinet
| No
| No
| Yes
| SOCKS 4, 5
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| GUI (multi-session,
single-window)
| No
| No
|-
! Private Shell
| Yes
| No
| Yes
| SOCKS 5
| Yes
| Yes
| No
| Yes
| 
| Yes
| Yes
| GUI or command line
| No
| No
|-
! ProxyCap
| Yes
| Yes
| Yes
| SOCKS 4, 5; HTTP; SSH
| No
| No
| Yes
| Yes
| No
| No
| No
| GUI
| No
| No
|-
! PuTTY
| Yes
| Yes
| Yes
| SOCKS 4, 5; HTTP; Telnet; Local
| Yes
| Yes
| Yes
| Yes
| No
| Yes
| Yes
| GUI or command line
| No
| Yes
|-
! Salt
| Yes
| No
| Yes
| SSH
| No
| Yes
| No
| Yes
| Yes
| No
| Yes
| GUI
| No
| No
|-
! SecureCRT
| Yes
| Yes
| Yes
| SOCKS 4, 5; HTTP; Telnet; Generic
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| GUI
| No
| Yes
|-
! SmartFTP
| Yes
| Yes
| No
| SOCKS 4, 5; HTTP
| Yes
| No
| No
| Yes
| No
| Yes
| Yes
| GUI (multi-session,
single-window)
| No
| No
|-
! TN3270 Plus
| Yes
| No
| No
| SOCKS 4
| No
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| GUI
| No
| No
|-
! Tera Term
| Yes
| No
| Yes
| SOCKS 4, 5; HTTP; Telnet
| SCP
| No
| Yes
| Yes
| No
| Yes
| Yes
| GUI
| No
| No
|-
! Token2Shell
| No
| No
| Yes
| SOCKS 4, 5; HTTP
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| GUI
| No
| No
|-
! TtyEmulator
| No
| No
| Yes
| SOCKS 4,4a, 5; HTTP Local
| No
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
| GUI or command line
| No
| Yes
|-
! WinSCP
| Yes
| Yes
| No
| SOCKS 4, 5; HTTP; Telnet; Local
| Yes
| No
| Yes
| Yes
| No
| No
| simple
| GUI or command line
| No
| No
|-
! ZOC
| Yes
| No
| Yes
| SOCKS 4
| SCP
| Yes
| Yes
| Yes
| ?
| Yes
| Yes
| TDI or command line
| No
| Yes
|-
! lsh
| Yes
| No
| Yes
| ?
| Yes
| Yes
| No
| Yes
| Yes
| Yes
| Yes
| command line
| No
| No
|}
