{| class="wikitable"
|+ 
|-
|
! Bus Speed
! Clock Rate
! Code Name
! Fabrication
! L2 Cache
! L3 Cache
! Number of Cores
! Production Date
! Series Nomenclature
! Socket
! Supported Features (Instruction Set)
! TDP
|-
! Intel Atom
| 400 MHz, 533 MHz, 667 MHz, 2.5 GT/s
| 800 MHz - 2.13 GHz
| Diamondville,Pineview,Silverthorne,Lincroft,Cedarview,Medfield,Clover Trail
| 32 nm, 45 nm
| 512 KiB - 1 MiB
| -
| Single,Double
| 2008 - 2009 (as Centrino Atom)2008 - present (as Atom)
| Z5xx, Z6xx, N2xx, 2xx, 3xx,  N4xx, D4xx, D5xx, N5xx, D2xxx, N2xxx
| Socket PBGA437,Socket PBGA441, Socket micro-FCBGA8 559
| 
| 0.65 W - 13 W
|-
! Intel Celeron
| 66 MHz, 100 MHz, 133 MHz, 400 MHz, 533 MHz, 800 MHz
| 266 MHz - 3.6 GHz
| Banias,Cedar Mill,Conroe,Coppermine,Covington,Dothan,Mendocino,Northwood,Prescott,Tualatin,Willamette,Yonah
| 45 nm, 65 nm, 90 nm, 130 nm, 180 nm, 250 nm
| 0 KiB - 1 MiB
| -
| Single,Double
| 1998 - present
| 3xx, 4xx, 5xx
| Slot 1,Socket 370,Socket 478,Socket 479,Socket 495,LGA 775,Socket M,Socket T
| 
| 5.5 W - 86 W
|-
! Intel Core
| 533 MHz, 667 MHz
| 1.06 GHz - 2.33 GHz
| Yonah
| 65 nm
| 2 MiB
| -
| Single,Double
| 2006 - 2008
| Txxxx, Lxxxx, Uxxxx
| Socket M
| 
| 5.5 W - 49 W
|-
! Intel Core 2
| 533 MHz, 667 MHz, 800 MHz, 1066 MHz, 1333 MHz, 1600 MHz
| 1.06 GHz - 3.33 GHz
| Allendale,Conroe,Merom,Penryn,Kentsfield,Wolfdale,Yorkfield
| 45 nm, 65 nm
| 1 MiB - 12 MiB
| -
| Single,Double,Quad
| 2006 - 2011
| Uxxxx, Lxxxx, Exxxx, Txxxx, P7xxx, Xxxxx, Qxxxx, QXxxxx
| Socket 775,Socket M,Socket P,Socket J,Socket T
| 
| 5.5 W - 150 W
|-
! Intel Core i3
| 1066 MHz, 1600 MHz, 2.5 - 5 GT/s
| 2.4 GHz - 3.7 GHz
| Arrandale,Clarkdale,Sandy Bridge, Ivy Bridge,Haswell
| 22 nm, 32 nm
| 256 KiB
| 3 MiB - 4 MiB
| Double
| 2010 - present
| i3-xxx, i3-2xxx, i3-3xxx, i3-4xxx
| LGA 1156, LGA 1155, LGA 1150
| 
| 35 W - 73 W
|-
! Intel Core i5
| 2.5 - 5 GT/s
| 1.06 GHz - 3.6 GHz
| Arrandale,Clarkdale,Clarksfield,Lynnfield, Sandy Bridge, Ivy Bridge,Haswell
| 22 nm, 32 nm, 45 nm
| 256 KiB
| 4 MiB - 8 MiB
| Double,Quad
| 2009 - present
| i5-7xx, i5-6xx, i5-2xxx, i5-3xxx, i5-4xxx
| LGA 1156, LGA 1155, LGA 1150
| 
| 17 W - 95 W
|-
! Intel Core i7
| 2.5GT/s - 6.4 GT/s
| 3.0 GHz - 4.0 GHz
| Gulftown,Sandy Bridge-E, Ivy Bridge-E, Haswell-E
