{| class="wikitable"
|+ Specifications (continued)
|-
|
! Colors
! Controller
! Display
! Game media
! Resolution
|-
! Atari Lynx
| 4096 (12-bit), 16 per scanline
| Four-directional digital pad
| 3.5" LCD (diagonal); 
 3.25" x 1.88"
| Proprietary solid-state cartridge
| 160 x 102
|-
! Atari Lynx II
| 4096 (12-bit), 16 per scanline
| Four-directional digital pad
| 3.5" LCD
| Proprietary solid-state cartridge
| 160 x 102
|-
! Dingoo A320
| 65,536 colors
| Four-directional digital pad, shoulder buttons, action buttons, start & select buttons
| 2.8 in. LCD
| Built-in, miniSD card or downloadable
| 240 x 320
|-
! GP2X
| 260,000 colors (F100) ; 16.77 million colors (F200)
| Eight-Directional Digital Stick
| 3.5" Backlit TFT LCD
| Secure Digital Memory Cards
| 320 x 240
|-
! GP32
| 65,536 colors
| Four-directional digital stick
| 3.5 in. TFT
| Rewritable SmartMedia
| 320 x 240
|-
! Game Boy
| 4
| D-Pad
| Reflective LCD
| Proprietary solid-state cartridge
| 160 x 144
|-
! Game Boy Advance
| 32,768 colors
| D-Pad
| 2.9 in. LCD
| Proprietary solid-state cartridge
| 240 x 160
|-
! Game Boy Advance SP
| 32,768 colors
| D-Pad
| 2.9 in. LCD
| Proprietary solid-state cartridge
| 240 x 160
|-
! Game Boy Color
| 32,768 colors; 10, 32 or 56 simultaneous
| Four-directional digital pad
| TFT LCD
| Proprietary solid-state cartridge
| 160 x 144
|-
! Game Boy Light
| 4
| D-Pad
| Backlit Reflective LCD
| Proprietary solid-state cartridge
| 160 x 144
|-
! Game Boy Micro
| 32,768 colors
| D-pad
| 2 in. LCD
| Proprietary solid-state cartridge
| 240 x 160
|-
! Game Boy Pocket
| 4
| D-Pad
| Reflective LCD
| Proprietary solid-state cartridge
| 160 x 144
|-
! Game Gear
| 4,096 available, 32 simultaneous
| Four-directional digital pad
| 3.2 in. LCD
| Proprietary solid-state cartridge
| 160 x 144
|-
! Game Pocket Computer
| 1
| Four-directional control pad
| LCD
| Proprietary solid-state cartridge
| 75 x 64
|-
! Gizmondo
| 65,536 colors
| Four-directional digital pad
| 2.8 in. LCD
| SD card or downloadable
| 240 x 320
|-
! Mega Duck/Cougar Boy
| 4 monochrome green shades
| Four-directional digital pad
| 2,7" (48 (h) x 51 (w) mm) STN dot matriix
| Proprietary solid-state cartridge
| unknown
|-
! Mi2 console
| "full color"
| Four-directional digital pad, shoulder buttons, action buttons, menu buttons, touch-screen, camera and motion sense
| 3.5 in. LCD
| built in, SD card or downloadable
| 240 x 320
|-
! Microvision
| 4
| 12 button keypad, one paddle
| LCD
| Proprietary solid-state cartridge
| 16 x 16
|-
! N-Gage
| 4,096 colors
| Four-directional digital pad
| 2.1 in. LCD
| MMC or downloadable
| 176 x 208
|-
! N-Gage QD
| 4,096 colors
| Four-directional digital pad
| 2.1 in. LCD
| MMC or downloadable
| 176 x 208
|-
! Neo Geo Pocket
| 16 palettes per plane?
| 8-directional digital thumbstick
| TFT LCD
| Proprietary solid-state cartridge
| 160 x 152
|-
! Neo Geo Pocket Color
| 4,096 colors, 146 simultaneous
| 8-directional digital thumbstick
| TFT LCD
| Proprietary solid-state cartridge
| 160 x 152
|-
! Nintendo DS
| 260,000 colors
| D-pad, stylus-driven touchscreen
| Two 3 in. LCDs
| Proprietary matrix memory cards
| 256 x 192 (X2)
|-
! Pandora
| 16,700,000 colours
| Two analogue nubs, 4-Way D-pad, 46 key qwerty keyboard, touchscreen
| 4.3" Backlit LCD touchscreen
| SD and SDHC
| 800 x 480
|-
! PlayStation Portable
| 16.77 million colors
| Four-directional digital pad, analog thumbstick
| 4.3 in. LCD
| UMD or memory stick
| 480 x 272
|-
! Sega Nomad
| 512 available, 64 simultaneous
| Four-directional digital pad
| 3 in. LCD
| Proprietary solid-state cartridge (compatible with Sega Genesis)
| 320 x 224
|-
! Swan Crystal
| 4,096 colors, 241 simultaneous
| Four-directional digital pad
| 2.8 in. TFT LCD
| Proprietary solid-state cartridge
| 224x144
|-
! Tapwave Zodiac
| 65,536 colors
| 8-directional analog thumbstick, stylus-driven touchscreen
| 3.8 in. LCD
| SD card or downloadable
| 480 x 320
|-
! Timetop Gameking 1 & 2
| 4 shades of gray
| Four-directional digital pad
| 2.1 in. Reflective LCD (Backlit in Gameking 2).
| Proprietary solid-state cartridge
| 48 x 32
|-
! TurboExpress
| 512
| Four-directional digital pad
| TFT LCD
| Proprietary solid-state cartridge (compatible with TurboGrafx-16)
| 256x256
|-
! Watara Supervision
| 4 monochrome green shades
| Four-directional digital pad
| 61 mm x 61 mm (2.37" x 2.37") LCD
| Proprietary solid-state cartridge
| 160 x 160 pixel display
|-
! WonderSwan
| 
| Four-directional digital pad
| 2.49 in. FSTN Reflection LCD
| Proprietary solid-state cartridge
| 224 X 144
|-
! WonderSwan Color
| 4,096 colors, 241 simultaneous
| Four-directional digital pad
| 2.8 in. FSTN reflective LCD
| Proprietary solid-state cartridge
| 224x144
|-
! game.com
| 4
| Four-directional digital pad, touchscreen
| 3.9 in. LCD
| Proprietary solid-state cartridge
| 200 x 160
|}
