{| class="wikitable"
|+ Comparison of layout engines (XHTML) - Media types
|-
|
! Gecko
! KHTML
! Presto
! Prince XML
! Tasman
! Trident
! WebKit
|-
! 
| HTML
| HTML
| HTML
| ?
| HTML
| HTML
| HTML
|-
! 
| 2.0
| No
| 9.50 beta 2
| ?
| No
| No
| No
|-
! 
| XHTML
| HTML
| XHTML
1.0
| ?
| Prompt for download
| XHTML 5.0
| XHTML
125
|-
! 
| 1.0
| ?
| 9.50
| ?
| ?
| ?
| ?
|-
! 
| ?
| ?
| 8.00 beta 2
| ?
| ?
| ?
| ?
|-
! 
| ?
| ?
| 9.00 beta 1
| ?
| ?
| ?
| ?
|-
! 
| XHTML
| XML
| XHTML
1.0
| ?
| Crash
| XHTML 5.0
| XHTML
125
|-
! 
| XHTML
| XML
| XHTML
1.0
| ?
| Crash
| XHTML 5.0
| XHTML
125
|-
! 
| ?
| ?
| 7.50 beta 1
| ?
| ?
| ?
| ?
|}
