{| class="wikitable"
|+ 
|-
|
! IPA
! Interlingua
|-
! A, a
| a
| A, a
|-
! B, b
| b
| B, b
|-
! C, c
| ts
| C,c before e, i, or y
|-
! Ch, ch
| tʃ
| Ch, ch
|-
! D, d
| d
| D, d
|-
! E, e
| e or ɛ
| E, e
|-
! F, f
| f
| F, f; Ph, ph
|-
! G, g
| g
| G, g
|-
! H, h
| h
| H, h
|-
! I, i
| i
| I, i
|-
! J, j
| ʒ
| J, j
|-
! K, k
| k
| C,c; Ch,ch Q,q; K,k
 (Q,q almost always appears before U,u)
|-
! L, l
| l
| L, l
|-
! M, m
| m
| M, m
|-
! N, n
| n
| N, n
|-
! O, o
| o or ɒ
| O, o
|-
! P, p
| p
| P, p
|-
! Qu,qu
| kw or kv
| Qu, qu
|-
! R, r
| r
| R, r
|-
! S, s
| s
| S, s; optionally C, c before i, e, y
|-
! Sh, sh
| ʃ
| Ch, ch; Sh, sh (Sh, sh is rare)
|-
! T, t
| t
| T, t; Th, th
|-
! U, u
| u
| U, u
|-
! V, v
| v
| V, v
|-
! W, w; U, u (before a vowel)
| w
| U, u; W, w (W, w is rare)
|-
! X,x
| ks or gz
| X, x
|-
! Y, y; I, i (before a vowel)
| j
| I,i; Y, y
|-
! Z, z
| z
| Z, z; S, s
|}
