{| class="wikitable"
|+ 
|-
|
! Chess engine
! Developer
! First release
! Latest release
! License
! Platform
|-
! 1K ZX Chess
| N/A
| David Horne
| 1983
| N/A
| Commercial
| ZX Spectrum
|-
! Battle Chess
| N/A
| Interplay
Silicon & Synapse (C64)
| 1988
| 1994
| Commercial
| Amiga, 3DO, Acorn Archimedes, Amiga CD32,  Amiga CDTV, Apple IIGS, Apple IIe, Atari ST, Commodore 64, DOS, FM Towns, NES, Mac OS, PC-98, Sharp X68000, Windows 3.x
|-
! Battle Chess: Game of Kings
| n/a
| Interplay
| 2014-04
| n/a
| Commercial
| Steam (software)
|-
! Battle vs. Chess
| 
| Targem Games
Zuxxez Entertainment
| 2011
| n/a
| Commercial
| Microsoft Windows, Mac OS X, Nintendo DS, PlayStation 3, PlayStation Portable, Xbox 360, Wii
|-
! Chess Advantage
| Chessmaster, Combat Chess, Grandmaster Chess
| 
| 1999
| 2002
| Commercial
| Microsoft Windows
|-
! Chess Crusade
| 
| Slam Games
| TBA
| 2010
| Commercial
| Wii, Nintendo DS, PlayStation 2, Microsoft Windows, iPad
|-
! Chess Titans
| n/a
| Oberon Games
| 2007
| n/a
| Commercial
| Windows Vista, Windows 7
|-
! Chess: Secrets
| 
| 
| 
| 
| 
| 
|-
! ChessV
| ChessV
| Gregory Strong
| 2009
| n/a
| GPL
| Microsoft Windows
|-
! Chessmaster
| 
| Ubisoft Romania
Zonic Limited (Mac OS X)
| 1986
| 2007
| Commercial
| MS Windows, MS-DOS, PlayStation Xbox 360 (XBLA), PSP, PS2
|-
! Combat Chess
| 
| 
| 
| 
| 
| 
|-
! DreamChess
| 
| 
| 
| 
| Free
| 
|-
! Fritz (chess)
| Deep Fritz
| Chessbase
| 1992
| 2013
| Commercial
| Windows Vista, Windows XP, PlayStation 3, Wii, Nintendo DS, Windows 7
|-
! Fritz and Chesster
| Deep Fritz
| Chessbase
| 2005
| 2010
| 
| Windows Vista, Windows XP, Mac, Nintendo DS
|-
! GNU Chess
| third-party
| GNU Project
| 
| 2013
| Free
| Unix-like
|-
! Grand Master Chess
| 
| Mastertronic
| 
| 2007
| Commercial
| Microsoft Windows
|-
! HIARCS
| Deep Fritz
| Chessbase
| 1980
| 2012
| Commercial
| Microsoft Windows, Mac OS X, Windows Mobile, Freescale DragonBall, ARM-based Palm OS, iPhone and iPod Touch
|-
! Junior (chess)
| Deep Junior
| Amir Ban and Shay Bushinsky
| 2003
| 
| Commercial
| 
|-
! Kasparov Chess
| 
| 
| 2001
| 
| Commercial
| Playstation, Microsoft Windows
|-
! Lego Chess
| 
| 
| 1998
| n/a
| Commercial
| PC, DOS
|-
! Master Chess
| 
| 
| 
| 
| 
| 
|-
! Microchess
| Microchess
| Peter R. Jennings
| 1976
| n/a
| Commercial
| KIM-1
|-
! Play It Chess Challenger
Chess Champion
| 
| System 3
| 
| 
| Commercial
| Playstation 2
|-
! Power Chess
| WChess
| Sierra Entertainment
| 1996
| 1998
| Commercial
| Microsoft Windows
|-
! Pure Chess
| Pure Chess
| VooFoo Studios
| 2012
| n/a
| Commercial
| PlayStation 3, PlayStation Vita
|-
! Rybka
| Rybka
| Vasik Rajlich
| 2010
| 
| Commercial
| 
|-
! SMIRF
| 
| Reinhard Scharnagl
| 
| 2009
| Commercial
| Microsoft Windows
|-
! Shredder (chess)
| Deep Fritz
| Stefan Meyer-Kahlen
| 1993
| 2010
| Commercial
| Microsoft Windows, Mac OS X, Linux, iPhone, iPad, Android
|-
! Silver Star Chess
| Silver Star Chess
| AgeTec
| 2008
| n/a
| Commercial
| Wiiware
|-
! Virtual Chess
| 
| 
| ?
| 2002
| Commercial
| Microsoft Windows 3.11, Microsoft Windows
|-
! Wii Chess
| Loop Express
| Nintendo
| 2008
| n/a
| Commercial
| Nintendo Wii
|-
! Wizard Chess
| 
| 
| 
| 
| 
| 
|-
! glChess
| 
| Robert Ancell, GNOME Team
| 2000
| 
| Free
| Unix-like
|-
! pouetChess
| 
| 
| 
| 
| 
| 
|-
! pyChess
| third-party
| PyChess Project
| 2006
| 
| GPL
| Unix-like
|-
! xBoard/Winboard
| third-party
| Tim Mann
| 
| 2013
| Free GPL
| Unix-like X11 Microsoft Windows
|}
