{| class="wikitable"
|+ 
|-
|
! 
! Based on
! Cost (USD)
! First public release
! Latest stable version
! Preferred license
! Primary developers
! Purpose
! Short description
|-
! 
| 
| Based on
| Cost (USD)
| First public release
| Preferred license
| Developer
| Purpose
| Release Date
| Short description
| Version
|-
! 386BSD
| 
| 4.3BSD Net/2
| Free
| 1992-03-01
| BSD
| William and Lynne Jolitz
| Open source general purpose
| 1994-11-01
| Historical
| 1.0
|-
! Anonym.OS
| 
| OpenBSD 3.8
| Free
| 2005-01-01
| ?
| ?
| Anonymous browsing
| ?
| Live CD
| none (beta only)
|-
! BSD/OS (BSD/386)
| 
| 4.3BSD Net/2, 4.4BSD
| ?
| 1993-03-01
| Proprietary
| BSDi, Wind River Systems
| General purpose
| 2003-10-01
| Historical
| 5.1
|-
! ClosedBSD
| 
| FreeBSD
| Free
| ?
| Proprietary
| Joshua Bergeron and various contributors
| ?
| ?
| firewall/NAT, boot floppy, Live CD
| 1.0B (floppy), 1.0-RC1 (CD)
|-
! Darwin
| 
| NeXTSTEP, FreeBSD, Mac OS
| Free
| 2001-03-01
| APSL, GPL and others
| Apple Inc.
| Workstation, Home Desktop, Server
| 2012-06-11
| The kernel and certain userland components of OS X
| 13.0.0
|-
! Debian GNU/NetBSD
| 
| GNU, NetBSD
| Free
| Abandoned
| DFSG
| The Debian GNU/kNetBSD team
| General purpose
| Abandoned
| GNU userspace on NetBSD kernel
| Abandoned
|-
! Debian GNU/kFreeBSD
| 
| GNU, FreeBSD
| Free
| 2011-02-06
| DFSG
| The Debian GNU/kFreeBSD team
| General purpose
| 2014-04-26
| GNU userspace on FreeBSD kernel
| 7.5
|-
! DesktopBSD
| 
| FreeBSD
| Free
| 2005-07-25
| BSD
| Peter Hofer, Daniel Seuffert
| Desktop
| 2009-09-07
| Easy to use
| 1.7
|-
! DragonFly BSD
| 
| FreeBSD 4.8
| Free
| 2004-07-12
| BSD
| Matt Dillon
| Server, Workstation, Network Appliance, Embedded
| 2014-06-04
| Emphasis on multiprocessor systems and clustering
| 3.8.0
|-
! FreeBSD
| 
| 386BSD, 4.4BSD-Lite
| Free
| 1993-12-01
| BSD
| The FreeBSD Project
| Server, Workstation, Network Appliance, Embedded
| 2014-01-20
| Aims for maximum performance.
| 10.0
|-
! FreeSBIE
| Live CD of FreeBSD. DistroWatch lists as discontinued.
| FreeBSD
| Free
| ?
| ?
| ?
| ?
| 2007-02-01
| Live CD of FreeBSD. DistroWatch lists as discontinued.
| 2.0.3
|-
! Gentoo DragonflyBSD
| 
| DragonFly BSD
| Free
| ?
| ?
| Robert Sebastian Gerus (project not yet officially supported by Gentoo)
| Server, Workstation, Network Appliance
| ?
| uses Gentoo framework
| ?
|-
! Gentoo NetBSD
| 
| NetBSD
| Free
| ?
| GPL, BSD
| Gentoo Linux developers
| Server, Workstation, Network Appliance, Embedded
| ?
| uses Gentoo framework
| ?
|-
! Gentoo OpenBSD
| 
| OpenBSD
| Free
| ?
| GPL, BSD
| Gentoo Linux developers
| Server, Workstation, Network Appliance, Embedded
| ?
| uses Gentoo framework
| ?
|-
! Gentoo/FreeBSD
| 
| FreeBSD
| Free
| ?
| GPL, BSD
