{| class="wikitable"
|+ 
|-
|
! 
! !| PC operating system
! Mobile operating system
|-
! BookmarkSync.Yes.Yes.No
| No
| No
| No
| No
| No
| No
| No
|-
! Client.Windows.OS X.Linux
| Windows Phone
| other
| BlackBerry OS
| iOS
| FreeBSD
| Symbian
| Android
|-
! Client.Windows.OS X.Linux
| other
| Windows Phone
| iOS
| Android
| FreeBSD
| Symbian
| BlackBerry OS
|-
! Firefox Sync.Yes.Yes.Yes
| Yes
| OpenSolaris
| Yes
| Yes
| No
| No
| Yes
|-
! Opera Link.Yes.Yes.Yes
| Solaris, Java ME, S60, UIQ3, BREW
| Yes
| Yes
| Yes
| Yes
| Yes
| Yes
|-
! Xmarks.Yes.Yes.Yes
| No
| Xmarks Premium
| No
| Xmarks Premium
| No
| Xmarks Premium
| Xmarks Premium
|}
