{| class="wikitable"
|+ 
|-
|
! Description
! Isode M-Link
! Metronome
! MongooseIM
! Openfire
! Prosody
! Status
! Tigase
! ejabberd
! iChat Server
! jabberd14
! jabberd2
|-
! 0004
| Data forms
| Yes
| Yes
| Yes
| Yes
| Yes
| Final
| Yes
| Yes
| Unknown
| Unknown
| No
|-
! 0009
| Jabber RPC
| No
| Unknown
| Yes
| Unknown
| Yes
| Final
| Unknown
| Yes
| Unknown
| Unknown
| No
|-
! 0012
| Last Activity
| Yes
| Yes
| Yes
| Yes
| Yes
| Final
| Unknown
| Yes
| Unknown
| Yes
| Yes
|-
! 0013
| Flexible offline message retrieval
| No
| No
| No
| Yes
| No
| Draft
| Unknown
| No
| Unknown
| Yes
| No
|-
! 0016
| Privacy Lists
| No
| Yes
| Yes
| Unknown
| Yes
| Draft
| Yes
| Yes
| Unknown
| Yes
| Yes
|-
! 0018
| Invisible Presence
| No
| No
| Yes
| Unknown
| Unknown
| Rejected
| Unknown
| Yes
| Unknown
| Yes
| No
|-
! 0020
| Feature negotiation
| No
| Unknown
| No
| No
| Yes
| Draft
| Unknown
| Yes
| Unknown
| Unknown
| No
|-
! 0022
| Message Events
| No
| Unknown
| Yes
| Unknown
| Yes
| Obsolete
| Unknown
| Yes
| Unknown
| Yes
| Yes
|-
! 0023
| Message Expiration
| No
| Unknown
| Yes
| Unknown
| Unknown
| Obsolete
| Unknown
| Yes
| Unknown
| Yes
| Yes
|-
! 0025
| HTTP Polling
| No
| No
| No
| Unknown
| No
| Obsolete
| Unknown
| Yes
| Unknown
| Unknown
| No
|-
! 0030
| Service Discovery
| Yes
| Yes
| Yes
| Yes
| Yes
| Final
| Yes
| Yes
| Unknown
| Yes
| Yes
|-
! 0033
| Extended Stanza Addressing
| No
| No
| No
| Yes
| Partial
Contrib.
| Draft
| Unknown
| Yes
| Unknown
| Unknown
| No
|-
! 0039
| Statistics Gathering (deferred)
| No
| No
| No
| Unknown
| Unknown
| Deferred
| Yes
| Yes
| Unknown
| Unknown
| No
|-
! 0045
| Multi User Chat
| Yes
| Yes
| Yes
| Yes
| Yes
| Draft
| Yes
| Yes
| Unknown
| Contrib.
| No
|-
! 0047
| In-Band Bytestreams
| No
| Unknown
| Yes
| Yes
| Yes
| Final
| Unknown
| Yes
| Unknown
| Unknown
| No
|-
! 0049
| Private XML Storage
| Yes
| Yes
| Yes
| Yes
| Yes
| Historical Use
| Yes
| Yes
| Unknown
| Yes
| Yes
|-
! 0050
| Ad-Hoc Commands
| Yes
| Yes
| Yes
| Yes
| Yes
| Draft
| Yes
| Yes
| Unknown
| Unknown
| No
|-
! 0054
| vcard-temp
| Yes
| Yes
| Yes
| Yes
| Yes
| Historical Use
| Yes
| Yes
| Unknown
| Yes
| Yes
|-
! 0055
| Jabber Search
| Yes
| Yes
| Yes
| Yes
| No
| Historical Use
| Unknown
| Yes
| Unknown
| Unknown
| No
|-
! 0059
| Result set management
| No
| Partial
| Yes
| Yes
| No
| Draft
| Unknown
| Yes
| Unknown
| Unknown
| No
|-
! 0060
| Publish-Subscribe
| Yes
| Yes
| No
| Yes
| Yes
| Draft
| Yes
| Yes
| Unknown
| Contrib.
| No
|-
