"{{Free|[[Apache License|Apache]] 2.0, GNU [[GPLv2]]}}","style=""background: #9FF; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|[[Apache License|Apache]] 2.0, GNU [[GPLv2]]"
{{Start date and age|1999|01|02}},"January&nbsp;2, 1999<span class=""noprint"">&#059;&#032;16 years ago</span><span style=""display:none"">&#160;(<span class=""bday dtstart published updated"">1999-01-02</span>)</span>"
"{{nts|3,600}}","<span style=""display:none"" class=""sortkey"">7003360000000000000♠</span>3,600"
{{flagicon|MTQ}},"<span class=""flagicon"">[[File:Flag of France.svg|23x15px|border |alt=Martinique|link=Martinique]]</span>"
{{Latest stable software release/Avant}},"2015 build 10 <small>(March&nbsp;5, 2015<span class=""noprint"">&#059;&#032;3 months ago</span><span style=""display:none"">&#160;(<span class=""bday dtstart published updated"">2015-03-05</span>)</span> <ref>{{Cite web |url=http://www.avantbrowser.com/download.aspx |title=Download - Avant Browser - The full-featured tri-core rendering Avant Browser which supports IE/Firefox/Chrome engines is fast, stable and memory leak free. |accessdate=2015-03-06}}</ref>)</small> <small class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Template:Latest_stable_software_release/Avant&action=edit &#91;±&#93;]</small>"
{{Free|[[Eclipse Public License|EPL]]}},"style=""background: #9FF; color: black; vertical-align: middle; text-align: center; "" class=""free table-free""|[[Eclipse Public License|EPL]]"
{{Nonfree|Free limited<br>(to Lvl 20)<br><br>Full US$14.99/month<br>€12.99}},"style=""background: #F9D; color: black; vertical-align: middle; text-align: center; "" class=""nonfree table-nonfree""|Free limited<br>(to Lvl 20)<br><br>Full US$14.99/month<br>€12.99"
{{dts|2009-12-04}},"<span style=""display:none; speak:none"" class=""sortkey"">02009-12-04-0000</span><span style=""white-space:nowrap;"">December 4, 2009</span>"
{{yes|[[#presto content|2.7]]}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|[[#presto content|2.7]]"
{{CHE}},"<span class=""flagicon"">[[File:Flag of Switzerland.svg|23x16px|border |alt=|link=]]&nbsp;&nbsp;</span>[[Switzerland|Switzerland]]"
{{Some|Extension}},"style=""background: #FFD; color: black; vertical-align: middle; text-align: center; "" class=""partial table-partial""|Extension"
{{nts|1508}},"<span style=""display:none"" class=""sortkey"">7003150800000000000♠</span>1,508"
{{efn|name=b-2}},"<ref name=""b-2"" group=""lower-alpha""></ref>"
{{yes|custom}},"style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|custom"
{{nts|1.88}},"<span style=""display:none"" class=""sortkey"">7000188000000000000♠</span>1.88"
"{{nts|1,239}}","<span style=""display:none"" class=""sortkey"">7003123900000000000♠</span>1,239"
"{{Yes|CBZ, CBR, CBA, CB7}}","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|CBZ, CBR, CBA, CB7"
