id;product_name;countries;ingredients
8437015940014;"Crema de Calabaza ecológica";"España";"[patata-pelada, acelga, zanahoria, judia-verde, agua-de-coccion, cebolla, espinaca, aceite-de-oliva-virgen-extra, sal-y-ajo, procedente-de-agricultura-ecologica, ]";
3250390001072;"Ravioli pur boeuf";"France";"[sauce, eau, concentre-de-tomates, viande-bovine, legumes, huile-de-colza, sucre, sel, arome, amidon-modifie-de-mais-
pate, semoule-de-ble-dur, eau, gluten-de-ble-
farce, viande-bovine, chapelure, eau, semoule-de-ble-dur, legumes, aromates, aromes, dont-derives-de-ble, huile-de-colza, sel, poivre, oignons, carottes, dont-exhausteur-de-gout, e621, farine, de-ble, sel, oignons, carottes]";
3256220071475;"Quenelles de brochet sauce Nantua";"France";"[eau, quenelles-de-brochet, graisse-de-boeuf, eau, blancs-d-oeufs, chair-de-brochet-4-9, sel, gluten-de-ble, lactose-et-proteines-de-lait, extrait-naturel-de-poivre, creme-fraiche, concentre-de-tomates, farine-de-ble, amidon-transforme-de-mais, amidon-de-riz, aromes, cognac-modifie, huile-de-tournesol, extrait-d-ecrevisse, dont-crustaces-et-poissons, colorants, oleorisine-de-paprika, epices, sirop-de-glucose, poudre-de-crevettes-deshydratees, proteines-de-lait-
-pourcentage-a-la-mise-en-oeuvre, exprime-sur-le-poids-net-total, farine-de-ble, dont-lait, crustaces, poisson, curcuma, muscade, thym, laurier, poivre-de-cayenne, dont-crustaces, poissons, mollusques]";
3329150340550;"Filets de Rouget à la provençale";"France";"[filets-de-rouget-barbet-cinnabare, poisson, sauce-provencale, legumes, olives-noires, eau, double-concentre-de-tomates, huile-de-colza, sucre, sel, amidon-modifie-de-mais, arome-naturel-de-laurier, poivre-noir-concasse, poivrons-rouges, aubergines-grillees, tomates-sechees, olives, sel, stabilisant, gluconate-ferreux]";
3083681017687;"Carottes râpées";"France";"[carottes, eau, sucre, sel, jus-de-citron-concentre, vinaigre-d-alcool, acidifiant, glucono-delta-lactone, acide-lactique, antioxydant, acide-ascorbique]";
3263851740991;"Chili con carne (Pur bœuf)";"France";"[eau, haricots-rouges-blanchis, legumes, , viande-bovine, concentre-de-tomate, proteines-de-soja, amidon-transforme-de-mais, epices-et-aromate, proteines-de-soja, sucre, sel, gras-de-boeuf, farine-de-ble, vinaigre-d-alcool, carottes, mais, oignons, tomates, oignons-frits, oignons, huile-de-tournesol]";
3564700632765;"Chili Con Carne au piment de Cayenne";"France";"[legumes, poivrons, mais, oignons, 
sauce, eau, concentre-de-tomate, sucre, sel, epices-et-aromates, , farine-de-ble, arome-naturel-de-poivre, colorant, extrait-de-paprika-
viande-bovine, , haricots-rouges-precuits, dont-celeri, piment-de-cayenne]";
3083680659048;"Ratatouille cuisinée à la provençale";"France";"[des-d-aubergines-prefrites, des-de-courgettes, puree-de-tomates, des-d-oignons, des-de-poivrons-rouges, huile-d-olive-vierge-extra, sucre, sel, ail, jus-concentre-de-citron, farine-de-ble, thym, aubergines, huile-de-tournesol, acidifiant, acide-citrique]";
3256220878432;"Quenelles de volaille - sauce champignons";"Guyane";"[]";
3256222415154;"Choucroute garnie";"France";"[choucroute, eau, saucisses-pur-porc-fumee, viande-de-porc-traitee-en-salaison-et-precuite, pommes-de-terre, saucisson-fume-pur-porc, saindoux, vin-blanc-riesling, sel, antioxydant, acide-ascorbique, arome, baies-de-genievre, grains-de-poivre, choux, sel, viande-de-porc, union-europeenne, eau, gras-et-couenne-de-porc, maigre-de-tete-de-porc, plasma-de-porc, amidon-de-pois, proteines-de-ble, sel, stabilisant, triphosphates, aromates, aromes, gelifiants, carraghenanes, gomme-guar, gomme-xanthane, sirop-de-glucose, colorant, extrait-de-paprika, antioxydant, acide-ascorbique, conservateur, nitrite-de-sodium, viande-de-porc, union-europeenne, eau, sel, stabilisant, triphosphates, gelifiant, algues-euchema-transformees, conservateur, nitrite-de-sodium, dont-antioxydant, acide-ascorbique, conservateur, disulfite-de-sodium, viande-de-porc, union-europeenne, eau, maigre-de-tete-de-porc, gras-et-couenne-de-porc, plasma-de-porc, amidon-de-pois, sel, aromates, aromes, proteines-de-lait, sirop-de-glucose, stabilisant, triphosphates, antioxydant, acide-ascorbique, conservateur, nitrite-de-sodium]";
3083680973939;"Ratatouille cuisinée à la Provençale";"France";"[aubergines-prefrites-coupees, huile-de-tournesol, courgettes-coupees, puree-de-tomates, acide-citrique, oignons-coupes, poivrons-rouges-coupes, huile-d-olive-vierge-extra, sucre, ail, jus-concentre-de-citron, farine-de-ble, thym]";
3256222415239;"Petit salé aux Lentilles Cuisiné à la Graisse de Canard";"France";"[lentilles-rehydratees, eau, viande-de-porc-traitee-en-salaison-et-precuite, carottes, graisse-de-canard, oignons, concentre-de-tomates, en-poudre, amidon, sel, ail-en-poudre, aromes-naturels-

certains-ingredients-de-ce-produit-ne-proviennent-pas-de-france, viande-de-porc, union-europeenne, eau, sel, stabilisant, triphosphates]";
3261055931443;"Taglia Ball's Provençale";"France";"[sauce, eau, tomate, oignons, amidon-transforme-de-mais, basilic, aromes, dont-lait, sel, huile-d-olive-vierge-extra, huile-de-colza, sucre, ail-en-poudre, epaississants, farine-de-graines-de-caroube-et-gomme-guar-
tagliatelles-seches, semoule-de-ble-dur, oeuf-
boulettes-au-boeuf-precuites, viande-de-boeuf, proteines-de-soja-texturees-rehydratees, concentrat-de-proteines-de-soja, oignons-deshydrates, sel, arome, persil, poivre, concentre-de-tomate, morceaux-de-tomate, jus-de-tomate]";
3104700025008;"Quenelles de brochet au naturel";"France";"[farine-de-ble, graisse-de-boeuf, eau, chair-de-brochet, a-la-mise-en-oeuvre, blancs-d-oeufs, sel, gluten-de-ble, lactose-et-proteines-de-lait, extrait-naturel-de-poivre-
liquide-de-couverture, eau]";
8431876065923;"Lentejas con verduras";"España";"[lenteja, agua-de-coccion, vegetales, judia-verde, zanahoria, guisante-y-patata, tomate, aceite-de-oliva, vino-blanco, sal, patata-copos, cebolla, puerro, ajo, aroma-de-verduras, especias-y-azucar]";
