"Name";"Feature ";"Products ";"Cells";"Empty Cells";"Ratio EmCell";"Nombre de Features Homogenes";"Ratio de Features Homogenes";"Nombre de Features Homogenes Numeriques";"Product Chartable";"Testing Score"
"1982_ABC_Championship_for_Women_6.pcm";"3";"9";"27";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_Belgian_Grand_Prix_2.pcm";"3";"5";"15";"0";"0.0";"2";"100.0";"1";"false";"0"
"1982_83_OB_I_bajnoksag_season_0.pcm";"8";"3";"24";"0";"0.0";"7";"100.0";"5";"true";"0"
"1982_Alpine_Skiing_World_Cup___Men_s_Overall_1.pcm";"4";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_triple_jump_1.pcm";"2";"8";"16";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_European_Judo_Championships_9.pcm";"3";"8";"24";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_83_Philadelphia_76ers_season_1.pcm";"5";"5";"25";"7";"28.0";"3";"75.0";"0";"false";"0"
"1982_Copa_Per__0.pcm";"3";"6";"18";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_83_Washington_Bullets_season_0.pcm";"6";"12";"72";"11";"15.277777777777779";"5";"100.0";"1";"false";"0"
"1982_European_Athletics_Championships___Women_s_3000_metres_1.pcm";"3";"21";"63";"3";"4.761904761904762";"1";"50.0";"0";"false";"0"
"1982_Air_Canada_Cup_1.pcm";"6";"6";"36";"0";"0.0";"5";"100.0";"3";"true";"0"
"1982_83_USAC_Championship_Car_season_1.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_San_Diego_Clippers_season_1.pcm";"2";"1";"2";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_Champion_Spark_Plug_400_0.pcm";"6";"10";"60";"0";"0.0";"5";"100.0";"3";"true";"0"
"1982_European_Athletics_Championships___Women_s_marathon_1.pcm";"2";"6";"12";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_Argentine_Primera_Divisi_n_4.pcm";"5";"4";"20";"0";"0.0";"3";"75.0";"0";"false";"0"
"1982_Commonwealth_Games_3.pcm";"8";"7";"56";"0";"0.0";"7";"100.0";"3";"true";"0"
"1982_Argentina_rugby_union_tour_of_France_and_Spain_2.pcm";"5";"14";"70";"0";"0.0";"4";"100.0";"1";"false";"0"
"1982_European_Formula_Two_season_0.pcm";"11";"13";"143";"0";"0.0";"10";"100.0";"1";"false";"0"
"1982_Campeonato_Brasileiro_S_rie_A_6.pcm";"10";"5";"50";"0";"0.0";"9";"100.0";"7";"true";"0"
"1982_83_Yugoslav_Cup_3.pcm";"4";"4";"16";"0";"0.0";"3";"100.0";"0";"false";"0"
"1982_Campeonato_Argentino_de_Rugby_13.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Scottish_Cup_6.pcm";"3";"3";"9";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_1500_metres_2.pcm";"5";"11";"55";"8";"14.545454545454545";"3";"75.0";"0";"false";"0"
"1982_Detroit_Grand_Prix_0.pcm";"8";"29";"232";"5";"2.1551724137931036";"5";"71.42857142857143";"2";"true";"0"
"1982_European_Athletics_Championships___Men_s_5000_metres_3.pcm";"5";"11";"55";"2";"3.6363636363636362";"3";"75.0";"0";"false";"0"
"1982_European_Athletics_Championships___Women_s_marathon_0.pcm";"2";"2";"4";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_African_Championships_in_Athletics_1.pcm";"7";"15";"105";"0";"0.0";"3";"50.0";"0";"false";"0"
"1982_83_Scottish_Cup_10.pcm";"3";"1";"3";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_European_Cup_Final_0.pcm";"9";"4";"36";"0";"0.0";"8";"100.0";"0";"false";"0"
"1982_83_Rugby_Football_League_season_1.pcm";"9";"17";"153";"0";"0.0";"8";"100.0";"7";"true";"0"
"1982_Alpine_Skiing_World_Cup_5.pcm";"9";"10";"90";"2";"2.2222222222222223";"2";"25.0";"1";"false";"0"
"1982_83_New_York_Islanders_season_0.pcm";"5";"1";"5";"0";"0.0";"4";"100.0";"0";"false";"0"
"1982_83_Scottish_League_Cup_20.pcm";"5";"1";"5";"0";"0.0";"4";"100.0";"0";"false";"0"
"1982_83_Nationalliga_A_season_1.pcm";"8";"6";"48";"0";"0.0";"7";"100.0";"4";"true";"0"
"1982_Campeonato_Brasileiro_S_rie_B_0.pcm";"10";"6";"60";"0";"0.0";"9";"100.0";"7";"true";"0"
"1982_European_Athletics_Championships___Men_s_4___400_metres_relay_3.pcm";"5";"6";"30";"3";"10.0";"3";"75.0";"0";"false";"0"
"1982_83_Serie_A_0.pcm";"2";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Scottish_League_Cup_1.pcm";"5";"12";"60";"0";"0.0";"4";"100.0";"0";"false";"0"
"1982_83_Yugoslav_First_Basketball_League_0.pcm";"8";"12";"96";"0";"0.0";"7";"100.0";"6";"true";"0"
"1982_European_Athletics_Championships___Men_s_400_metres_3.pcm";"5";"8";"40";"4";"10.0";"3";"75.0";"1";"false";"0"
"1982_83_Yugoslav_Ice_Hockey_League_season_2.pcm";"6";"3";"18";"0";"0.0";"5";"100.0";"3";"true";"0"
"1982_European_Tour_0.pcm";"5";"27";"135";"24";"17.77777777777778";"4";"100.0";"0";"false";"0"
"1982_83_Nationale_A_season_1.pcm";"9";"8";"72";"0";"0.0";"8";"100.0";"7";"true";"0"
"1982_Atlanta_Falcons_season_0.pcm";"8";"10";"80";"1";"1.25";"7";"100.0";"2";"true";"0"
"1982_83_Utah_Jazz_season_0.pcm";"6";"10";"60";"7";"11.666666666666666";"4";"80.0";"1";"false";"0"
"1982_83_Yugoslav_Ice_Hockey_League_season_0.pcm";"6";"7";"42";"0";"0.0";"5";"100.0";"4";"true";"0"
"1982_Atlanta_Braves_season_5.pcm";"7";"4";"28";"0";"0.0";"6";"100.0";"6";"true";"0"
"1982_83_Primera_Divisi_n_B_de_Baloncesto_0.pcm";"2";"1";"2";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_Alpine_Skiing_World_Cup___Men_s_Combined_2.pcm";"10";"16";"160";"1";"0.625";"4";"44.44444444444444";"3";"true";"0"
"1982_83_Scottish_League_Cup_24.pcm";"5";"2";"10";"0";"0.0";"4";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_javelin_throw_2.pcm";"4";"13";"52";"0";"0.0";"3";"100.0";"0";"false";"0"
"1982_Cleveland_Browns_season_1.pcm";"5";"17";"85";"9";"10.588235294117647";"3";"75.0";"0";"false";"0"
"1982_Alpine_Skiing_World_Cup_1.pcm";"8";"20";"160";"0";"0.0";"7";"100.0";"5";"true";"0"
"1982_European_Athletics_Championships___Women_s_800_metres_3.pcm";"5";"8";"40";"4";"10.0";"3";"75.0";"0";"false";"0"
"1982_African_Championships_in_Athletics_0.pcm";"7";"22";"154";"0";"0.0";"3";"50.0";"0";"false";"0"
"1982_California_Angels_season_5.pcm";"2";"6";"12";"0";"0.0";"1";"100.0";"1";"false";"0"
"1982_European_Athletics_Championships___Women_s_100_metres_4.pcm";"5";"7";"35";"2";"5.714285714285714";"3";"75.0";"1";"false";"0"
"1982_83_Primera_Divisi_n_B_de_Baloncesto_1.pcm";"7";"14";"98";"0";"0.0";"6";"100.0";"5";"true";"0"
"1982_Alpine_Skiing_World_Cup___Women_s_Downhill_1.pcm";"13";"38";"494";"42";"8.502024291497976";"2";"16.666666666666668";"1";"false";"0"
"1982_European_Athletics_Championships___Men_s_400_metres_5.pcm";"5";"7";"35";"2";"5.714285714285714";"3";"75.0";"1";"false";"0"
"1982_Cincinnati_Bengals_season_0.pcm";"6";"9";"54";"0";"0.0";"5";"100.0";"0";"false";"0"
"1982_83_San_Antonio_Spurs_season_1.pcm";"12";"18";"216";"198";"91.66666666666667";"11";"100.0";"0";"false";"0"
"1982_83_New_York_Islanders_season_1.pcm";"9";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Edgbaston_Cup_0.pcm";"3";"14";"42";"0";"0.0";"2";"100.0";"1";"false";"0"
"1982_European_Fencing_Championships_1.pcm";"4";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Utah_Jazz_season_1.pcm";"5";"6";"30";"0";"0.0";"4";"100.0";"3";"true";"0"
"1982_83_Scottish_League_Cup_15.pcm";"5";"12";"60";"0";"0.0";"4";"100.0";"0";"false";"0"
"1982_Boston_Red_Sox_season_4.pcm";"7";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Campeonato_Argentino_de_Rugby_12.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Quebec_Nordiques_season_8.pcm";"5";"11";"55";"0";"0.0";"4";"100.0";"1";"false";"0"
"1982_European_Athletics_Championships___Men_s_4___100_metres_relay_1.pcm";"4";"8";"32";"3";"9.375";"2";"66.66666666666667";"1";"false";"0"
"1982_83_Winnipeg_Jets_season_4.pcm";"5";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Phoenix_Suns_season_2.pcm";"3";"2";"6";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_ABC_Championship_for_Women_3.pcm";"8";"3";"24";"0";"0.0";"7";"100.0";"6";"true";"0"
"1982_CONCACAF_U-20_Tournament_2.pcm";"6";"3";"18";"0";"0.0";"5";"100.0";"0";"false";"0"
"1982_83_Scottish_League_Cup_6.pcm";"9";"4";"36";"0";"0.0";"8";"100.0";"7";"true";"0"
"1982_Alpine_Skiing_World_Cup___Women_s_Giant_Slalom_2.pcm";"4";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Alpine_Skiing_World_Cup_3.pcm";"13";"14";"182";"0";"0.0";"3";"25.0";"1";"false";"0"
"1982_European_Athletics_Championships___Men_s_100_metres_6.pcm";"5";"7";"35";"3";"8.571428571428571";"3";"75.0";"1";"false";"0"
"1982_ABC_Championship_for_Women_1.pcm";"8";"3";"24";"0";"0.0";"7";"100.0";"6";"true";"0"
"1982_83_Scottish_Cup_0.pcm";"3";"6";"18";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_Australian_Endurance_Championship_0.pcm";"7";"5";"35";"3";"8.571428571428571";"5";"83.33333333333333";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_10_000_metres_0.pcm";"2";"2";"4";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_FIFA_World_Cup_qualification__AFC_and_OFC__2.pcm";"5";"9";"45";"0";"0.0";"2";"50.0";"1";"false";"0"
"1982_European_Judo_Championships_5.pcm";"3";"6";"18";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_Danish_1st_Division_1.pcm";"4";"11";"44";"0";"0.0";"2";"66.66666666666667";"1";"false";"0"
"1982_83_Women_s_IHF_Cup_1.pcm";"5";"8";"40";"0";"0.0";"4";"100.0";"0";"false";"0"
"1982_Copa_Libertadores_3.pcm";"5";"8";"40";"0";"0.0";"4";"100.0";"4";"true";"0"
"1982_European_Athletics_Championships___Men_s_800_metres_7.pcm";"5";"6";"30";"1";"3.3333333333333335";"4";"100.0";"0";"false";"0"
"1982_83_Segunda_Divisi_n_B_1.pcm";"10";"20";"200";"0";"0.0";"9";"100.0";"7";"true";"0"
"1982_83_Philadelphia_Flyers_season_11.pcm";"5";"2";"10";"4";"40.0";"4";"100.0";"0";"false";"0"
"1982_83_Winnipeg_Jets_season_2.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Cincinnati_Reds_season_3.pcm";"2";"6";"12";"0";"0.0";"1";"100.0";"1";"false";"0"
"1982_Australian_Drivers__Championship_0.pcm";"7";"8";"56";"0";"0.0";"5";"83.33333333333333";"0";"false";"0"
"1982_Australian_Rally_Championship_2.pcm";"5";"10";"50";"4";"8.0";"3";"75.0";"0";"false";"0"
"1982_Campeonato_Brasileiro_S_rie_A_16.pcm";"5";"9";"45";"0";"0.0";"1";"25.0";"1";"false";"0"
"1982_83_St._Louis_Blues_season_2.pcm";"9";"4";"36";"0";"0.0";"8";"100.0";"8";"true";"0"
"1982_83_QMJHL_season_0.pcm";"6";"7";"42";"0";"0.0";"5";"100.0";"5";"true";"0"
"1982_European_Athletics_Championships___Women_s_high_jump_0.pcm";"2";"2";"4";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_83_New_York_Rangers_season_4.pcm";"11";"5";"55";"0";"0.0";"10";"100.0";"9";"true";"0"
"1982_83_Quebec_Nordiques_season_6.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Boston_Red_Sox_season_5.pcm";"7";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Baltimore_Colts_season_0.pcm";"8";"17";"136";"16";"11.764705882352942";"4";"57.142857142857146";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_high_jump_1.pcm";"5";"12";"60";"11";"18.333333333333332";"3";"75.0";"1";"false";"0"
"1982_College_Baseball_All-America_Team_0.pcm";"2";"4";"8";"1";"12.5";"1";"100.0";"0";"false";"0"
"1982_Campeonato_Brasileiro_S_rie_A_11.pcm";"5";"9";"45";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Can-Am_season_0.pcm";"5";"9";"45";"0";"0.0";"3";"75.0";"0";"false";"0"
"1982_European_Athletics_Championships___Women_s_400_metres_hurdles_0.pcm";"2";"2";"4";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_African_Championships_in_Athletics_2.pcm";"6";"14";"84";"0";"0.0";"5";"100.0";"4";"true";"0"
"1982_Campeonato_Argentino_de_Rugby_6.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Segunda_Divisi_n_1.pcm";"10";"20";"200";"0";"0.0";"9";"100.0";"6";"true";"0"
"1982_Alpine_Skiing_World_Cup___Women_s_Downhill_2.pcm";"4";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_European_Formula_Two_season_2.pcm";"3";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_Carlton_Football_Club_season_6.pcm";"8";"3";"24";"0";"0.0";"7";"100.0";"0";"false";"0"
"1982_Atlantic_Coast_Conference_Baseball_Tournament_0.pcm";"6";"8";"48";"0";"0.0";"5";"100.0";"4";"true";"0"
"1982_European_Athletics_Championships___Men_s_5000_metres_2.pcm";"5";"15";"75";"9";"12.0";"3";"75.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_400_metres_6.pcm";"5";"7";"35";"4";"11.428571428571429";"3";"75.0";"1";"false";"0"
"1982_83_WHL_season_3.pcm";"8";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_100_metres_3.pcm";"5";"8";"40";"4";"10.0";"3";"75.0";"1";"false";"0"
"1982_European_Athletics_Championships___Men_s_3000_metres_steeplechase_1.pcm";"5";"12";"60";"12";"20.0";"4";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Men_s_800_metres_2.pcm";"5";"8";"40";"4";"10.0";"3";"75.0";"0";"false";"0"
"1982_CONCACAF_U-20_Tournament_0.pcm";"2";"3";"6";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_83_New_York_Rangers_season_3.pcm";"6";"23";"138";"0";"0.0";"5";"100.0";"5";"true";"0"
"1982_83_Northern_Football_League_1.pcm";"9";"10";"90";"0";"0.0";"8";"100.0";"7";"true";"0"
"1982_European_Athletics_Championships___Men_s_400_metres_hurdles_4.pcm";"5";"8";"40";"3";"7.5";"3";"75.0";"1";"false";"0"
"1982_African_Cup_of_Nations_3.pcm";"4";"1";"4";"0";"0.0";"3";"100.0";"0";"false";"0"
"1982_European_Judo_Championships_2.pcm";"3";"8";"24";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_European_Athletics_Championships___Women_s_javelin_throw_0.pcm";"2";"2";"4";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_Alpine_Skiing_World_Cup___Women_s_Combined_0.pcm";"9";"4";"36";"0";"0.0";"8";"100.0";"1";"false";"0"
"1982_Alpine_Skiing_World_Cup___Men_s_Overall_0.pcm";"13";"104";"1352";"503";"37.20414201183432";"9";"75.0";"5";"true";"0"
"1982_European_Athletics_Championships___Men_s_javelin_throw_5.pcm";"6";"10";"60";"10";"16.666666666666668";"2";"40.0";"0";"false";"0"
"1982_83_Philadelphia_Flyers_season_0.pcm";"2";"1";"2";"1";"50.0";"1";"100.0";"0";"false";"0"
"1982_European_Athletics_Indoor_Championships_0.pcm";"7";"12";"84";"0";"0.0";"3";"50.0";"0";"false";"0"
"1982_Amateur_World_Series_0.pcm";"5";"10";"50";"0";"0.0";"4";"100.0";"3";"true";"0"
"1982_83_Newport_County_A.F.C._season_5.pcm";"10";"24";"240";"0";"0.0";"9";"100.0";"7";"true";"0"
"1982_CARIFTA_Games_2.pcm";"7";"10";"70";"0";"0.0";"3";"50.0";"0";"false";"0"
"1982_European_Athletics_Championships___Women_s_800_metres_2.pcm";"5";"8";"40";"4";"10.0";"3";"75.0";"0";"false";"0"
"1982_83_Polska_Liga_Hokejowa_season_0.pcm";"8";"10";"80";"0";"0.0";"7";"100.0";"5";"true";"0"
