"Name";"Feature ";"Products ";"Cells";"Empty Cells";"Ratio EmCell";"Nombre de Features Homogenes";"Ratio de Features Homogenes";"Nombre de Features Homogenes Numeriques";"Product Chartable";"Testing Score"
"1981_Super_Bowl_of_Poker_0.pcm";"2";"3";"6";"0";"0.0";"1";"100.0";"0";"false";"0"
"1981_in_Swedish_football_6.pcm";"10";"14";"140";"0";"0.0";"9";"100.0";"7";"true";"0"
"1982_83_FA_Trophy_17.pcm";"4";"2";"8";"0";"0.0";"3";"100.0";"0";"false";"0"
"1982_83_Atlanta_Hawks_season_0.pcm";"6";"8";"48";"7";"14.583333333333334";"5";"100.0";"1";"false";"0"
"1981_World_Artistic_Gymnastics_Championships_14.pcm";"5";"8";"40";"0";"0.0";"3";"75.0";"3";"true";"0"
"1981_Trans_America_Athletic_Conference_Baseball_Tournament_1.pcm";"3";"11";"33";"0";"0.0";"2";"100.0";"0";"false";"0"
"1981_Sligo_Intermediate_Football_Championship_1.pcm";"7";"3";"21";"0";"0.0";"5";"83.33333333333333";"0";"false";"0"
"1982_83_Division_1_season__Swedish_ice_hockey__8.pcm";"9";"8";"72";"0";"0.0";"8";"100.0";"7";"true";"0"
"1981_in_marathon_running_3.pcm";"7";"50";"350";"50";"14.285714285714286";"6";"100.0";"1";"false";"0"
"1982_83_NHL_season_0.pcm";"2";"15";"30";"0";"0.0";"1";"100.0";"0";"false";"0"
"1982_83_Liga_Nacional_de_Hockey_Hielo_season_1.pcm";"8";"4";"32";"0";"0.0";"7";"100.0";"5";"true";"0"
"1982_83_FDGB-Pokal_6.pcm";"6";"1";"6";"0";"0.0";"5";"100.0";"1";"false";"0"
"1981_World_Sportscar_Championship_season_4.pcm";"9";"6";"54";"24";"44.44444444444444";"7";"87.5";"3";"true";"0"
"1982_83_La_Liga_4.pcm";"1";"1";"1";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_Super_Bowl_of_Poker_9.pcm";"3";"3";"9";"0";"0.0";"2";"100.0";"0";"false";"0"
"1982_83_Michigan_Wolverines_men_s_basketball_team_0.pcm";"6";"8";"48";"0";"0.0";"5";"100.0";"3";"true";"0"
"1982_83_FDGB-Pokal_0.pcm";"6";"2";"12";"0";"0.0";"5";"100.0";"0";"false";"0"
"1981_Women_s_Hockey_World_Cup_1.pcm";"9";"6";"54";"0";"0.0";"7";"87.5";"7";"true";"0"
"1982_83_Colchester_United_F.C._season_14.pcm";"2";"3";"6";"0";"0.0";"1";"100.0";"1";"false";"0"
"1981_in_athletics__track_and_field__20.pcm";"3";"5";"15";"0";"0.0";"2";"100.0";"1";"false";"0"
"1981_San_Francisco_49ers_season_1.pcm";"10";"4";"40";"0";"0.0";"9";"100.0";"1";"false";"0"
"1981_Tour_de_France_2.pcm";"4";"10";"40";"0";"0.0";"3";"100.0";"0";"false";"0"
"1982_83_Alpha_Ethniki_1.pcm";"1";"3";"3";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Calgary_Flames_season_5.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Israel_State_Cup_3.pcm";"3";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_Sligo_Intermediate_Football_Championship_0.pcm";"7";"4";"28";"0";"0.0";"6";"100.0";"0";"false";"0"
"1981_U.S._Open__golf__1.pcm";"10";"7";"70";"0";"0.0";"8";"88.88888888888889";"5";"true";"0"
"1982_83_Indiana_Pacers_season_0.pcm";"6";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_World_Rally_Championship_season_4.pcm";"1";"3";"3";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_FIRA_Trophy_1.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_Southeastern_Conference_Baseball_Tournament_0.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1982_83_Milwaukee_Bucks_season_1.pcm";"12";"16";"192";"176";"91.66666666666667";"11";"100.0";"0";"false";"0"
"1981_in_athletics__track_and_field__27.pcm";"3";"5";"15";"0";"0.0";"2";"100.0";"0";"false";"0"
