"Name";"Feature ";"Products ";"Cells";"Empty Cells";"Ratio EmCell";"Nombre de Features Homogenes";"Ratio de Features Homogenes";"Nombre de Features Homogenes Numeriques";"Product Chartable";"Testing Score"
"1981_Copa_Libertadores_Finals_3.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_NCAA_Men_s_Basketball_All-Americans_0.pcm";"4";"5";"20";"0";"0.0";"3";"100.0";"0";"false";"0"
"1981_Campeonato_Argentino_de_Rugby_7.pcm";"6";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_European_Cup_Winners__Cup_Final_0.pcm";"9";"4";"36";"0";"0.0";"8";"100.0";"0";"false";"0"
"1981_French_Grand_Prix_0.pcm";"8";"29";"232";"8";"3.4482758620689653";"2";"28.571428571428573";"0";"false";"0"
"1981_Metro_Manila_Film_Festival_0.pcm";"4";"10";"40";"0";"0.0";"3";"100.0";"0";"false";"0"
"1981_Japanese_Regional_Leagues_0.pcm";"2";"9";"18";"0";"0.0";"1";"100.0";"0";"false";"0"
"1981_Canadian_Grand_Prix_2.pcm";"3";"5";"15";"0";"0.0";"2";"100.0";"1";"false";"0"
"1981_North_American_Soccer_League_season_4.pcm";"6";"5";"30";"0";"0.0";"5";"100.0";"5";"true";"0"
"1981_James_Hardie_1000_1.pcm";"9";"65";"585";"63";"10.76923076923077";"6";"75.0";"2";"true";"0"
"1981_Oakland_Athletics_season_6.pcm";"7";"18";"126";"0";"0.0";"6";"100.0";"5";"true";"0"
"1981_FIBA_Africa_Championship_for_Women_1.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_Campeonato_Brasileiro_S_rie_A_9.pcm";"5";"9";"45";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_FIBA_Africa_Championship_for_Women_0.pcm";"2";"1";"2";"0";"0.0";"1";"100.0";"0";"false";"0"
"1981_Pacific_Conference_Games_1.pcm";"7";"15";"105";"0";"0.0";"3";"50.0";"0";"false";"0"
"1981_Copa_Libertadores_1.pcm";"9";"4";"36";"0";"0.0";"8";"100.0";"7";"true";"0"
"1981_Intercontinental_Cup_1.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_British_League_season_0.pcm";"6";"16";"96";"0";"0.0";"5";"100.0";"5";"true";"0"
"1981_Big_Ten_Conference_Baseball_Tournament_1.pcm";"3";"11";"33";"0";"0.0";"2";"100.0";"0";"false";"0"
"1981_Chilean_telethon_0.pcm";"3";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_Daytona_500_0.pcm";"6";"10";"60";"0";"0.0";"5";"100.0";"3";"true";"0"
"1981_Challenge_Cup_2.pcm";"5";"4";"20";"0";"0.0";"4";"100.0";"0";"false";"0"
"1981_Copa_Libertadores_6.pcm";"9";"4";"36";"0";"0.0";"8";"100.0";"7";"true";"0"
"1981_Philadelphia_Eagles_season_22.pcm";"6";"2";"12";"0";"0.0";"5";"100.0";"5";"true";"0"
"1981_CONCACAF_Championship_2.pcm";"1";"1";"1";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_Philadelphia_Phillies_season_1.pcm";"1";"0";"0";"0";"0.0";"0";"0.0";"0";"false";"0"
"1981_Men_s_South_American_Volleyball_Championship_0.pcm";"2";"6";"12";"3";"25.0";"0";"0.0";"0";"false";"0"
