"","Editing style","Native operating systems","Latest stable version","Costs","License","Configurable","Integrated viewer","Inverse search","DDE support","Organises Projects","Menu for inserting symbols","Document comparison","Spell-checking","Multiple undo-redo","Collapsible sections","Find and replace using RegEx","Intelligent error handling","Autocompletion of LaTeX commands","Parenthesis matching","Starts up to previous state","Unicode support","RTL Support",""
"Texmaker","Source","L, M, W","4.3 (2014-08-01)","Free","GPL2","Yes","Yes","Yes","No","Partial (master file)","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Texmaker Home"
"TeXnicCenter","Source","W","2.02 Stable (September 29, 2013)","Free","GPL","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","since v2.0","since v2.0","Yes","Yes","Yes","Yes","since v2.0","?","TeXnicCenter"
"Texpad Home","Source","M, iOS","1.6.12","Non-free","Proprietary","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Texpad"
"TeXShop","Source","M","3.36.2 (2014-06-06)","Free","GPL","Yes","Yes (InstantPreview with Flashmode)","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","TeXShop"
"TeXstudio","Source","L, W, M","2.8.6 (2014-10-26)","Free","GPL2","Yes","Yes (pdf, selection with dvi2png)","Yes","Yes","Partial (master file)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","TeXstudio Home"
"TeXworks","Source","L, M, W","0.4","Free","GPL","No","Yes (pdf)","Yes","No","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","TeXworks"
"TeXpen","Source","L, M, W","0.6.4","Free","GPL","Yes","Yes (pdf since 0.7)","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","TeXpen"
"RTextDoc","Source","M, iOS, W, L (Java enabled)","1.9 (2013-11-19)","Free","Proprietary","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","RTextDoc"
"Verbosus","Source","B, A, iOS","3.8.7(2014-04-01)","Free","Non-free","Yes","Yes (pdf)","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","?","Verbosus"
"Vim with plugin vim-latexsuite","Source","L, M, W","7.4(2013-08-10)","Free","Free","Yes","No","Yes","?","Partial (master file and Makefile)","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","No","Vim"
"WinEdt Home","Source","W","9.0 (2014-08-15)","cost","Proprietary","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes (modified)","Yes","Yes","Yes","Yes","Yes","?","WinEdt"
"Winefish","Source","L","1.3.3","Free","GPL","Yes","No","No","N/A","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","?","Winefish"
"WinShell","Source","W","3.3.2.6","Free","Proprietary","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No (just same files)","Yes","?","WinShell"
"writeLaTeX Home","Source / partial-WYSIWYG","B","N/A","Free","Proprietary","Yes","Yes","No","N/A","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","?","writeLaTeX Home"
"","Editing Style","Native Operating Systems","Latest stable version","Costs","License","Configurable","Integrated viewer","Inverse search","DDE Support","Organises Projects","Menu for inserting symbols","Document comparison","Spell-checking","Multiple undo-redo","Collapsible sections","Find and replace using RegEx","Intelligent error handling","Autocompletion of LaTeX commands","Parenthesis matching","Starts up to previous state","Unicode support","RTL Support","/!\ This cell is not defined /!\"
