"Maker","Model","Intro year","Screen size (inch)","Self-lit","Screen type","Weight","Screen pixels","Touch screen","Button for Page-turn","Wireless network","Text-to-speech","Folders","Internal storage","microSDHC","Web browser","Library DRM compatible","USB peripherals"
"Amazon.com","Kindle Paperwhite 3G (2nd generation)","2013","","Yes","eInk Carta","215†g (7.6†oz)","758 √ó 1024","2-Point","No","Wi-Fi,CDMA, GSM","No","Yes","2 GB(1.25 GB)","No","Yes","US only","No"
"Amazon.com","Kindle Paperwhite Wi-Fi (2nd generation)","2013","6","Yes","eInk Carta","206†g (7.3†oz)","758 √ó 1024","2-Point","No","Wi-Fi","No","Yes","2 GB(1.25 GB)","No","Yes","US only","No"
"Amazon.com","Kindle (5th generation)","2012","6","No","eInk Pearl","170†g (5.98†oz)","600 √ó 800","No","dedicated, both sides","Wi-Fi","No","Yes","2 GB(1.25 GB)","No","Yes","US only","No"
"Barnes & Noble","Nook GlowLight","2013","6","Yes","eInk Pearl","175†g (6.2†oz)","758 √ó 1024","Yes","Yes","Wi-Fi","Yes","Yes","4 GB(2.5 GB usable)(512 MB for user content)","Yes","Yes","Yes","Yes"
"Bookeen","Cybook Odyssey HD FrontLight","2012","6","Yes","eInk Pearl + HSIS","212†g (7.5†oz)","758 √ó 1024","Yes","dedicated","Wi-Fi (n)","No","Yes","2 GB","Yes","Yes","Yes","No"
"Bookeen","Cybook Odyssey","2013","6","No","eInk Pearl + HSIS","180†g (6.35†oz)","600 √ó 800","Yes","Unknown","Wi-Fi (n)","No","Yes","2 GB","Yes","Yes","Yes","No"
"Bookeen","Cybook Orizon","2010","6","No","SiPix","245†g (8.6†oz)","600 √ó 800","Yes","Yes","Wi-Fi (n),Bluetooth 2.1+EDR","No","Yes","2 GB","Yes","Yes","Yes","No"
"Deutsche Telekom","tolino shine","2013","6","Yes","eInk Pearl","183†g (6.5†oz)","758 √ó 1024","Yes","No","Wi-Fi","No","Yes","4 GB (2 GB)","Yes","Yes","Yes","No"
"Deutsche Telekom","tolino vision","2014","6","Yes","eInk Carta","178†g","758 √ó 1024","Yes","No","Wi-Fi","No","Yes","2 GB","Yes","Yes","Yes","No"
"bq","Movistar ebook","2011","6","No","AUO + SiPix","244†g (8.6†oz)","600 √ó 800","Yes","Unknown","Wi-Fi","'''''style=""background: #E4E4E4;| black;| middle;| center; ""|Unknown","'''''style=""background: #E4E4E4;| black;| middle;| center; ""|Unknown","2 GB","up to16 GB","Yes","Yes","No"
"Various private labels","Generic 6"" touchscreen","varies","6","No","eInk","240†g (8.5†oz)","600 √ó 800","Yes","Unknown","Wi-Fi","Yes*","Yes","2 GB","SDHC","Yes","Unknown","No"
