"Tracker","Programming Language","License","Operating System Support","Description"
"MLDonkey","OCaml","GPL","Windows, OS X, Unix-like, Morph OS","Has a built-in tracker and announcement service"
"MonoTorrent","C#","MIT","Windows, Mac OS, Unix-like","Uses Mono for cross-platform support (.NET)"
"Opentracker","C","Beerware","Unix-like (source code only)","Uses libowfat, performs well even on embedded hardware. Only requirement is a POSIX compliant OS."
"PeerTracker","PHP","GPL","Web application","Extremely lightweight and efficient BitTorrent tracker. Supports SQLite3, MySQL and soon PostgreSQL for storage."
"μTorrent","C++","Freeware","Windows, OS X, Linux, Android","Does not have a list of hosted torrents."
"qBittorrent","C++","GPL","Windows, OS X, Unix-like, OS/2","Lightweight. Supports DHT, PEX, announcements via UDP. Does not have a web interface or list of hosted torrents; it is not designed for secure or large-scale application."
"Vuze","Java","Disputed","Windows, Mac OS, Linux","Vuze (formerly Azureus) has a built in tracker."
"XBT Tracker","C++","GPL","Windows, Linux","Uses MySQL for data storage, lightweight tracker"
