"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","API support","API support","API support","Memory bandwidth 
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Pixel 
pipelines","Shader model
(vertex/pixel)","DirectX","OpenGL","OpenCL","Memory bandwidth 
(GB/s)","DVMT 
(MB)","MPEG-2","VC-1","AVC"
"GMA 3100","2007","Desktop","G31","Bearlake","29C2
29C3","400","4","3.0 (SW) / 2.0","9.0c","1.4 on Windows
2.1 on Linux","No","12.8","256","MC","No","No"
"GMA 3100","2007","Desktop","G33","Bearlake","29C2
29C3","400","4","3.0 (SW) / 2.0","9.0c","1.4 on Windows
2.1 on Linux","No","12.8 (DDR2)
17 (DDR3)","256","Full","No","No"
"GMA 3150","2010","Nettop","Atom D4xx
Atom D5xx","Pineview","A001
A002","400","2","3.0 (SW) / 2.0","9.0c","1.5 on Windows
2.1 on Linux","No","6.4","384","Full","No","No"
"GMA 3150","2010","Netbook","Atom N4xx
Atom N5xx","Pineview","A011
A012","200","2","3.0 (SW) / 2.0","9.0c","1.5 on Windows
2.1 on Linux","No","5.3","384","Full","No","No"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Execution 
units","Shader model
(vertex/pixel)","API support","API support","API support","Memory bandwidth 
(GB/s)","DVMT 
(MB)","Hardware acceleration","Hardware acceleration","Hardware acceleration"
"Graphics","Launch","Market","Chipset","Code name","Device id.","Core render
clock (MHz)","Execution 
units","Shader model
(vertex/pixel)","DirectX","OpenGL","OpenCL","Memory bandwidth 
(GB/s)","DVMT 
(MB)","MPEG-2","VC-1","AVC"
"GMA 3000","2006","Desktop","946GZ","Lakeport","2972
2973","667","8","3.0 (SW) / 2.0","9.0c /9_3","1.5 on Windows
2.1 on Linux","","10.6","256","MC","No","No"
"GMA 3000","2006","Desktop","Q963","Broadwater","2992
2993","667","8","3.0 (SW) / 2.0","9.0c /9_3","1.5 on Windows
2.1 on Linux","","10.6","256","MC","No","No"
"GMA 3000","2006","Desktop","Q965","Broadwater","2992
2993","667","8","3.0 (SW) / 2.0","9.0c /9_3","1.5 on Windows
2.1 on Linux","","12.8","256","MC","No","No"
"GMA X3000","2006","Desktop","G965","Broadwater","29A2
29A3","667","8","3.0","9.0c /9_3","1.5 on Windows
2.1 on Linux","","12.8","384","Full","MC + (LF −
WMV9 only)","No"
