"Project","License","Date","Version","Protocol","Technology","Server25px|Server","Client25px|Client","Web Client","Multiple Sessions","Encryption25px|Native encryption","Authentication25px|Authentication","Data Compression","Image Quality","Color Quality","File Transfer","Clipboard Transfer","Chat","Relay","HTTP Tunnel","Proxy"
"2X Software","Proprietary","June 24, 2006","?","Proprietary","RDP","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","✓","X","X","✓","✓"
"AJAX Remote Desktop Viewer (AjaxRd)","Proprietary","June 24, 2006","?","Proprietary","socket","✓","X","✓","✓","X","X","X","X","X","X","X","X","X","X","X"
"Dayon!","GPL","January 3, 2009","1.2","Proprietary","socket","✓","✓","X","X","X","X","✓","✓","✓","X","X","X","X","X","X"
"Goto Servers VNC Java server (GSVNCJ)","Proprietary","February 17, 2008","1.2","RDP, RFB(VNC)","socket","✓","X","X","X","DES","✓","X","✓","✓","X","X","X","X","X","X"
"Java Remote Control","MIT","November 14, 2007","2.1b","Proprietary","socket","✓","✓","X","X","X","✓","✓","X","X","X","X","X","✓","✓","✓"
"Java Remote Desktop (jrdesktop)","GPL","September 16, 2009","0.3.1","Proprietary","RMI","✓","✓","✓","✓","SSL","✓","X","✓","✓","✓","✓","X","X","X","✓"
"Jxta Remote Desktop","Apache License","February 15, 2005","2.3.6","Proprietary","socket","✓","✓","X","✓","X","✓","X","✓","X","✓","X","✓","✓","✓","✓"
"J Remote Desktop","GPL","May 25, 2006","1.0","Proprietary","RMI","✓","✓","X","X","X","✓","X","X","X","X","X","X","X","X","X"
"N-central","Commercial","May 2011","8.0","SSH, UDP, HTTP","Socket","✓","✓","✓","✓","✓","✓","X","✓","✓","✓","X","✓","✓","✓","✓"
"properJavaRDP","GPL","May 15, 2007","1.1","RDP","socket","X","✓","X","X","RC4","✓","X","X","✓","X","✓","X","X","X","X"
"webRDP","Proprietary","June 17, 2010","1.0","RDP","socket","HTML5 gateway","✓","✓","✓","RC4/SSL","✓","✓","✓","✓","X","✓","X","✓","✓","✓"
"HOBLink JWT","Proprietary","February 6, 2010","3.3","RDP","socket","X","✓","✓","✓","SSL","✓","✓","✓","✓","✓","✓","X","✓","✓","✓"
"Robo","GPL","November 21, 2002","0.1","Proprietary","socket","✓","✓","✓","✓","SSL","✓","✓","X","✓","X","X","X","X","✓","X"
"VNC Viewer","Proprietary","2004","4.1","RFB(VNC)","socket","X","✓","X","✓","X","✓","X","✓","✓","X","✓","X","X","X","X"
"Vedivi VPN","Proprietary","2008","2.0","Proprietary","socket","✓","✓","✓","✓","SSL","✓","✓","✓","✓","✓","✓","X","✓","✓","✓"
"WiFiCheema","Proprietary","2010","3.5","Proprietary","socket","✓","✓","✓","✓","SSL","✓","✓","✓","✓","X","X","✓","X","X","X"
"Project","License","Date","Version","Protocol","Technology","Server","Client","Web Client","Multiple Sessions","Encryption25px|Native encryption","Authentication","Data Compression","Image Quality","Color Quality","File Transfer","Clipboard Transfer","Chat","Relay","HTTP Tunnel","Proxy"
