"Manufacturer","Part number","hardware revision","firmware release","Number of 10/100/1000 RJ45 ports","Number of SFP/LC ports","CPU/ASIC type / MHz","builtin flash ROM size","RAM size","Forwarding rate","Number of MAC addresses in address table","Number of dynamic entries in ARP table","Number of entries in ND table","Number of concurrent IEEE 802.1Q VLANs","Number of routing table entries","STP","RSTP","MSTP","IPv4 management","IPv6 management","DHCP snooping","DHCPv6 snooping","ARP snooping","ND snooping","static IPv4 routing","static IPv6 routing","IGMPv1","IGMPv2","IGMPv3","IGMPv1 querier","IGMPv2 querier","IGMPv3 querier","IGMPv1 snooping","IGMPv2 snooping","IGMPv3 snooping","Multicast Listener Discovery v1","Multicast Listener Discovery v2","MLD snooping v1","MLD snooping v2","SNMP v1","SNMP v2c","SNMP v3","LLDP","LLDP-MED","sFlow","IPv4 ACL inbound","IPv4 ACL outbound","IPv6 ACL inbound","IPv6 ACL outbound","full CLI management","serial/USB management port"
"Cisco","SG300-28","HW VID=02","1.3.0","24","4","Unknown","Unknown","Unknown","56 Gbit/s","16000","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes"
"D-Link","DGS-1210-28","B1","3.10","24","4","Unknown","Unknown","Unknown","56 Gbit/s","16000","Unknown","Unknown","256","Unknown","Yes","Yes","No","Yes","Yes","Yes","Unknown","Yes","Unknown","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No"
"HP","1810-24","V2","1.9","24","2","Unknown","8 MB","128 MB","52 Gbit/s","8000","Unknown","Unknown","64","Unknown","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","Unknown","No","No","No","No","No","No","No"
"SMC","SSMCGS26P","Unknown","Unknown","24","2","Unknown","16 MB","Unknown","52 Gbit/s","8000","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No","Yes","Yes","Yes","No","Unknown","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No"
"TP-Link","TL-SG3424","V1","1.10.1","24","4 (shared)","Unknown","Unknown","Unknown","48 Gbit/s","8000","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","Yes"
"Zyxel","GS1910-24","Unknown","V2.00(AAAX.0)C0","24","4 (shared)","Vitesse VSC7427 Rev. C","Unknown","Unknown","48 Gbit/s","8000","Unknown","Unknown","4000","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes"
