"Camera model","Camera line","Manufacturer","Introduced","Weight","MOS/Sync","Noise Level"
"Eyemo 71K","Eyemo","Bell and Howell","1925","11쟫b (5.0쟪g)","MOS","N/A"
"Arriflex 35-2C","Arriflex 35-II","Arri","1964","13.5쟫b (6.1쟪g), with empty magazine","MOS","N/A"
"Arriflex 35BL-1","Arriflex 35BL","Arri","1972","28.5쟫b (12.9쟪g), with empty magazine","Sync","26 dB"
"Panaflex-X","Panaflex","Panavision","1974","20.5쟫b (9.3쟪g)","Sync","<24 dB"
"Arriflex 35BL-2","Arriflex 35BL","Arri","1975","28.5쟫b (12.9쟪g), with empty magazine","Sync","26 dB"
"Panaflex Gold II","Panaflex","Panavision","1976","24.4쟫b (11.1쟪g), with short eyepiece","Sync","<24 dB"
"Arriflex 35BL-3","Arriflex 35BL","Arri","1980","28.7쟫b (13.0쟪g), with empty magazine","Sync","22 dB"
"Arriflex 35-3C","Arriflex 35-III","Arri","1982","8.8쟫b (4.0쟪g);   13.5쟫b (6.1쟪g), with empty magazine","MOS","N/A"
"Moviecam SuperAmerica","Moviecam SuperAmerica","Moviecam","1984","29쟫b (13쟪g)","Sync","20 dB"
"Arriflex 35BL-4","Arriflex 35BL","Arri","1986","30.9쟫b (14.0쟪g), with empty magazine","Sync","22 dB"
"Panaflex Platinum","Panaflex","Panavision","1986","24쟫b (11쟪g)","Sync","<22 dB"
"Panaflex Panastar II","Panaflex Panastar","Panavision","1987","24.4쟫b (11.1쟪g)","MOS","N/A"
"Arriflex 35BL-4s","Arriflex 35BL","Arri","1988","31.9쟫b (14.5쟪g), with empty magazine","Sync","20 dB"
"Arriflex 535","Arriflex 535","Arri","1990","21.6쟫b (9.8쟪g), body only; 29.4쟫b (13.3쟪g), with finder; 36.4쟫b (16.5쟪g), with finder and empty magazine","Sync","19 dB"
"Moviecam Compact","Moviecam Compact","Moviecam","1990","13.6쟫b (6.2쟪g)","Sync","<20 dB"
"Arriflex 535B","Arriflex 535","Arri","1992","26쟫b (12쟪g), with empty magazine","Sync","19 dB"
"Arriflex 435","Arriflex 435","Arri","1995","14.3쟫b (6.5쟪g), without magazine","MOS","N/A"
"Arriflex 435ES","Arriflex 435","Arri","1995","14.3쟫b (6.5쟪g), without magazine","MOS","N/A"
"Moviecam SL","Moviecam SL","Moviecam","1995","8.25쟫b (3.74쟪g)","Sync","25 dB"
"Aaton 35-III","Aaton 35","Aaton","1997","16쟫b (7.3쟪g), with full magazine and onboard battery","Sync","30 dB (4 perf), 26 dB (3 perf)"
"Panaflex Millennium","Panaflex Millennium","Panavision","1997","17.5쟫b (7.9쟪g)","Sync","<19 dB"
"Panaflex Millennium XL","Panaflex Millennium","Panavision","1999","11.8쟫b (5.4쟪g)","Sync","<23 dB"
"Arricam LT","Arricam","Arri","2000","8.7쟫b (3.9쟪g), body only; 11.56쟫b (5.24쟪g), with finder","Sync","<24 dB"
"Arricam ST","Arricam","Arri","2000","11.9쟫b (5.4쟪g), body only; 17.95쟫b (8.14쟪g), with finder","Sync","<20 dB"
"Arriflex 435 Advanced","Arriflex 435","Arri","2001","14.3쟫b (6.5쟪g), without magazine","MOS","N/A"
"Aaton 35-3P","Aaton 35","Aaton","2002","16쟫b (7.3쟪g), with full magazine and onboard battery","Sync","30 dB (4 perf), 24 dB (3 perf)"
"Arriflex 235","Arriflex 235","Arri","2004","7.7쟫b (3.5쟪g), with viewfinder","MOS","N/A"
"Arriflex 435 Xtreme","Arriflex 435","Arri","2004","14.3쟫b (6.5쟪g), without magazine","MOS","N/A"
"Aaton Penelope","Aaton Penelope","Aaton","2008","17쟫b (7.7쟪g), with full magazine and onboard battery","Sync","23 dB (3 perf), 22 dB (2 perf)"
"Camera model","Lens mount","Super 35?","Aperture size","Aperture plate","Lens interface","Ground glass","Frameline glow?"
"Eyemo 71K","Eyemo mount, many conversions","No, but conversions exist","Full frame","fixed","none","interchangeable","No"
"Arriflex 35-2C","Arri standard and Arri bayonet","No, but conversions exist","Academy ratio","fixed","none","interchangeable","No"
"Arriflex 35BL-1","Arri bayonet","No","Academy ratio, custom sizes exist","removable","none","interchangeable","No"
"Panaflex-X","PV mount;","Yes","Full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Arriflex 35BL-2","Arri bayonet","No","Academy ratio, custom sizes exist","removable","none","interchangeable","No"
"Panaflex Gold II","PV mount","Yes","Full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Arriflex 35BL-3","Arri PL or BNCR mount","No","Academy ratio, custom sizes exist","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","No"
"Arriflex 35-3C","Arri PL","No","Academy ratio","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","No"
"Moviecam SuperAmerica","Arri PL and BNCR mount","Yes","full range available","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 35BL-4","Arri PL","Yes","Academy ratio, custom sizes exist","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Panaflex Platinum","PV mount","Yes","Full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Panaflex Panastar II","PV mount","Yes","Full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Arriflex 35BL-4s","Arri PL","Yes","Academy ratio, custom sizes exist","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 535","Arri PL","Yes","full range available","removable; interchangeable format masks and filter holders","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Moviecam Compact","Arri PL and BNCR mount","Yes","full range available","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 535B","Arri PL","Yes","full range available","removable; interchangeable format masks and filter holders","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 435","Arri PL, PV mount","Yes","full range available","removable; interchangeable format masks and filter holders","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Arriflex 435ES","Arri PL, PV mount","Yes","full range available","removable; interchangeable format masks and filter holders","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Moviecam SL","Arri PL","Yes","full range available","removable","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Aaton 35-III","Arri PL, PV mount, or Nikon","Yes","full frame","fixed","none, but Lens Data Archive (LDA) can be used","interchangeable","Yes"
"Panaflex Millennium","PV mount","Yes","full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Panaflex Millennium XL","PV mount","Yes","full frame","removable; interchangeable format masks","none","interchangeable","Yes"
"Arricam LT","Arri PL","Yes","full frame","removable; interchangeable format masks and filter holders","Lens Data System (LDS) contacts; integrated Lens Data Box (LDB)","interchangeable","Yes"
"Arricam ST","Arri PL","Yes","full frame","removable; interchangeable format masks and filter holders","Lens Data System (LDS) contacts; integrated Lens Data Box (LDB)","interchangeable","Yes"
"Arriflex 435 Advanced","Arri PL, PV mount","Yes","full frame","removable; interchangeable format masks and filter holders","Lens Data System (LDS) contacts; usable with FEM-2 unit","interchangeable","Yes"
