"Site","Specialization","Is a tracker","Directory","Public","RSS","One-click download","Sortable","Comments","Multi-tracker index","DHT search","Alexa Traffic Rank"
"KickassTorrents","None","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","77"
"The Pirate Bay","None","No","Yes","Yes","Yes","Magnet only","Yes","Yes","No","No","91"
"Torrentz","None","No","No","Yes","Yes","No","Yes","Yes","Yes","No","163"
"extratorrent.com","None","?","Yes","Yes","Yes","No","VIP only","Yes","?","?","324"
"EZTV","Television","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","957"
"Nyaa Torrents","Anime","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","1,146"
"iptorrents.com","None","Yes","Yes","No","?","Yes","Yes","Yes","No","?","2,406"
"BitSnoop","None","No","Yes","Yes","No","No","Yes","Yes","Yes","?","2,554"
"1337x.org","None","No","Yes","Yes","No","No","No","Yes","Yes","No","3,087"
"torrentreactor.net","None","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","5,801"
"TorrentLeech.org","Scene Releases","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","6,117"
"Torlock","Verified Torrents","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","8,044"
"Torrentproject","None","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","11,789"
"yourBittorrent","None","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","12,312"
"AsiaTorrents","Asian Media","Yes","Yes","No","Yes","No","Yes","Yes","No","No","13,291"
"BTDigg","None","No","No","Yes","No","Yes","Yes","No","No","Yes","13,550"
"fenopy.se","None","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","15,006"
"what.cd","Albums","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","17,652"
"broadcasthe.net","?","?","?","No","?","?","?","?","?","?","21,098"
"revolutiontt.me","?","?","?","No","?","?","?","?","?","?","25,016"
"Mininova","Legally redistributable media","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","25,835"
"BT-Chat.com","Verified Groups","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","28,645"
"TorrentTree.com","None","No","No","Yes","Yes","No","Yes","No","Yes","No","33,367"
"sceneaccess.eu","?","?","?","No","?","?","?","?","?","?","35,723"
"HDBits.org","?","?","?","No","?","?","?","?","?","?","39,755"
"Torrentus","All categories","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","39,509"
"fulldls.com","?","?","?","Yes","?","?","?","?","?","?","42,160"
"torrentportal.com","?","?","?","Yes","?","?","?","?","?","?","47,306"
"Bitme.org","?","?","?","No","?","?","?","?","?","?","48,602"
"TorrentSnap.com","None","No","No","Yes","Yes","No","Yes","No","Yes","No","59,618"
"myanonamouse.net","Books","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","56,054"
"AnimeSuki","Anime & otaku subculture","No","Yes","Yes","Yes","Yes","Only new torrents","No","No","No","67,046"
"Mamega.com","All categories","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","71,869"
"Tormovies","Films","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","82,586"
"YourExotic","Asian Porn","Yes","Yes","No","Yes","No","Yes","Yes","No","No","90,547"
"trancetraffic.com","?","?","?","No","?","?","?","?","?","?","142,782"
"thegft.org","?","?","?","No","?","?","?","?","?","?","148,829"
"bitmetv.org","?","?","?","No","?","?","?","?","?","?","208,912"
"etree","Live Concerts","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","240,570"
"blackcats-games.net","Video Games","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","243,156"
"AniRena","Japanese/Asian media","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","289,771"
"zoozle.org","?","?","?","Yes","?","?","?","?","?","?","369,030"
"coda.fm","Albums","?","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","460,550"
"OpenBitTorrent","None","Yes","No","Yes","No","No","No","No","No","No","489,946"
"Buhaypirata Networks (buhaypirata.net)","Mostly Philippine Media","Yes","Yes","Semi-public (Some torrents are private)","Yes","No","Yes","Yes","Yes (for ""external"" torrent source)","Yes (for ""external"" torrent source)","545,630"
"feedthe.net","?","?","?","No","?","?","?","?","?","?","835,467"
"MovieMagnet.net","Films","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","875,272"
"Legit Torrents","Legally free media","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","1,168,827"
"h33t.to","None","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?","2,337,107"
"Site","Specialization","Is a tracker","Directory","Public","RSS","One click download","Sortable","Comments","Multi-tracker index","DHT search","Alexa Traffic Rank"
