"Yes","Tablet-only","Beta","Limited","3rd party","No"
"Feature","iOS","Android","Firefox OS","Windows Phone","BlackBerry OS","Mer","Tizen","Sailfish OS","Ubuntu Touch"
"Company","Apple, Inc","Open Handset Alliance/Google","Mozilla Foundation","Microsoft","BlackBerry Ltd.","Linux Foundation","Linux Foundation, Tizen Association, Samsung, Intel","Sailfish Alliance, Jolla","Canonical Ltd. and Ubuntu community contributors"
"Market share","11.9%","84.6%","N/A","2.7%","0.6%","<0.1%","N/A","N/A","N/A"
"Current version","8.0.2","5.0","1.3.0","8.1.14147","10.2.1.3247","1.2.0.10","2.2","1.1.0.39 Uitukka","14.04"
"Current version release dates","September 25, 2014; 53 days ago","November 3, 2014; 14 days ago","March 17, 2014; 7 months ago","August 4, 2014; 3 months ago","June 25, 2014; 4 months ago","July 12, 2012; 2 years ago","November 9, 2013; 12 months ago","October 24, 2014; 24 days ago","April 17, 2014; 6 months ago"
"License","Proprietary EULA except for open source components","Free and open-source. Often bundled with proprietary apps","Free and open-source, mainly the MPL; Apache","Proprietary","Proprietary","Free and open-source","Free and open-source","Free and open-source","Free and open-source, mainly the GPL"
"OS family","Darwin","Linux","Linux","Windows NT 8+","QNX","Linux","Linux","Linux","Linux"
"Supported CPU architecture","ARM, ARM64","ARM, MIPS, x86","ARM, x86, x86_64","ARM","ARM","ARM, x86, MIPS, x86_64","ARM","ARM, x86, x64","ARM and x86"
"Programmed in","C, C++, Objective-C, Swift","C, C++, Java","HTML5, CSS, JavaScript, C++","7+: XNA (.NET C#), Silverlight, native C/C++ (only for vendors and partners)
8+: .NET C#, VB.NET, Silverlight, native C/C++, WinRTP (XMLA), DirectX","C/ C++: Native SDK, C++/Qt: Cascades SDK, HTML5/Javascript/CSS: Webworks SDK, ActionScript: Adobe AIR, Java: Android runtime","C++","C++","C++, QML","Apps: HTML5, QML
System: C, C++, QML"
"Public issues list","No","Yes","Yes","Yes","Yes","Yes","Yes","","Yes"
"Package manager","iTunes","APK","Firefox OS Packaged Apps","Zune Software (not since Windows 8)","BlackBerry Link","rpm+yum+zypper","RPM Package Manager","RPM Package Manager","Click packages and dpkg"
"Common API for smartphones, tablets, and PCs","No","Yes","No","8.1+","No","Yes","No","No","Yes"
"DRM-free","No FairPlay","No worse since Android 4.1 and Android 4.3 and more restrictions on Android 4.4","Yes","No and prevents content migration from major OS versions","No","Yes","Yes","Yes","Yes"
"Application groups","4+","Yes","No","8.1 Update+","Yes","Yes","?","?","?"
"File manager","3rd party software","3rd party software","3rd party software","8.1+","10+","3rd party software","3rd party software","3rd party software","Yes"
"File manager write access to external storage","No","No, Removed on Android 4.4 available on 3rd party software like CyanogenMod","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Fine grained storage usage","5+","Yes","Yes","8 GDR3+","10.2.1+","?","?","?","?"
"Per-application network data usage auditing","3rd party software","4+","Yes","8 GDR2+ Data Sense or Nokia Counters in 7.5+","No","?","?","?","?"
"Device independent system updates","No","No","No","Only for developers","No","No","No","No","Yes"
"Wireless system updates","5+","Yes","Yes","8+","Yes","Yes","No","Yes","Yes"
"Multi-user","No","4.2+","No","No","No","No","No","No","Tablet-only"
"Guest mode","6+","5+","No","8+","No","No","No","No","Tablet-only"
"Wireless anti-tracking","8+","3rd party software","No","No","No","No","No","?","?"
"Modifiable-per-application Internet access","No, 3rd party software","No, 3rd party software","No","No","Yes","No","No","?","?"
"Modifiable-per-application identity access","No","No, 3rd party software like PDroid or XPrivacy","No","No","Yes","No","No","?","?"
"Modifiable-per-application user data access","6+","No, App ops removed on 4.4.2, but 3rd party software available like PDroid, XPrivacy or CyanogenMod Privacy Guard","Yes","No","Yes","No","No","?","?"
"Modifiable-per-application background execution","No","No, 3rd party apps available","Yes","Yes","10.2.1+","No","No","?","Background execution not allowed"
"Modifiable-per-application notifications","5+","4.1+","Yes","8.1+","10+","No","No","?","Yes"
"Modifiable-per-application location access","4+","No, 3rd party software like PDroid or XPrivacy","Yes","No","Yes","No","No","?","User prompted on request"
"Modifiable-per-application camera access","8+","No, 3rd party software like PDroid or XPrivacy","Yes","No","Yes","No","No","?","In Progress"
"Modifiable-per-application microphone access","7+","No, 3rd party software like PDroid or XPrivacy","Yes","No","Yes","No","No","?","In Progress"
"Modifiable-per-application shared files access","No","No","Yes","No","Yes","No","No","?","Yes"
"Parental controls","Yes","4.3+ or 3rd party software","No","8+","7.1+","?","?","?","No"
"Remote device location tracking","Yes","Yes","No","Yes","Yes","?","?","?","?"
"Remote device locking and/or data wipe","Yes","2.2+","No","Yes","Yes","?","?","?","?"
