"Yaaic","?","?","?","Yes","?","?","?"
"zsIRC","Yes","No","No","Yes","Yes","No","No"
"Client","CTCP","DCC","IPv6","SSL","TLS","OCSP","CRL"
"Client","CHAT","Whiteboard","SEND","GET","RESUME","TSEND","SEND T","XMIT","Passive DCC","Server","RDCC","REVERSE","RSEND","Reverse / Firewall DCC","File servers (FSERVs)","XDCC"
"AndroidChat","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"AndChat","?","?","No","No","?","?","?","?","?","?","?","?","?","?","?","?"
"Mobile Colloquy","Yes","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"CoolIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","/!\ This cell is not defined /!\"
"Dump Chat","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"EbIRC","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"fIRC","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"IRC7","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"JedIrc","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"jmIrc","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"k-IRC","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"MtvIRC","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"PSPIRC","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"Relay IRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"upIRC","Yes","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"Virca","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"wIRC","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"WirelessIRC","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"WLIrc","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Yaaic","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"zsIRC","No","No","No","?","No","No","No","No","No","No","No","No","No","No","No","No"
"Client","CHAT","Whiteboard","SEND","GET","RESUME","TSEND","SEND T","XMIT","Passive DCC","Server","RDCC","REVERSE","RSEND","Reverse / Firewall DCC","File servers (FSERVs)","XDCC"
"Client","Multi-server","UTF-8","Proxy server","irc:// URI scheme","Automatic updates","Scripting language","Push notifications"
"AndroidChat","?","?","?","?","?","?","?"
"AndChat","Yes","Yes","?","?","Yes","?","?"
"Mobile Colloquy","Yes","Yes","No","Yes","Yes","No","Yes"
"CoolIRC","No","Yes","Yes","No","No","Yes","?"
"Dump Chat","Yes","Yes","No","No","Yes","No","No"
"EbIRC","?","Yes","?","?","?","?","?"
"fIRC","?","?","?","?","?","?","?"
"IRC7","Yes","Yes","No","No","Yes","Yes","?"
"JedIrc","No","Yes","Yes","No","No","Yes","?"
"jmIrc","No","Yes","Yes","No","No","Yes","?"
"k-IRC","No","No","No","No","No","No","?"
"MtvIRC","No","Yes","Yes","No","No","No","?"
"Palaver","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PSPIRC","No","Yes","No","No","No","Yes","?"
"Relay IRC","Yes","Yes","Yes","No","Yes","No","No"
"upIRC","No","No","No","No","No","Yes","?"
"Virca","?","Yes","?","?","No","?","?"
"wIRC","?","?","Yes","?","?","?","?"
"WirelessIRC","?","?","?","?","?","?","?"
"WLIrc","?","No","?","?","No","?","?"
"Yaaic","Yes","Yes","No","No","Yes","No","?"
"zsIRC","Yes","Yes","No","No","Yes","No","?"
"Client","Multi-server","UTF-8","Proxy server","irc:// URI scheme","Automatic updates","Scripting language","Push notifications"
