"Name","Version","Software license","Active","Type","Windows","Mac OS X","Linux","Textual editor?","Tree View editor?","Graphical editor?","WYSIWYG editors?","Syntax highlighting for (XML, XSD, XSL, XSLT, ...)","Tag Folding","Intellisense/
Autocompletion (using schema.xsd for text)","Full-
featured free trial period","Price for commercial version (exc. VAT)"
"Adobe FrameMaker","12.0 (2014)","Proprietary","Yes","Standalone","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","$999"
"Arbortext Editor","6.0","Proprietary","Yes","Standalone","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","£515.00"
"CAM: Content Assembly Mechanism","2014","Open Source","Yes","Standalone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","N/A","N/A"
"Doctored.js","2014","GNU GPL","Yes","Web-app","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"EditiX","2014","Proprietary","Yes","Standalone","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","$79"
"emacs/
nxml-mode","current","GNU GPL","?","Emacs mode","Yes","Yes","Yes","Yes","?","No","No","Yes","Yes","Yes","?","?"
"Essential XML Editor","1.6.4","Proprietary (old version open source)","Yes","Standalone","Yes","No","No","Yes","?","No","No","Yes","No","No","No","DTD validation only: free; plugin support for Relax NG and Schema: 8.40 Euro"
"FontoXML","2.1","Proprietary","Yes","Web-app","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","€249/$339 per named user"
"FOXE: Firstobject XML Editor","2011","Proprietary","?","Standalone","Yes","No","No","Yes","Limited","Yes","Yes","Yes","Yes","No","N/A","N/A"
"Jaxe","3.5 (2013)","GNU GPL","Yes","Standalone","Yes","Yes","Yes","No","Yes","Yes","No","No","?","No","N/A","N/A"
"Jedit XML Plugin","2.8.3 (2012)","GNU GPL","Yes","Plugin","Yes","Yes","Yes","Yes","?","No","No","Yes","Yes","?","?","?"
"jquery.xmleditor","2014","Free Browser-based","Yes","Standalone","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","N/A"
"Liquid XML Studio","12.0.3 (2014)","Proprietary","Yes","Standalone + Visual Studio Plugin","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Starts at US$99 + Educational Discounts"
