"Function","Year","Designer","Derived from","Reference"
"HAVAL","1992","Yuliang Zheng
Josef Pieprzyk
Jennifer Seberry","","Website"
"MD2","1989","Ronald Rivest","","RFC 1319"
"MD4","1990","Ronald Rivest","","RFC 1320"
"MD5","1992","Ronald Rivest","MD4
RFC 1321 page 1","RFC 1321"
"MD6","2008","Ronald Rivest","","md6_report.pdf"
"RIPEMD","1990","The RIPE Consortium","MD4",""
"RIPEMD-128
RIPEMD-256
RIPEMD-160
RIPEMD-320","1996","Hans Dobbertin
Antoon Bosselaers
Bart Preneel","RIPEMD","Website"
"Function","Digest 
size","Rounds","Best known attacks 
(complexity:rounds)","Best known attacks 
(complexity:rounds)","Best known attacks 
(complexity:rounds)"
"Function","Digest 
size","Rounds","Collision","Second
preimage","Preimage"
"RIPEMD","128","48","2","",""
"RIPEMD-160","160","80","","",""
"RIPEMD-160-Reduced","160","80","2:48","",""
"MD2","128","864","2","","2"
"MD4","128","48","3","2","2"
"MD5","128","64","2","","2"
"SHA-0","160","80","2","",""
"SHA-1","160","80","2","",""
"SHA-256","256","64","","",""
"SHA-256-Reduced","256","64","2:31","","2:42"
"SHA-512","512","80","","",""
"SHA-512-Reduced","512","80","2:24","","2:42"
"GOST","256","256","2","2","2"
"Tiger","192","24","2:19","","2"
