"Name","Operating system","User interface","Sector by sector","File by file","File by file","File by file","File by file","Hot transfer","Mount or extract","Operation model","Operation model","Operation model","Operation model","License"
"Name","Operating system","User interface","Sector by sector","Ext2, Ext3","FAT32","NTFS","HFS+","Hot transfer","Mount or extract","Standalone","Client–server","Live USB","Live CD","License"
"Acronis True Image","Windows","Graphical","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes (64 MB)","Yes","Shareware"
"Apple Software Restore","OS X","Command line","Yes","?","?","?","Yes","?","?","Yes","Yes","?","?","Part of Mac OS X"
"Clonezilla","Linux","Text-based","Yes","Yes","Yes","Yes","Yes","No","Through a hack","Yes","Yes (Clonezilla server edition)","Yes (108.2 MB)","Yes (109.1 MB)","GPL"
"dcfldd","Linux","Command line","Yes","No","No","No","No","No","No","Yes","No","?","?","GPL"
"dd (Unix)","Linux","Command line","Yes","No","No","No","No","No","No","Yes","No","?","?","GPL"
"Disk Utility","OS X","Graphical","Yes","?","?","?","Yes","Yes","Yes","Yes","No","Yes","Yes","Part of Mac OS X"
"EASIS Drive Cloning","Windows","Graphical","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","Shareware"
"FSArchiver","Linux","Text-based","No","Yes","No","Yes","?","?","?","Yes","No","?","?","GPL"
"Ghost v15","Windows","Graphical
Command line","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Shareware"
"Gparted Live Cd","Linux","Graphical","No","Yes","No","No","No","No","No","Yes","No","Yes","Yes","GPL"
"Image for Windows","Windows","Graphical","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Shareware"
"Kleo Bare Metal Backup","Independent (Live OS)","Graphical","Yes","Yes","Yes","Yes","Yes","No","?","Yes","Yes","Yes (570 MB)","Yes (570 MB)","Freeware"
"Macrium Reflect","Windows","Graphical","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?","?","Yes (6 MB)","Freemium"
"Mondo Rescue","Linux","Text-based","Yes","Yes","Yes","Yes","?","Yes","?","Yes","?","?","Yes *","GPL"
"ntfsclone","Linux","Command line","No","No","No","Yes","?","?","?","Yes","No","No","No","GPL"
"partimage","Linux","Text-based","No","Yes","Yes","Experimental","Beta","?","?","Yes","Yes","No","No","GPL"
"Partition-Saving","Linux Windows DOS","Text-based Command line","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Freeware"
"PING","Linux","Text-based","Yes","Yes","Yes","Experimental","?","No","?","Yes","Yes","?","Yes (31 MB)","GPL"
"Redo Backup and Recovery","Independent (Live OS)","Graphical","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Can access networked drives","Yes (225 MB)","Yes (225 MB)","GPL"
