"","Records keyboard","Records mouse","""Smart"" mouse recording (not just absolute coordinates)","Compiles to EXE-files","Built-in macro editor","Allows custom commands (like ""open file"", ""launch website"", ""shutdown"" etc.","Allows conditional statements and other control flow (""if"", ""goto"", ""repeat X times"")","Triggering macros with system events","OS","Freeware","License"
"AutoIt","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Windows","Yes","Freeware / Proprietary"
"AutoHotKey","No","No","No","Yes","No","Yes","Yes","Yes","Windows","Yes","GPL"
"Automation Anywhere","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Windows","No","Proprietary"
"Keyboard Maestro","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Mac OS X","No","Proprietary"
"Macro Express","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Windows","No","Proprietary"
"Workspace Macro Pro","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Windows","No","Proprietary"
"UBot Studio","No","No","No","Yes","Yes","Yes","Yes","Yes","Windows","No","Proprietary"
"Xnee","Yes","Yes","Yes","No","Yes","Yes","Yes","No","OSes with X11, like  Linux, etc.","Yes","GPL"
