"Name","Creator","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"Name","Creator","Cola","Lemonade","Citrus","Milk","Stimulant","US","Australia","UK","D/C*"
"3sum","United Brands Company","No","No","Yes","No","Yes","Yes","No","No","No"
"Country Coolers","Jack Daniels (Brown-Forman)","Yes","Yes","No","No","No","Yes","No","No","No"
"Four","Phusion Projects Inc.","No","Yes","Yes","No","Yes","Yes","No","Yes","No"
"Jeremiah Weed","Diageo","Yes","Yes","No","No","No","Yes","No","Yes","No"
"Joose","United Brands Company","No","No","Yes","No","Yes","Yes","No","Yes","No"
"Sparks","Miller Brewing","No","No","Yes","No","No","Yes","No","No","No"
"White Mountain Cooler","Stroh Brewery Company","No","No","Yes","No","No","Yes","No","No","No"
"Zima XXX","Coors Brewing Company","No","No","Yes","No","No","Yes","No","No","Yes"
"Tilt","Anheuser-Busch","No","No","Yes","No","No","Yes","No","No","No"
"Name","Creator","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"Name","Creator","Cola","Ginger Ale","Lemonade","Citrus","Milk","Stimulant","Apple Juice","US","Australia","UK","D/C*"
"Jack Daniels","Jack Daniels","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","/!\ This cell is not defined /!\"
"Jim Beam","Jim Beam","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","/!\ This cell is not defined /!\"
"Wild Turkey","Wild Turkey","Yes","Yes","No","No","No","No","No","Yes","Yes","No","/!\ This cell is not defined /!\"
"Name","Creator","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"Name","Creator","Cola","Ginger Ale","Lemonade","Citrus","Milk","Stimulant","US","Australia","UK","D/C*"
"Bacardi Breezer","Bacardi","No","No","No","Yes","No","No","No","Yes","Yes","No"
"Bacardi & X","Bacardi","Yes","No","No","No","No","No","No","Yes","Yes","No"
"Bundaberg & X","Bundaberg Rum","Yes","Yes","No","No","No","No","No","Yes","No","No"
"Jewel Isle Rum Punch","Jewel Isle Productions","No","No","No","Yes","No","No","No","No","Yes","No"
"Red Square","Halewood International","No","No","No","Yes","No","No","Yes","No","Yes","No"
"UDL","UDL","Yes","No","No","No","No","No","No","Yes","No","No"
"Name","Creator","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"Name","Creator","Cola","Ginger Ale","Lemonade","Citrus","Milk","Stimulant","US","Australia","UK","D/C*"
"Black Douglas","Black Douglas","Yes","Yes","No","No","No","No","No","Yes","No","No"
"Johnnie Walker","Johnnie Walker","Yes","Yes","No","No","No","No","No","Yes","No","No"
"UDL","UDL","Yes","No","No","No","No","No","No","Yes","No","No"
"Name","Creator","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"Name","Creator","Cola","Ginger Ale","Lemonade","Citrus","Milk","Stimulant","US","Australia","UK","D/C*"
"Hooper's Hooch","Bass Brewery","No","No","Yes","Yes","No","No","Yes","No","Yes","No"
"Kiss Mix","Kiss Mix Drinks Company","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No"
"Lemon Ruski","Stolichnaya","No","No","No","Yes","No","No","No","Yes","?","No"
"Mike's Hard Lemonade","Mike's Hard Lemonade Co","No","No","Yes","Yes","No","No","Yes","Yes","No","No"
"Pulse","Independent Distillers","No","No","Yes","No","No","Yes","No","Yes","?","No"
"Red Square","Halewood International","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No"
"Rev","Bacardi Canada Ltd.","Yes","No","No","No","No","Yes","No","No","No","No"
"Smirnoff Ice","Smirnoff","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"UDL","UDL","No","No","No","Yes","No","No","No","Yes","No","No"
"Vodka Cruiser","Independent Distillers","No","No","No","Yes","No","No","No","Yes","?","No"
"Vodka Kick","Global Brands","No","No","No","Yes","No","Yes","No","No","Yes","No"
"Vodka Mudshake","Independent Distillers","No","No","No","No","Yes","No","No","Yes","Yes","No"
"TVX","ICB Brands","No","No","No","Yes","No","No","No","No","Yes","No"
"Woody's","Beverage Brands","No","No","No","Yes","No","No","Yes","No","Yes","No"
"","Creator","Base","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"","Creator","Base","Cola","Ginger Ale","Lemonade","Citrus","Milk","Stimulant","US","Australia","UK","D/C*"
"Canadian Club","Canadian Club","Rye whiskey","Yes","Yes","No","No","No","No","Yes","Yes","?","No"
"Cult Shaker","Cult Energy","Cider","No","No","No","No","No","Yes","No","No","Yes","No"
"Gordons Gin and Tonic","Gordons","Gin","No","No","No","No","No","No","No","Yes","Yes","No"
"Metz","Bacardi","Schnapps","No","No","Yes","Yes","No","No","No","No","Yes","Yes"
"Red Square","Halewood International","Schnapps","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No"
"UDL","UDL","Ouzo","Yes","Yes","Yes","No","No","No","No","Yes","No","No"
