"Chart type / Framework","Chart type / Framework","Adobe Flex built-in charts","Axiis","BirdEye","Flare","Flexmonster","IBM ILOG Elixir","Kap IT Labs","yFiles","amCharts","AnyChart"
"Cost","Cost","Free","Free","Free","Free","Non-freecontact vendor for prices","Non-free £556 (for EULA),contact vendor for OEM","Free for non-commercial,€2'500 (VAT excluded) forfull 1-developer package","Non-freecontact vendor for prices","Free (with link to amCharts) link-free from €85}","Free (with link to AnyChart) Team license available}"
"License","License","MPL","MIT","MIT","BSD","Proprietary","Proprietary","Proprietary","Proprietary","Proprietary","Proprietary"
"Open source","Open source","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes"
"Bar/Column charts","Simple","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Bar/Column charts","Stacked","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes"
"Bar/Column charts","Floating (Range)","Yes","Yes","No","No","No","No","No","No","Yes","Yes"
"Bar/Column charts","Waterfall","Yes","Yes","No","No","No","No","No","No","Yes","Yes"
"Bar/Column charts","Layered","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes"
"Line charts","Simple","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Line charts","Spline (Curve)","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes"
"Line charts","Step","Yes","No","No","No","No","Yes","No","No","Yes","Yes"
"Pie charts","Simple","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Pie charts","Doughnut (Ring)","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"Pie charts","Exploded","Yes","No","No","No","No","Yes","Yes","No","No","Yes"
"Pie charts","Stacked","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes"
"Area charts","Simple","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes"
"Area charts","Spline (Curve)","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes"
"Area charts","Stacked","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes"
"Area charts","Floating (Range)","No","Yes","Yes","No","No","No","No","No","Yes","Yes"
"Area charts","Histogram (Step)","Yes","No","No","No","No","Yes","No","No","Yes","Yes"
"Scatter plot charts","Simple","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes"
"Scatter plot charts","Bubble","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes"
"Circular charts","Radar","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes"
"Circular charts","Polar","No","No","Yes","No","No","No","No","No","Yes","Yes"
"Accumulation charts","Pyramid","No","No","No","No","No","No","No","No","No","Yes"
"Accumulation charts","Funnel","No","No","No","No","No","No","No","No","No","Yes"
"Tree/Heat map charts","Tree map","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No"
"Tree/Heat map charts","Heat map","No","No","No","No","No","Yes","No","No","No","No"
"Finance charts","OHLC","Yes","No","No","No","No","No","No","No","Yes","No"
"Finance charts","Candlestick","Yes","No","No","No","No","No","No","No","Yes","No"
"Finance charts","Kagi","No","No","No","No","No","No","No","No","No","No"
"Gauge charts","Gauge charts","No","No","No","No","No","Yes","No","No","No","Yes"
"Cartogram charts","Cartogram charts","No","No","Yes","No","No","Yes","No","No","No","No"
"Gantt chart","Gantt chart","No","No","No","No","No","Yes","No","No","No","Yes"
"Dependency graphs","Dependency graphs","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No"
"Nomograms","Smith chart","No","Yes","No","No","No","No","No","No","No","No"
"Organizational chart","Organizational chart","No","No","No","No","No","Yes","Yes","Yes","No","No"
"Flow chart","Flow chart","No","No","No","No","No","Yes","Yes","Yes","No","No"
"Feature / Framework","Adobe Flex built-in charts","Axiis","BirdEye","Flare","Flexmonster","IBM ILOG Elixir","Kap IT Labs","yFiles","amCharts"
"3D charts","No","No","No","No","No","Yes","No","No","Yes"
"Rotate, zoom chart in 3D","No","No","No","No","No","Yes","No","No","No"
"Show-up & other animation effects","Yes","No","Partial(only for Dependency Graph)","Yes","Partial(only for Pie Chart)","Yes","No","Yes","Yes"
"Interactive legend","Via customization","No","No","No","No","Via customization","Yes","No","Yes"
"Show total values over the bars","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"String formater for labels","Yes","Yes","No","No","No","Yes","?","?","Yes"
"Ability to define custom color for each bar (chart item)","Yes","?","?","?","?","Yes","?","?","Yes"
"Combined charts","Yes","No","Yes","No","No","Yes","No","No","Yes"
"Multiple axis","Yes","No","No","No","No","No","No","No","Yes"
