"Name","Developer(s)","License","Platforms"
"PDF Studio","?","?","?","?","Yes","No","?","?","?","?","Yes","PDF"
"Personal Knowbase","tag","?","?","?","No","No","?","?","?","?","Yes","Export to RTF, HTML, TXT, CSV"
"Qiqqa","tag, brainstorm","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Proprietary, PDF, Brainstorm; export to RTF and Word"
"TiddlyWiki","tags (wikiwords)","?","Via plugin","Yes","Via plugin","No","?","?","?","Yes","Yes","HTML"
"Tomboy","?","Yes","?","Yes","No","No","No","No","Yes","Yes","Yes","NoteXmlFormat, HTML, PDF, wiki-formats"
"TreeDBNotes","tree","Yes","Yes","?","?","?","No","No","Yes","Yes","Yes","RTF, HTML, txt"
"TREE NOTE","Tree, hierarchy, tags, projects","?","No","No","No","No","No","No","?","?","No","Text, image; export/import via db files"
"WikidPad","tags (wikiwords)","?","No","No","No","No","No","No","?","?","Yes","HTML"
"Wiki on a Stick","title namespaces, tags (wikiwords)","?","?","No","No","No","?","?","?","Yes","Yes","HTML, wsif"
"Windows Journal","?","?","No","?","No","?","Yes","Yes","?","?","Yes","Proprietary"
"WizNote","Tree, tags","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Zip compatible archive containing html files; import: HTML,TXT and HTML convertible PDF, DOC, XLS, PPT; export: HTML, MHT, TXT, CHM"
"Xournal","?","No","No","No","Yes","No","Yes","No","No","No","Yes","XML; export to PDF"
"Zim","tags (wikiwords)","Yes","No","No","No","No","No","No","Yes","Yes","Yes, using installed web browser","Stored in modified DocuWiki markdown; export: HTML, LaTeX, Pandoc markdown, Sphinx RST (reStructuredText)"
"Name","Organizing principle(s)","Outline bulleting with indent","Tabbed sections","Sync","PDF annotate and save","Whiteboard","Ink-pen input","Handwriting recognition","Spell check","Search","Printing","File save/export/import formats"
"Name","Drawing atop text","Text box, flow diagram","Text and paragraph formatting","Insert hyperlink","Insert image","Insert table","Insert audio","Insert video","Insert SWF","Attachment","Other objects","Remarks / other features"
"AllMyNotes Organizer","?","?","Yes","Yes","Yes","Yes","No","No","No","Yes","Alarms, check-boxes, bullets, phones, advanced links",""
"BasKet Note Pads","?","?","Yes","Yes","Yes","No","No","No","No","Yes","tags (check boxes, etc.)","Adding, managing notes by category, autosave"
"Beyondpad","No","Partial","Yes","Yes","Partial","Partial","No","No","No","No","Numbers, stopwatches, countdowns, drop-downs, combo-boxes, checklists","Data driven note taking with templating, forms and tag based graph structuring mechanics"
"CherryTree","?","?","Yes","?","Yes","Yes","Yes","?","?","Yes","?","Syntax highlighting (programming languages); lists handling; cross-application copy/paste (LibreOffice, Gmail); codeboxes; password protection; tree nodes drag and drop"
"CintaNotes","No","No","Yes","Yes","No","No","No","No","No","No","Links to notes","Tagging and searching for tags, tag hierarchy"
"Circus Ponies NoteBook","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Alarms, check-boxes, address book links, keywords, numbering, priority, due date, formulas in tables","Tagging, automatic indexing, sketching, diagramming, voice annotated notes, screen clipping, link or embed files"
"DéjàClick","?","?","?","?","?","?","?","?","?","?","?","Annotate live web pages via DéjàNotes and share scripts"
"Org-mode (Emacs)","?","?","Yes","Yes","Yes","Yes","No","No","No","Yes","Advanced linking, bullets, tags, checkboxes, full spreadsheet, embedding of programming code, formulas, markup","Major mode of Emacs; uses plain-text; includes ToDos, spreadsheet, deadlines, encryption, reminders, agenda, calendar"
"Evernote","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Check-box, line, tags","Business and personal notes integrated in same client; businesses have control over business notes, but cannot see personal notes"
"Gnote","No","No","Yes","Yes","No","No","No","No","No","No","?","Port of Tomboy to C++; wiki-style linked notes"
"Google Keep","No","No","Yes","Yes","Yes","Partial","Yes","?","No","No","Google Calendar reminders",""
"Intellinote","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Tasks, questions, tags, projects, metrics","Includes task management and collaboration features"
"IPython Notebook","?","?","?","?","?","?","?","?","?","?","?","Part of IPython shell; allows for programming code, output and annotation to be combined in single interactive environment"
"Jarnal","Yes","?","Partial","Yes","Yes","No","No","No","No","No","PDF as image or background",""
"KeyNote NF","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","OLE objects; ""virtual nodes"" which integrate and edit the content of external plain-text or rich-text files; internal links; mirror nodes.","Text processing; tree numbering and sorting; custom tree icons; node checkboxes; checkbox filtering; search filtering; reminder alarms; compressed or encrypted notebooks; auto-minimize and/or auto-lock when idle; quick access key for fast notes; additional scratchpad; autosave of up to 9 previous file versions; automatic clipboard capturing; read-only notebooks or notes; macros; templates; text shortcuts; plug-ins; bookmarks; custom keyboard shortcuts; portable through ""Options"" setting"
"Marky","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Web pages, HTML","Obtaining data about annotations, as the annotation agreement between users, rounds, F-score; multicolor annotation"
"Memonic","?","?","?","?","?","?","?","?","?","?","?",""
"Microsoft OneNote","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","OLE, bullets, line, flags",""
"OpenNote","No","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","?","Full HTML"
"MyInfo","?","?","Yes","Yes","Yes","Yes","Yes","No","No","Yes","OLE, bullets, numbering, page breaks, advanced links","Tags; filters; calendar; reminders"
"MyNotex","?","?","Yes","Yes","Yes","?","?","?","?","Yes","?","Activity lists; tags; notes management by subject; encryption with AES or GPG; multilingual"
"Notational Velocity","?","?","?","?","?","?","?","?","?","?","?","Instant open and searching"
"notes notepad","?","?","?","?","?","?","?","?","?","?","?","Colored notebooks"
"Notizen .NET","?","?","Yes","?","Yes","?","?","?","?","?","?","Tree notes can stick on desktop; encryption; FTP upload"
"Okular","?","?","?","?","?","?","?","?","?","?","?",""
"Outline","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Tags",""
"PDF Studio","?","?","?","?","?","?","?","?","?","?","?",""
"Personal Knowbase","?","?","?","Yes","?","?","?","?","?","Yes","?","Passwords; portable"
"Qiqqa","Yes","Yes","No","Yes","Yes","No","No","No","No","No","PDF, brainstorm, citations",""
"TiddlyWiki","?","?","Yes","Yes","Yes","Yes","?","?","?","?","HTML, LaTeX, markdown plugins","Plugins; user scripts"
"Tomboy","Partial","No","Partial","Yes","No","No","No","No","No","No","Note Links, highlighting, fixed-width","Reminders; to do-lists; formulas in LaTeX"
"TreeDBNotes","?","?","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?",""
"TREE NOTE","?","?","?","?","?","?","?","?","?","?","?","Sketches via sketch tool; reminders"
"WikidPad","?","?","?","?","?","?","?","?","?","?","?","personal wiki software"
"Wiki on a Stick","?","?","Yes","Yes","Yes","Yes","?","?","?","?","HTML, plugins, macros","Plugins, macros, user scripts, per page AES256 encryption"
"Windows Journal","?","?","?","?","?","?","?","?","?","?","?",""
"WizNote","?","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","check-box, emoji, bookmark, screen capture, bullets, code block, OLE","Plugin support, markdown support, LaTeX support, group collaboration, various web service importers, HTML source editing, calendar, blog downloader, blog publisher, encrypted notebook, floating toolbox,"
"Xournal","Yes","No","Partial","No","Yes","No","No","No","No","No","PDF background",""
"Zim","No","No","Yes","Yes","Yes","No","No","No","No","Yes","LaTeX integration","sqlite3 indexes"
"Name","Drawing atop text","Text box, flow diagram","Text and paragraph formatting","Insert hyperlink","Insert image","Insert table","Insert audio","Insert video","Insert SWF","Attachment","Other objects","Remarks / other features"
