"Name","Description","Language","OS","License","most recent release"
"GDB","GNU Debugger","any compiled to Machine code","any","GPL","7.7, Feb 2014"
"IDB","Intel Debugger","any compiled to Machine code","Windows, Linux","Proprietary","?"
"LLDB","LLVM Debugger","any compiled to Machine code","Mac OS X i386 and x86-64, Linux, FreeBSD","BSD-Style","?"
"pdb","Python debugger","Python","any","Python Software Foundation License","3.2.2, Sept 2011"
