"Model","Image processor","Sensor format","Megapixels","Min ISO","Max ISO","Autofocus points","Display","Storage","Live view?","Max FPS","Release date","Weight (kg)","Dimensions, WxHxD (mm)","Video"
"550D
Rebel T2i","DIGIC 4","APS-C CMOS","18","100","12,800","9","3.0"", 1040k pixels, 3:2","SDXC","Yes","3.7","2010Q1","0.53","129 × 98 × 62","1080p30, 720p60"
"600D
Rebel T3i","DIGIC 4","APS-C CMOS","18","100","12,800","9","3.0"", 1040k pixels, 3:2, articulated","SDXC","Yes","3.7","2011Q1","0.57","133 × 100 × 80","1080p30, 720p60"
"650D
Rebel T4i","DIGIC 5","APS-C CMOS","18","100","25,600","9","3.0"", 1040k pixels, 3:2, articulated touchscreen","SDXC (UHS-I)","Yes","5.0","2012Q2","0.58","134 × 100 × 79","1080p30, 720p60"
"700D
Rebel T5i","DIGIC 5","APS-C CMOS","18","100","25,600","9","3.0"", 1040k pixels, 3:2, articulated touchscreen","SDXC (UHS-I)","Yes","5.0","2013Q1","0.58","134 × 100 × 79","1080p30, 720p60"
"1000D
Rebel XS","DIGIC III","APS-C CMOS","10.1","100","1600","7","2.5"", 230k pixels","SDHC","Yes","3","2008Q3","0.45","126 × 98 × 62","via open source software to computer"
"1100D
Rebel T3","DIGIC 4","APS-C CMOS","12.1","100","6400","9","2.7"", 230k pixels","SDXC","Yes","3","2011Q1","0.495","130 × 100 × 78","720p30"
"1200D
Rebel T5","DIGIC 4","APS-C CMOS","18","100","6400","9","3.0"", 460k pixels","SDXC","Yes","3","2014Q1","0.48","130 × 100 × 88","1080p30, 720p60"
"100D
Rebel SL1","DIGIC 5","APS-C CMOS","18","100","25,600","9","3.0"", 1040k pixels, 3:2, touchscreen","SDXC (UHS-I)","Yes","4.0","2013Q1","0.41","117 × 91 × 69","1080p30, 720p60"
"M","DIGIC 5","APS-C CMOS","18","100","25,600","31 (Max)","3.0"", 1040k pixels, 3:2, touchscreen","SDXC (UHS-I)","Yes (only)","4.3","2012Q3","0.262","108.6 × 66.5 × 32.3","1080p30, 720p60"
"Model","Image processor","Sensor format","Megapixels","Min ISO","Max ISO","Autofocus points","Display","Storage","Live view?","Max FPS","Release date","Weight (kg)","Dimensions, WxHxD (mm)","Video"
