"Name","Operating system","License","User interface","Fixed drives","USB, eSATA and
removable drives","RAID support","Shows S.M.A.R.T. attributes","Hard drive
self-testing","Notification","Notes"
"AIDA64","Windows","Trialware","GUI","(S)ATA","most USB","Some RAID controllers","Yes","No","Monitoring only available in the Business Edition",""
"Argus Monitor","Windows","Trialware","GUI","IDE(PATA), SATA","eSATA, USB","Some RAID controllers","Yes","?","By window, sound, email, program execution at choosable parameter changes, threshold","Also shows temperature of CPU, GPU, CPU core speed, Intel Turbo Boost status, CPU power consumption, system load and system fan speeds. Can control speed of GPU and system fans."
"Disk Utility","OS X","Commercial proprietary","GUI","?","?","?","No","No","No","Summary information includes one line for S.M.A.R.T."
"GNOME Disks","Linux","LGPL v2+","GUI","IDE(PATA), SATA","USB (when used with Live CD)","?","Yes","Yes","GNOME pop-up notification","LiveCD are available for download, allowing the user to use GNOME Disks without any changes to the computer."
"smartmontools","Windows, Unix-like (Linux, OS X, BSD, etc.)","GNU GPL v2","CLI and GUI (via GSmartControl)","All for Linux, some for other Unix-like","See list of supported devices; SAT driver required on OS X only","Several RAID controllers","Yes","Yes","window, sound, email, program execution at choosable parameter changes, threshold","LiveCD are available for download, allowing the user to use smartmontools without any changes to the computer."
"Speccy","Windows","Freeware","GUI","?","No","?","Yes","No","No",""
"SpeedFan","Windows","Freeware","GUI","(S)ATA, SCSI, SAT; Areca, 3ware","?","Some RAID controllers","Yes","Yes","Window, sound, e-mail, running a command; at parameter changes, threshold, temperature","Estimate health and performance by percentage, and offers online drive analysis (and compares from other users)."
"SpinRite","DOS, FreeDOS","Commercial proprietary","GUI","?","?","?","Yes","Yes","No",""
"Name","Operating system","License, price","User interface","Fixed drives","USB, eSATA and
removable drives","RAID support","Shows S.M.A.R.T. attributes","Hard drive
self-testing","Notification","Notes"
