"Language","Statement separator/terminator","Secondary separator"
"ABAP","period separated","/!\ This cell is not defined /!\"
"Ada","semicolon terminated","/!\ This cell is not defined /!\"
"ALGOL","semicolon separated","/!\ This cell is not defined /!\"
"ALGOL 68","semicolon and comma separated","/!\ This cell is not defined /!\"
"AppleScript","newline  terminated","/!\ This cell is not defined /!\"
"AutoHotkey","newline terminated","/!\ This cell is not defined /!\"
"BASIC","newline terminated","colon separated"
"Boo","newline  terminated","/!\ This cell is not defined /!\"
"C","semicolon terminates statements","comma separates expressions"
"C++","semicolon terminates statements","comma separates expressions"
"C#","semicolon terminated","/!\ This cell is not defined /!\"
"COBOL","whitespace separated, sometimes period separated, optionally separated with commas and semi-colons.",""
"Cobra","newline terminated","/!\ This cell is not defined /!\"
"D","semicolon terminated","/!\ This cell is not defined /!\"
"Eiffel","newline terminated","semicolon"
"Erlang","colon separated, period terminated","/!\ This cell is not defined /!\"
"Falcon","newline separated","/!\ This cell is not defined /!\"
"Fortran","newline terminated","semicolon"
"Forth","semicolons terminate word definitions","/!\ This cell is not defined /!\"
"GFA BASIC","newline terminated","/!\ This cell is not defined /!\"
"Go","semicolon separated (inserted by compiler)","/!\ This cell is not defined /!\"
"Haskell (in do-notation)","semicolon separated","/!\ This cell is not defined /!\"
"Haskell (in do-notation, when braces are omitted)","newline separated","/!\ This cell is not defined /!\"
"Java","semicolon terminated","/!\ This cell is not defined /!\"
"JavaScript","semicolon separated (but sometimes implicitly inserted on newlines)","/!\ This cell is not defined /!\"
"Lua","whitespace separated (semicolon optional)","/!\ This cell is not defined /!\"
"Mathematica","semicolon separated","/!\ This cell is not defined /!\"
"MATLAB","newline terminated","semicolon or comma"
"Object Pascal (Delphi)","semicolon separated","/!\ This cell is not defined /!\"
"Objective-C","semicolon terminated","/!\ This cell is not defined /!\"
"OCaml","semicolon separated","/!\ This cell is not defined /!\"
"Pascal","semicolon separated","/!\ This cell is not defined /!\"
"Perl","semicolon separated","/!\ This cell is not defined /!\"
"PHP","semicolon terminated","/!\ This cell is not defined /!\"
"Prolog","period  terminated","/!\ This cell is not defined /!\"
"Python","newline  terminated","semicolon"
"Ruby","newline  terminated","semicolon"
"Rust","semicolon terminates statements","comma separates expressions"
"Scala","newline terminated (semicolon optional)","semicolon"
"Seed7","semicolon separated (semicolon termination is allowed)","/!\ This cell is not defined /!\"
"Simula","semicolon separated","/!\ This cell is not defined /!\"
"S-Lang","semicolon separated","/!\ This cell is not defined /!\"
"Smalltalk","period separated","/!\ This cell is not defined /!\"
"Standard ML","semicolon separated","/!\ This cell is not defined /!\"
"Swift","semicolon separated (inserted by compiler)","/!\ This cell is not defined /!\"
"Visual Basic","newline terminated","colon separated"
"Visual Basic .NET","newline terminated","colon separated"
"Windows PowerShell","newline  terminated","semicolon separated"
"Xojo","newline terminated","/!\ This cell is not defined /!\"
"Language","Statement separator/terminator","Secondary separator"
"Symbol","Languages"
"","Fortran 77 and earlier; the 'C' must be in column 1 of a line to indicate a comment."
", ,","BASIC, COMMAND.COM, cmd.exe, batch files"
"","J; from the (historically) common abbreviation Nota bene, the Latin for ""note well""."
"","APL; the mnemonic is the glyph (jot overstruck with shoe-down) resembles a desk lamp, and hence ""illuminates"" the foregoing."
"","Bourne shell and other UNIX shell, Cobra, Perl, Python, Ruby, Seed7, Windows PowerShell, PHP, R, Maple, Nimrod"
"","TeX, Prolog, MATLAB,  Erlang, S-Lang, Visual Prolog"
"","ActionScript, C (C99), C++, C#, D, Go, Java, JavaScript, Object Pascal (Delphi), Objective-C, PHP, Rust, Scala, SASS, Swift, Xojo"
"","Visual Basic, VBScript, Xojo"
"","Fortran, Basic Plus, Inform"
"","AutoHotkey, AutoIt, Lisp, Common Lisp, Clojure, Rebol, Scheme, many assemblers"
"","Euphoria, Haskell, SQL, Ada, AppleScript, Eiffel, Lua, VHDL, SGML"
"","COBOL (if fixed-form and * in column 7), PAW, many assemblers, Fortran (if fixed-form and * in column 1)"
"","Curl"
"","Vimscript"
"","Forth"
"","COBOL"
"Symbol","Languages"
"~ ,  ~ ,  ~ ,  ~","ALGOL 68"
"~","ActionScript, AutoHotkey, C, C++, C#, D, Go, Java, JavaScript, Objective-C, PHP, PL/I, Rust (can be nested), Scala (can be nested), SASS, SQL, Swift, Visual Prolog, CSS"
"~","AutoIt"
"~","D (can be nested)"
"~","Cobra (can be nested)"
"~","Powershell"
"~","Perl"
"~","Ruby"
"~ ,  ~ ,
 ~ ,  ~ ,
  ~ ,  ~","S-Lang"
"~","Haskell (can be nested)"
"~","Object Pascal (Delphi), ML, Mathematica, Pascal, Seed7, Applescript, OCaml (can be nested), Standard ML (can be nested), Maple, Newspeak"
"~","Object Pascal (Delphi), Pascal"
"~","Curl"
"~","MATLAB (the symbols must be in a separate line)"
"~","Lisp, Scheme, Racket (can be nested in all three)."
"~ ,  ~","Lua (the former form can be nested, but only in the latter, which can't be nested)"
"~","Smalltalk"
"~","Clojure"
"Language","In-line comment","Block comment"
"Ada, Eiffel, Euphoria, Occam, SPARK, ANSI SQL, ToolBook OpenScript, and VHDL","",""
"ALGOL 60","",""
"ALGOL 68","",""
"AppleScript","",""
"Assembly language (varies)","   one example (most assembly languages use line comments only)",""
"AutoHotkey","",""
"AWK, Bash, Bourne shell, C shell, Maple, R, Tcl, and Windows PowerShell","",""
"BASIC (various dialects):","(not all dialects)",""
"C (K&R, ANSI/C89/C90), CHILL, PL/I, and REXX","",""
"C (C99), C++, Go, and JavaScript","",""
"C#","(XML documentation comment)","(XML documentation comment)"
"COBOL","(when * or / is in column 7)",""
"Curl","",""
"Cobra","","(nestable)"
"D","(ddoc comments)","(ddoc comments)
 (nestable)
 (nestable, ddoc comments)"
"DCL","",""
"ECMAScript (JavaScript, ActionScript, etc.)","",""
"Forth","","(single line only)
 stack comment convention"
"FORTRAN 66/77","(the letter 'C' in the first column makes the entire line a comment).",""
"Fortran 90","(all characters on the line, from the exclamation mark onwards, are comments)",""
"Haskell","",""
"Java","","(Javadoc documentation comment)"
"Lisp and Scheme","",""
"Lua","","(variable number of = signs)"
"Maple","",""
"Mathematica","",""
"Matlab","","Note: Both percent–bracket symbols must be the only non-whitespace characters on their respective lines."
"Object Pascal (Delphi)","",""
"OCaml","",""
"Pascal, Modula-2, Modula-3, Oberon, and ML:","",""
"Perl and Ruby","","(POD documentation comment)"
"PHP","","(PHP Doc comments)"
"PILOT","",""
"PL/SQL and TSQL","",""
"Python","","(Documentation string when first line of module, class, method, or function)"
"Rust","(""Outer"" rustdoc comment)
  (""Inner"" rustdoc comment)","(nestable)
  (""Outer"" rustdoc comment)
  (""Inner"" rustdoc comment)"
"SAS","",""
"Seed7","",""
"Simula","",""
"Smalltalk","",""
"Smarty","",""
"Standard ML","",""
"TeX, LaTeX, PostScript, Erlang, and S-Lang","",""
"Texinfo","",""
"TUTOR","",""
"Visual Basic","",""
"Visual Basic .NET","(XML documentation comment)",""
"Visual Prolog","",""
"Xojo","",""
