"","Language","License","Mutual auth","Encrypts","Verify mode","Agent","First release","Latest stable release"
"Ansible","Python","GPL","Yes","Yes","Yes","No","2012-03-08","2014-09-24 1.7.2"
"Bcfg2","Python","BSD","Yes","Yes","Yes","Yes","2004-08-11","2014-02-25 1.3.4"
"cdist","Python","GPL","Yes","Yes","","No","2010","2012-06-05 2.0.13"
"Chef","Ruby","Apache","Yes","Yes","Yes","Yes","2009-01-15 0.5.0","2014-02-20 11.10.4, 2013-02-15 11.0.6 (server)"
"CFEngine","C","GPL, COSL","Yes","Yes","Yes","Yes","1993","2014-07-28 3.6.1"
"ISconf","Python","GPL","Yes","No","","","1998","2006-08-13 4.2.8.233"
"Juju","Python, Go","Affero General Public License","","","","","2010-09-17","2013-04-03 0.7"
"Local ConFiGuration system (LCFG)","Perl","GPL","Partial","Partial","","","1994","Weekly Releases"
"OCS Inventory NG with GLPI","Perl, PHP, C++","GPL","No","Yes","","","2003","2011-09-13"
"Open pc server integration (Opsi)","Python, Java","GPL","No","Yes","","Yes","2004","2013-03-01 4.0.3"
"PIKT","C","GPL","Yes","Yes","","Yes","1998","2007-09-10 1.19.0"
"Puppet","Ruby","Apache from 2.7.0, GPL before then","Yes","Yes","Yes","Yes","2005-08-30","2014-06-10  3.6.2"
"Quattor","Perl, Python","Apache 2.0","Yes","Yes","","","2005-04-01","2014-11-14 14.10.0"
"Radmind","C","BSD","Yes","Yes","","Yes","2002-03-26","2008-10-08 1.13.0"
"Rex","Perl","Apache","Yes","Yes","","No","2010-11-05 0.9.0","2014-07-14 0.50.0"
"Rudder","C and Scala","GPL and Affero GPL","Yes","Yes","","Yes","2011","2014-08-28 2.10.5"
"Rundeck","Java","Apache","Yes","Yes","Yes","","2010-05-01 1.0.0","2014-06-27 2.1.3"
"SmartFrog","Java","LGPL","Yes","Yes","","Yes","2004-02-11","2009-01-26 3.16.004"
"Salt","Python","Apache","Yes","Yes","Yes","Both","2011-03-17 0.6.0","2014-11-03 2014.7.0"
"Spacewalk","Java (C, Perl, Python, PL/SQL)","GPLv2","Yes","Yes","","Yes","2008-06","2013-07-19 2.0"
"STAF","C++","CPL","No","Partial","","Yes","1998-02-16","2012-12-16 3.4.16"
"Synctool","Python","GPLv2","Yes","Yes","Yes","","2003","2014-06-15 6.1"
"Vagrant","Ruby","MIT License","","","","","2010-01-21","2014-05-06 1.6.1"
"","AIX","*BSD","HP-UX","Linux","Mac OS X","Solaris","Windows","Others"
"Ansible","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Bcfg2","Partial","Yes","No","Yes","Partial","Yes","No","No"
"CFEngine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"cdist","","Yes","","Yes","Yes","","No",""
"Chef","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ISconf","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Juju","","","","Yes","","","",""
"Local ConFiGuration system (LCFG)","No","No","No","Partial","Partial","Partial","No","No"
"OCS Inventory NG","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Open pc server integration (Opsi)","No","No","No","Yes","No","No","Yes","No"
"PIKT","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Puppet","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes"
"Quattor","No","No","No","Yes","Partial","Yes","No","No"
"Radmind","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"Rex","","Yes","","Yes","Yes","Yes","Yes","No"
"Rudder","Yes","Partial","No","Yes","Partial","Partial","Yes","Yes"
"Rundeck","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SmartFrog","No","No","Yes","Yes","Yes","Yes","Yes","No"
"Salt","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Partial"
"Spacewalk","No","No","No","Yes","No","Yes","No","No"
"STAF","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Synctool","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Vagrant","","","","Yes","Yes","","Yes",""
