"id";"product_name";"countries";"ingredients";"brands";"stores";"energy_100g";"proteins";"fat";"carbohydrates";"saturated-fat";"sugars";"sodium";"salt";"fiber";"fruits-vegetables-nuts";"image_url"
"3560070274802";"Croquettes de poisson ail et fines herbes";"France";"";"Carrefour";"";"197.32222";"11";"7.5";"21";"0.8";"2";"0.47244094488188976";"1.2";"0.4";"0";"https://static.openfoodfacts.org/images/products/356/007/027/4802/front_fr.3.400.jpg"
"3560070767236";"Menestra especial congelada";"España";"Judías verdes planas cortadas,zanahoria en rodajas,coliflor en floretes,guisantes,habas,yemas de espárragos blancos,alcachofas en cuartos 5%";"Carrefour,//Propiedad de://,Carrefour S.A.";"Carrefour";"55.183334";"2.6";"0.4";"8.4";"0.03";"2.2";"0.03";"0.0762";"3.6";"0";"https://static.openfoodfacts.org/images/products/356/007/076/7236/front_es.6.400.jpg"
"3560070590988";"Salteado de verduras congelado";"España";"Judías verdes 24% mínimo,judías amariilas 16% mínimo,zanahoria 16% mínimo,berenjena prefrita 16% mínimo,cebolla 8% mínimo,berenjena,aceite de girasol";"Carrefour,//Propiedad de://,Carrefour S.A.";"Carrefour";"55.66111";"1.4";"2.9";"4.6";"0.3";"2.6";"0.02755905511811024";"0.07";"3";"0";"https://static.openfoodfacts.org/images/products/356/007/059/0988/front_es.6.400.jpg"
"3560071003524";"2 sandwich à toaster jambon emmental";"France";"Farine de blé,eau,jambon cuit supérieur,emmental fondu,lait écrémé en poudre,oeufs frais,levure,sel,jambon de porc,sel,sirop de glucose,dextrose,antioxydant,ascorbate de sodium,conservateur,nitrite de sodium,emmental,fromages,beurre,protéines de lait,eau,lait écrémé en poudre,épaississants,gomme xanthane et farine de graines de caroube";"Carrefour";"Carrefour Market";"218.34445";"18";"8.1";"31";"4.6";"4.1";"0.5118110236220472";"1.3";"1.6";"0";"https://static.openfoodfacts.org/images/products/356/007/100/3524/front_fr.7.400.jpg"
"3560070465866";"Ratatouille cuisinée à l'huile d'olive vierge extra 2,8% Bio";"France";"Légumes grillés* en proportion variable,pulpe de tomate*,tomate*,eau,poivrons rouges et jaunes*,huile d'olive vierge extra*,sel,amidon de riz*,carottes*,ail*.*Biologique,aubergines*,courgettes*,oignons*";"Carrefour";"Carrefour";"56.13889";"2.3";"2.6";"3.2";"0.6";"3.2";"0.24";"0.6096";"5.7";"0";"https://static.openfoodfacts.org/images/products/356/007/046/5866/front_fr.13.400.jpg"
"3560070928163";"Colin d'Alaska sauce saveur Crustacés, Surgelé";"France";"Colin d'Alaska,Theragra chalcogramma,eau,crème fraîche,oignon,lait entier en poudre,vin blanc,purée de tomate double concentrée,fumet de poisson aromatisé déshydraté,crème,extrait de levure,huile d'olive,arôme naturel,contient poisson,lactose,crevette en poudre et extrait de crevette,épices et plantes aromatiques,extrait de vin blanc,arômes naturels,amidon modifié de maïs,farine de blé,huile de tournesol,colorant,extrait de paprika,Cognac modifié,sel,curcuma,épaississant,gomme xanthane,ciboulette 0,01 %,maltodextrine,sel,farine de blé,poisson,sucre,légumes,oignon,poireau,céleri,contient crustacés,poisson,lait,colorants,rouge de betterave et extrait de paprika,Cognac,sel,arôme";"Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour";"Carrefour market";"80.02778";"10";"2.9";"3.4";"1.4";"1.8";"0.27952755905511806";"0.71";"0";"0";"https://static.openfoodfacts.org/images/products/356/007/092/8163/front_fr.9.400.jpg"
"3560070605583";"Feuilletés au fromage";"France";"Eau,farine de blé,margarine,lactosérum,amidons modifiés de pomme de terre,fromage fondu,sel,œuf en poudre,muscade,graisse de palme partiellement fractionnée,eau,huile de colza,sel émulsifiant,mono et diglycérides d'acide gras,correcteur d'acidité,acide citrique,fromages,eau,sel";"Produits blancs";"Carrefour";"311.9889";"4.4";"18";"32";"9.9";"5.4";"0.3779527559055118";"0.96";"1.8";"0";"https://static.openfoodfacts.org/images/products/356/007/060/5583/front_fr.6.400.jpg"
"3560070398522";"Cannelloni à la Bolognaise Grand Jury 600g";"France";"";"Grand Jury";"8 à Huit,Shopi,Proxi,Marché Plus";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"https://upload.wikimedia.org/wikipedia/commons/f/f8/Question_mark_alternate.svg"
"3560070398515";"Cannellonis bolognaise surgelés";"France";"";"Carrefour";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"https://upload.wikimedia.org/wikipedia/commons/f/f8/Question_mark_alternate.svg"
"3560070500734";"Mezcla para sofrito congelada &quot;Carrefour&quot;";"España";"Cebolla,pimiento verde,tomate,aceite de girasol,ajo 2%";"Carrefour,//Propiedad de://,Carrefour S.A.";"Carrefour";"58.288887";"1.4";"3.3";"5.5";"0.3";"3.2";"0.01";"0";"1.3";"0";"https://static.openfoodfacts.org/images/products/356/007/050/0734/front_es.6.400.jpg"
