"id";"product_name";"countries";"ingredients";"brands";"stores";"fiber";"sugars";"saturated-fat";"energy_100g";"proteins";"salt";"carbohydrates";"sodium";"fat";"vitamin-b1";"image_url"
"3222471167199";"Biscottes pauvres en sel";"France";"Farine de blé,sucre,huile de tournesol,levure,gluten de blé,agent de traitement de la farine,acide ascorbique";"Casino";"Casino";"3.9";"7.3";"0.6";"405.87222";"12";"0";"75";"0";"5.1";"0";"https://static.openfoodfacts.org/images/products/322/247/116/7199/front_fr.9.400.jpg"
"3254560046214";"Biscotte pauvre en sel";"France";"Farine de blé,contient gluten,sucre,huile végétale,tournesol,levure,gluten,agent de traitement de la farine,acide ascorbique";"Auchan";"Auchan";"3.9";"7.3";"0.6";"1678.0";"11.9";"0.01";"0";"0";"0";"0";"https://static.openfoodfacts.org/images/products/325/456/004/6214/front_fr.8.400.jpg"
"3182180012190";"La Biscotte Equilibre (36 biscottes)";"France, Suisse";"Farine de blé,farine de blé complet,gluten,levure,huile végétale,tournesol,agent de traitement de la farine,acide ascorbique";"Brioche Pasquier,Pasquier";"Carrefour Market";"6.5";"2.5";"0.5";"375.29443";"14";"0.01778";"71";"0.007";"2";"0";"https://static.openfoodfacts.org/images/products/318/218/001/2190/front_fr.9.400.jpg"
"3182180032143";"Le Pain Azyme Equilibre (12 tranches) 200 g - Brioche Pasquier";"France";"Farine de blé,eau";"Brioche Pasquier,Pasquier";"Monoprix";"3";"2";"0.3";"374.3389";"12.5";"0";"75";"0.003";"1.5";"0";"https://static.openfoodfacts.org/images/products/318/218/003/2143/front_fr.5.400.jpg"
"3392460481114";"Biscottes Pleine vie sans sel ajouté";"France";"Farine de blé,sirop de glucose-fructose,huile de palme,levure,minéraux,zinc,sulfate,vitamines,E,thiamine,B1,B6,acide folique,B9,agent de traitement de la farine,acide ascorbique,calcium,phosphate,niacine,PP";"Heudebert,Lu,Mondelez";"Intermarché";"3.4";"5.3";"2.6";"407.30554";"12";"0.1";"74";"0.03937007874015748";"6.1";"0.76";"https://static.openfoodfacts.org/images/products/339/246/048/1114/front_fr.20.400.jpg"
"3273670000114";"Biscotte Aixoise très pauvre en sel";"France";"Farine froment,sirop de sucre inverti,huile de tournesol,levure,boulangère,extrait de malt d'orge,émulsifiant,lécithine de soja,antioxydant,extrait de romarin,vitamine E,farine de blé,gluten";"Roger";"";"4.4";"6";"0.9";"413.75555";"12";"0.035";"72";"0.013779527559055118";"6";"0";"https://static.openfoodfacts.org/images/products/327/367/000/0114/front_fr.11.400.jpg"
"3270190196396";"Biscottes très pauvres en sel";"France";"Farine de blé,sucre,huile végétale de colza,levure,dextrose,gluten de blé,antioxydant,acide ascorbique";"Carrefour";"Carrefour Market";"4.8";"7";"0.5";"397.03333";"12";"0.03";"77";"0.011811023622047244";"3.3";"0";"https://static.openfoodfacts.org/images/products/327/019/019/6396/front_fr.6.400.jpg"
"3263852510616";"Biscottes très pauvres en sel (36 biscottes)";"France";"Farine de blé,matière grasse végétale,palme,sucre,levure,gluten,agent de traitement de la farine,acide ascorbique";"Leader Price";"Franprix";"5";"6";"3";"404.2";"11";"0.0254";"72";"0.01";"6.5";"0";"https://static.openfoodfacts.org/images/products/326/385/251/0616/front_fr.11.400.jpg"
"3268350120077";"Biscottes sans sel et sans sucres ajoutés";"France";"Farine de blé bise T80,huile d'olive vierge extra,gluten de blé,levure de boulangerie";"Le Moulin du Pivert";"";"7.9";"3.7";"0.8";"390.82224";"13";"0.005";"69.5";"0.001968503937007874";"4.6";"0";"https://static.openfoodfacts.org/images/products/326/835/012/0077/front_fr.10.400.jpg"
"3250390005650";"Biscotte sans sel";"France";"";"Chabrior";"";"4.9";"7.2";"0.3";"1636.0";"12.1";"0.01";"0";"0";"0";"0";"https://static.openfoodfacts.org/images/products/325/039/000/5650/front_fr.8.400.jpg"
