The following table compares the operating system support and basic features of various [[Universal_Plug_and_Play#Media_server|UPnP AV media server]]s.

{| class="wikitable sortable" style="font-size: smaller; text-align: center; width: auto;"
!Name
!License
!Cost
![[OS X]]
![[Unix-like]]
![[Windows]]
!Audio
!Images
!Video
![[Transcoding]]
!Web Interface
![[DLNA]] support
![[Multilingual]]<ref name="Multilingual">For example, multilingual isn't supported if char 'Й' isn't displayed correctly on movie filename on the client device.</ref>
!Implementation
!Subtitles<ref name="Subtitles">For example, subtitles are not supported if they only work with few renderers.</ref>
!Still Supported
|-
![[360 Media Server]]
|GPL
|{{Free}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|{{unknown}}
|Java
|{{unknown}}
|{{unknown}}
|-
![[aVia Media Player]]
|Prop.
|{{Free}}
|{{No}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{unknown}}
|Java
|{{unknown}}
|{{Yes}}
|-
![[BRisa]]
|MIT
|{{Free}}
|{{Partial}}<ref name="Python">Python or external packages are required.</ref>
|{{Partial}}<ref name="Python" />
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}<ref name="Coherence-WebUI">Work in progress</ref>
|{{Yes}}
|{{unknown}}
|{{unknown}}
|Python
|{{unknown}}
|{{unknown}}
|-
![[Coherence (UPNP)|Coherence]]
|MIT
|{{Free}}
|{{Partial}}<ref name="Python" />
|{{Partial}}<ref name="Python" />
|{{Partial}}<ref name="Python" />
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}<ref name="Coherence-AV">Audio: using gstreamer, Video: work in progress</ref>
|{{Yes}}<ref name="Coherence-WebUI">Work in progress</ref>
|{{Yes}}
|{{unknown}}
|Python
|{{unknown}}
|{{unknown}}
|-
![[DivX]]
|Prop.
|{{Free}}
|{{Yes}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{unknown}}
|{{unknown}}
|{{unknown}}
|-
![[Elgato Eyeconnect]]
|Prop.
|{{nonfree}}
|{{Yes}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{No}}
|{{unknown}}
|{{Yes}}
|{{unknown}}
|{{unknown}}
|{{No}}
|-
![[Foobar2000]]<ref name="Foobar2000">With foo_upnp plugin</ref>
|Prop.
|{{Free}}
|{{No}}
|{{No}}
|{{Yes}}
|{{Yes}}
|{{No}}
|{{No}}
|{{Yes}}
|{{No}}
|{{unknown}}
|{{unknown}}
