<!-- This article is limited only to comparison tools that have a separate article on Wikipedia. Please do not add examples  without an existing Wikipedia article. If you want to add a notable comparison tool to this article please write a separate article on the comparison tool first and then link to it from this page.  -->
{{Main|Data comparison}}
This article compares [[computer software]] tools that compare [[Computer file|files]], and in many cases [[Directory (computing)|directories or folders]], whether it is their main purpose or as part of more general [[file management]].

==General==
Basic general information about [[file comparison]] software.
{| class="wikitable sortable"
|- 
! Name
! Creator
! [[FOSS]]
! Free
! First public release date
! Year of latest stable version
! Windows
! Macintosh
! Linux
! Other platforms
! Max Supported File Size
|-
! {{rh}} | [http://www.araxis.com/merge Araxis Merge]
| [http://www.araxis.com Araxis Ltd]
| {{no}}; Proprietary
| {{no}} £79/169 GBP Standard/Pro
|
| 2014-12-17
|{{yes}}
|{{yes}}
|{{no}}
|{{no}}
|>2GB (64bit)
|-
! {{rh}} | [[Beyond Compare]]
| Scooter Software<ref name="ScooterSoftware">[http://www.scootersoftware.com/ Scooter Software]</ref>
| {{no}}; [[Proprietary software|Proprietary]]
| {{no}}; [[$US]]30 (std), 50 (pro)
| 1996
| 2015 (v4.0.7)
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
| < 2GB (32 bits)
|-
! {{rh}} | [[Compare++]]
| Coode Software<ref name="Coode Software">[http://www.coodesoft.com/ Coode Software]</ref>
| {{no}}; Proprietary
| {{no}}; $29.95, 30-day free trial<ref>[http://www.coodesoft.com/downloads.html#latest_version Coodesoft trial]</ref>
| 2010
| 2013 (v2.15)
| {{Yes}}<ref>[http://download.cnet.com/Compare/3000-2229_4-75206501.html?tag=mncol Compare++ Operating system information]</ref>
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[diff]], [[diff3]]
| [[AT&T]]
| {{yes}}; [[BSD licenses|BSD 3-clause]], [[BSD licenses|BSD 4-clause]], [[CDDL]], GPL, Proprietary
| {{yes}}
| 1974
|
| {{Yes}}
| {{Yes}} ([[Mac OS X]])
| {{Yes}}
| ported to most platforms as part of [[Source Code Control System|SCCS]]
| > 2GB but less than 64 bits
|-
! {{rh}} | SG DiffMerge
| SourceGear<ref>[http://sourcegear.com/diffmerge/ SourceGear DiffMerge]</ref> 
| {{No}}; Proprietary
| {{No}}; $US19<ref>[http://www.sourcegear.com/diffmerge/register register DiffMerge]</ref> 
| 2003
| 2013-10 (4.2.0)
| {{Yes}}
| {{Yes}}
| {{Yes}}
|
|
|-
! {{rh}} | DiffTool<ref>[https://play.google.com/store/apps/details?id=com.difftool Download DiffTool]</ref>
| Ludwig Gruber
| {{no}}; Proprietary
| {{yes}}; (on [[Google Play]] Store)
| 2014
| 2015 (1.57)
| {{No}}
| {{No}}
| {{No}}
| Android
|
|-
! {{rh}} | Diffuse<ref>[http://diffuse.sourceforge.net/ diffuse]</ref>
| Derrick Moser
| {{yes}}; [[GNU General Public License|GPL]]
| {{yes}}
| 2006
| 2014-07 (0.4.8)
| {{Yes}}
| {{Yes}}
| {{Yes}}
| Anything with [[PyGtk]]+<ref>[http://www.pygtk.org| GTK+ for Python]</ref>
|
|-
! {{rh}} | [[Eclipse (software)|Eclipse]] (compare) <ref>[http://help.eclipse.org/luna/index.jsp?topic=%2Forg.eclipse.platform.doc.user%2Ftasks%2Ftasks-68dg.htm Eclipse Compare]</ref>
| 
| {{yes}}; [[Eclipse Public License]]
| {{yes}}
| 2004-07-21
| 2014-09-26
| {{Yes}}
| {{Yes}}
| {{Yes}}
| Anything with [[Java (programming language)|Java]]
| 
|-
! {{rh}} | [[Ediff]]
| Michael Kifer<ref name="Delorie.com">[http://www.delorie.com/gnu/docs/emacs/ediff_toc.html Michael Kifer]</ref>
| {{yes}}; [[GNU General Public License|GPL]]
| {{yes}}
| 1994
| 2.81.4
| {{Yes}}
| {{Yes}} ([[Mac OS X]])
| {{Yes}}
| Anything with [[Emacs]]
|
|-
! {{rh}} | [[ExamDiff Pro]]
| PrestoSoft<ref name="PrestoSoft">[http://www.prestosoft.com PrestoSoft]</ref>
| {{no}}; Proprietary
| {{no}}; $35, free file-only version<ref>[http://www.prestosoft.com/ps.asp?page=edp_examdiff ExamDiff Trial]</ref>
| 1998
| 2014 (v7.0.1.6)
| {{Yes}} ([[Windows 98|Win98]] and up)
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[Far Manager]] (compare)
| Eugene Roshal (original); FAR Group
| {{no}}; Revised [[BSD license]]
| {{yes}}
| 1996
| 2014 August (v 3.0 build 4040)
| {{Yes}}
| {{No}}
| {{No}}
|
|
|-
! {{rh}} | [[Microsoft File Compare|fc]]
| Microsoft<ref name="Microsoft">[http://www.microsoft.com/resources/documentation/windows/xp/all/proddocs/en-us/fc.mspx Microsoft]</ref>
| {{no}}; Proprietary
| {{yes}}; Part of [[Operating System|OS]]
| 1987
|
